,open,high,low,close,volume,value
2021-06-04 09:00:00,225.0,229.0,202.0,217.0,22392193.27980571,4835482445.395595
2021-06-05 09:00:00,217.0,222.0,207.0,211.0,7299485.93516344,1561391630.9391868
2021-06-06 09:00:00,211.0,278.0,211.0,223.0,599381016.6100205,147797015274.84845
2021-06-07 09:00:00,223.0,242.0,197.0,202.0,110825082.66243775,25173971145.6384
2021-06-08 09:00:00,202.0,211.0,172.0,189.0,28212523.63959374,5383315762.559501
2021-06-09 09:00:00,189.0,195.0,174.0,193.0,14508289.84408886,2666834479.968675
2021-06-10 09:00:00,194.0,219.0,193.0,201.0,79024633.44595604,16147747037.142221
2021-06-11 09:00:00,201.0,219.0,167.0,173.0,54514524.95113115,10613202399.292736
2021-06-12 09:00:00,173.0,181.0,136.0,149.0,21018300.3321999,3338403402.6187596
2021-06-13 09:00:00,150.0,169.0,148.0,160.0,78699720.70670606,12625920379.451054
2021-06-14 09:00:00,160.0,165.0,151.0,162.0,19057909.20177879,3019624694.949476
2021-06-15 09:00:00,163.0,182.0,160.0,168.0,57217414.34915366,9751694204.990892
2021-06-16 09:00:00,168.0,194.0,168.0,174.0,108677105.39480807,19475446385.915524
2021-06-17 09:00:00,175.0,175.0,161.0,161.0,14308926.73177636,2371048154.957549
2021-06-18 09:00:00,162.0,206.0,161.0,181.0,432392658.711339,80901321066.4614
2021-06-19 09:00:00,181.0,183.0,164.0,169.0,54856305.76126388,9303664487.879782
2021-06-20 09:00:00,168.0,169.0,140.0,153.0,40634868.17675222,6207721666.021495
2021-06-21 09:00:00,153.0,153.0,101.0,105.0,39155517.8833078,4987992078.432058
2021-06-22 09:00:00,104.0,108.0,77.0,93.8,46169553.10241222,4297527175.079966
2021-06-23 09:00:00,93.7,107.0,86.2,106.0,32703219.73598886,3254807202.857541
2021-06-24 09:00:00,107.0,133.0,107.0,116.0,157427050.4740399,18724069852.079235
2021-06-25 09:00:00,116.0,123.0,105.0,107.0,54618434.80996619,6341801909.787448
2021-06-26 09:00:00,106.0,119.0,105.0,115.0,51125325.12699919,5773447842.531517
2021-06-27 09:00:00,115.0,118.0,110.0,116.0,17513272.16715501,1980539320.8520937
2021-06-28 09:00:00,117.0,145.0,114.0,140.0,271310483.5188895,35316247833.98087
2021-06-29 09:00:00,148.0,160.0,130.0,145.0,127178129.22258148,18616690435.652412
2021-06-30 09:00:00,146.0,177.0,139.0,167.0,147280567.42326427,23179269614.83521
2021-07-01 09:00:00,167.0,341.0,167.0,208.0,2336298452.091395,665101559567.4343
2021-07-02 09:00:00,208.0,228.0,170.0,182.0,209075549.11324272,39357812554.11504
2021-07-03 09:00:00,183.0,228.0,176.0,193.0,391730153.4871154,79767832038.91125
2021-07-04 09:00:00,194.0,215.0,194.0,201.0,136794250.65559286,27747772028.54305
2021-07-05 09:00:00,201.0,209.0,183.0,205.0,119779878.68378384,23911830021.75658
2021-07-06 09:00:00,205.0,206.0,193.0,205.0,50116239.30695072,9922884010.31885
2021-07-07 09:00:00,205.0,205.0,194.0,201.0,52568404.90869388,10448053535.536596
2021-07-08 09:00:00,201.0,204.0,171.0,183.0,47782733.16180159,8978511642.818123
2021-07-09 09:00:00,183.0,195.0,172.0,186.0,72519364.16243775,13294865541.537886
2021-07-10 09:00:00,186.0,186.0,178.0,181.0,22334153.92591969,4053076680.1383033
2021-07-11 09:00:00,181.0,190.0,179.0,190.0,42978491.10675576,7925221937.235853
2021-07-12 09:00:00,189.0,198.0,183.0,197.0,39623841.53956355,7440058310.336838
2021-07-13 09:00:00,196.0,208.0,184.0,203.0,54668301.07933387,10655054268.46397
2021-07-14 09:00:00,204.0,214.0,180.0,194.0,73227294.25417818,14318401054.419216
2021-07-15 09:00:00,194.0,234.0,184.0,194.0,247903502.58085027,50966162391.61408
2021-07-16 09:00:00,194.0,195.0,166.0,171.0,62195480.19727052,11078586621.687012
2021-07-17 09:00:00,171.0,175.0,165.0,173.0,28439960.34522455,4845980620.697526
2021-07-18 09:00:00,173.0,176.0,165.0,172.0,22983831.33453321,3921037444.041995
2021-07-19 09:00:00,172.0,173.0,151.0,157.0,31853089.59201422,5107710165.520046
2021-07-20 09:00:00,158.0,158.0,131.0,143.0,40497259.45533982,5732624951.019263
