,open,high,low,close,volume,value
2021-06-04 09:00:00,130.0,130.0,116.0,119.0,48509263.83377345,5893528472.469172
2021-06-05 09:00:00,119.0,124.0,116.0,119.0,29752353.46960757,3549588968.9046783
2021-06-06 09:00:00,119.0,122.0,117.0,121.0,37596792.83076628,4485582022.064011
2021-06-07 09:00:00,121.0,123.0,108.0,110.0,56643384.87809909,6649011916.482863
2021-06-08 09:00:00,110.0,112.0,98.8,105.0,90631837.96514885,9387319007.406288
2021-06-09 09:00:00,104.0,111.0,99.2,110.0,49848388.12471838,5224192048.028225
2021-06-10 09:00:00,110.0,112.0,104.0,105.0,62909797.78936515,6780546583.326271
2021-06-11 09:00:00,105.0,107.0,94.2,96.0,110233627.05222753,11252729073.328384
2021-06-12 09:00:00,96.1,102.0,86.9,97.8,200423825.6755305,19207950632.401962
2021-06-13 09:00:00,97.9,101.0,91.8,101.0,50315964.24306595,4833280057.586568
2021-06-14 09:00:00,101.0,103.0,97.5,101.0,39500486.16516844,3952234159.0662203
2021-06-15 09:00:00,100.0,103.0,97.9,99.0,35702843.61868356,3563557671.530344
2021-06-16 09:00:00,99.3,101.0,92.8,94.2,70679920.68941475,6842462842.700587
2021-06-17 09:00:00,94.2,96.1,93.2,95.1,24666375.62922474,2330515023.15757
2021-06-18 09:00:00,95.1,95.1,85.0,87.1,32051898.47989323,2890665749.7540755
2021-06-19 09:00:00,87.4,88.0,84.5,85.1,16694700.86531131,1443965197.5037615
2021-06-20 09:00:00,85.1,86.5,79.2,85.8,33831115.93888256,2806505982.3995366
2021-06-21 09:00:00,85.9,86.4,66.0,66.8,49506729.42062548,3752343822.7705626
2021-06-22 09:00:00,67.5,73.5,55.5,63.7,72508602.56047916,4749881888.130022
2021-06-23 09:00:00,63.7,97.4,61.3,88.4,1189960189.502344,102109856864.93459
2021-06-24 09:00:00,88.4,100.0,85.9,90.1,411211026.7907027,37191296533.10152
2021-06-25 09:00:00,90.1,90.1,77.9,79.8,119754947.91289821,10142727582.199669
2021-06-26 09:00:00,79.8,82.0,75.2,80.2,38667894.50538603,3051577806.7951217
2021-06-27 09:00:00,80.1,82.3,77.2,82.1,27643442.51717398,2197526214.838943
2021-06-28 09:00:00,81.9,85.1,78.9,85.0,74949206.9229086,6167469760.392116
2021-06-29 09:00:00,85.0,95.5,83.5,91.8,231216428.53915596,20805075905.89417
2021-06-30 09:00:00,91.8,99.8,86.2,92.4,117807775.55978937,10772209095.36785
2021-07-01 09:00:00,92.4,92.5,84.9,88.5,68699340.11788382,6056867716.035062
2021-07-02 09:00:00,88.1,89.4,82.2,86.6,57933820.0024537,4942362374.336197
2021-07-03 09:00:00,86.7,88.1,83.8,87.2,43195291.19758718,3725422988.149489
2021-07-04 09:00:00,87.3,89.5,84.3,88.7,56852156.03162866,4959377377.127164
2021-07-05 09:00:00,88.7,88.8,82.4,86.7,81967387.88747557,7037066160.295126
2021-07-06 09:00:00,86.7,88.1,85.0,87.1,72332600.91037896,6263423610.907152
2021-07-07 09:00:00,87.1,97.6,85.0,92.1,228891522.82569376,20898603612.487343
2021-07-08 09:00:00,92.1,92.5,82.0,85.2,105397897.4725469,9122800258.32969
2021-07-09 09:00:00,85.2,85.2,78.9,84.7,41669801.91065267,3423056424.790355
2021-07-10 09:00:00,84.8,85.6,81.7,83.8,23140177.38715006,1939062025.4023755
2021-07-11 09:00:00,83.8,85.0,81.0,84.8,25542611.63311292,2132172889.0485773
2021-07-12 09:00:00,84.6,85.0,81.1,82.8,41758921.83733659,3482158869.737866
2021-07-13 09:00:00,83.1,83.5,79.5,81.0,33883642.22851256,2755550362.340262
2021-07-14 09:00:00,81.0,91.2,80.5,86.6,722606554.8286495,61963767021.81124
2021-07-15 09:00:00,86.9,86.9,79.7,80.6,117434110.98551045,9680121195.718466
2021-07-16 09:00:00,80.6,80.6,73.5,73.6,49828456.52430342,3825087147.0129366
2021-07-17 09:00:00,73.6,74.6,71.9,73.3,26158229.59688373,1906636794.5539699
2021-07-18 09:00:00,73.1,75.3,72.2,73.7,22183883.57957506,1640548629.8382158
2021-07-19 09:00:00,74.0,77.3,69.5,69.7,112974072.98452365,8421682820.124558
2021-07-20 09:00:00,69.7,70.7,62.1,65.5,94713060.69150944,6284591641.822614
2021-07-21 09:00:00,65.5,72.0,63.1,69.9,50581180.14645674,3455281489.372339
2021-07-22 09:00:00,69.9,72.3,68.8,71.8,41505094.14638764,2926140044.969103
2021-07-23 09:00:00,71.8,72.7,69.5,72.2,37474425.32920694,2672341763.0196943
2021-07-24 09:00:00,72.1,76.2,71.2,74.3,43938590.49865216,3224674983.505255
2021-07-25 09:00:00,74.4,74.5,71.7,74.1,31312782.01674644,2294162035.3134294
2021-07-26 09:00:00,74.2,103.0,73.5,83.8,1405181686.7539248,129204918572.9806
2021-07-27 09:00:00,84.0,104.0,77.2,96.8,672259228.1061887,62587913959.504425
2021-07-28 09:00:00,96.8,106.0,93.4,96.7,343917095.81621295,34023645606.035576
2021-07-29 09:00:00,96.7,101.0,92.6,95.8,160264803.95448598,15377572638.713703
2021-07-30 09:00:00,95.8,98.1,91.0,97.5,126803424.79811887,12075980596.358467
2021-07-31 09:00:00,97.4,99.3,94.4,98.3,78342093.89066285,7565648539.977129
2021-08-01 09:00:00,98.3,128.0,96.8,121.0,1107705042.790715,125180382673.50497
2021-08-02 09:00:00,121.0,123.0,105.0,115.0,795716189.2726344,89486819853.45274
2021-08-03 09:00:00,115.0,122.0,109.0,110.0,416549833.3432409,48344200925.456955
2021-08-04 09:00:00,111.0,115.0,107.0,112.0,240042188.72772375,26736970092.104286
2021-08-05 09:00:00,112.0,112.0,107.0,111.0,94714011.35459779,10404117308.705624
2021-08-06 09:00:00,112.0,114.0,109.0,112.0,179829188.33635065,20018305528.891712
2021-08-07 09:00:00,112.0,116.0,109.0,115.0,393349886.04971045,44629181976.61641
2021-08-08 09:00:00,115.0,116.0,107.0,109.0,131634425.40480518,14708358331.89441
2021-08-09 09:00:00,109.0,111.0,103.0,110.0,86024381.2985517,9258062575.579828
2021-08-10 09:00:00,110.0,115.0,107.0,110.0,191404074.69196624,21331826909.552868
2021-08-11 09:00:00,111.0,120.0,110.0,113.0,564829443.7621493,64987408277.65447
2021-08-12 09:00:00,113.0,118.0,107.0,110.0,168923618.2459048,19089147287.094574
2021-08-13 09:00:00,110.0,119.0,109.0,118.0,186711171.39703065,21518138928.366848
2021-08-14 09:00:00,118.0,126.0,115.0,121.0,405095518.50550884,48856539090.719894
2021-08-15 09:00:00,120.0,129.0,118.0,125.0,383954201.4199517,47480352559.372025
2021-08-16 09:00:00,125.0,128.0,119.0,119.0,149438031.60281366,18518403609.02459
2021-08-17 09:00:00,119.0,123.0,112.0,112.0,191535703.8436591,22816006922.68639
2021-08-18 09:00:00,113.0,121.0,106.0,115.0,428201317.9285272,49351572922.52495
2021-08-19 09:00:00,116.0,117.0,110.0,117.0,130774762.3904463,14853428608.124567
2021-08-20 09:00:00,116.0,121.0,114.0,120.0,84060388.00705424,9867391087.544641
2021-08-21 09:00:00,120.0,120.0,116.0,118.0,73879417.4932035,8738101288.557259
2021-08-22 09:00:00,118.0,121.0,114.0,118.0,76244816.13057913,8973805138.35178
2021-08-23 09:00:00,117.0,129.0,116.0,125.0,239310683.59621128,29572522037.019535
2021-08-24 09:00:00,125.0,129.0,115.0,116.0,195207532.5132217,23989571125.67074
