,open,high,low,close,volume,value
2021-06-04 09:00:00,278.0,279.0,249.0,259.0,12180235.06536966,3197249286.5024476
2021-06-05 09:00:00,259.0,264.0,248.0,253.0,5995659.75455289,1533858489.0520241
2021-06-06 09:00:00,253.0,275.0,247.0,258.0,25583072.07111234,6651759636.963023
2021-06-07 09:00:00,258.0,279.0,236.0,240.0,51578542.57703499,13685589529.669565
2021-06-08 09:00:00,243.0,245.0,207.0,226.0,17923945.16138572,4040056753.465945
2021-06-09 09:00:00,226.0,236.0,210.0,232.0,19521867.99027985,4387877339.634601
2021-06-10 09:00:00,232.0,250.0,226.0,240.0,25969435.34560314,6201996445.952129
2021-06-11 09:00:00,240.0,255.0,210.0,213.0,29613393.71156158,6985651663.265957
2021-06-12 09:00:00,213.0,220.0,184.0,191.0,15494883.57509712,3020775167.7986956
2021-06-13 09:00:00,191.0,204.0,183.0,201.0,9963380.33259422,1901311743.3848557
2021-06-14 09:00:00,203.0,238.0,198.0,211.0,78648830.70760772,16471979753.025362
2021-06-15 09:00:00,210.0,213.0,203.0,207.0,11019171.23623984,2274732728.7037354
2021-06-16 09:00:00,207.0,208.0,190.0,197.0,11811531.13912719,2342539238.080903
2021-06-17 09:00:00,197.0,201.0,190.0,195.0,7624706.63581997,1488192440.2495391
2021-06-18 09:00:00,193.0,200.0,182.0,189.0,18404278.32232397,3520040101.1031094
2021-06-19 09:00:00,188.0,189.0,178.0,180.0,5873256.33111714,1069953989.6342965
2021-06-20 09:00:00,180.0,185.0,158.0,178.0,17053572.32818124,2971446266.001485
2021-06-21 09:00:00,178.0,198.0,129.0,132.0,68943932.31326377,12078013282.883965
2021-06-22 09:00:00,131.0,144.0,102.0,119.0,34349843.17679318,4247644838.138884
2021-06-23 09:00:00,119.0,131.0,113.0,127.0,12634349.95670468,1571628089.0119162
2021-06-24 09:00:00,125.0,136.0,120.0,135.0,20685873.22438528,2650903028.5815315
2021-06-25 09:00:00,136.0,139.0,121.0,123.0,25852395.94378971,3354616444.1048374
2021-06-26 09:00:00,123.0,127.0,114.0,125.0,15717885.12012807,1909385019.4452512
2021-06-27 09:00:00,126.0,143.0,120.0,127.0,41705147.18489339,5316737655.991667
2021-06-28 09:00:00,127.0,142.0,122.0,141.0,54666998.09506119,7185044311.9231415
2021-06-29 09:00:00,141.0,159.0,138.0,154.0,42169887.32121509,6290321440.175758
2021-06-30 09:00:00,154.0,217.0,150.0,182.0,359443843.3176702,64903964807.34657
2021-07-01 09:00:00,182.0,235.0,171.0,216.0,405290592.8488553,84592191076.5733
2021-07-02 09:00:00,216.0,216.0,174.0,191.0,57336801.30378094,10922401412.364813
2021-07-03 09:00:00,191.0,202.0,183.0,202.0,61937865.52648937,11973891737.98927
2021-07-04 09:00:00,202.0,277.0,202.0,214.0,365106158.3660439,86923874548.27403
2021-07-05 09:00:00,213.0,217.0,195.0,207.0,45453397.92348944,9407935720.273932
2021-07-06 09:00:00,207.0,215.0,201.0,209.0,26146162.80249906,5409500973.406112
2021-07-07 09:00:00,209.0,210.0,200.0,208.0,18577231.11884224,3802146360.301705
2021-07-08 09:00:00,209.0,209.0,177.0,187.0,25843140.66349592,4956149619.837947
2021-07-09 09:00:00,196.0,212.0,182.0,192.0,69116533.79028146,13372819654.459702
2021-07-10 09:00:00,192.0,200.0,186.0,191.0,21657020.51222092,4160103428.501718
2021-07-11 09:00:00,190.0,196.0,183.0,194.0,15321582.8493472,2907101412.7001085
2021-07-12 09:00:00,195.0,212.0,190.0,195.0,54759286.85687123,10792014609.032627
2021-07-13 09:00:00,196.0,204.0,185.0,196.0,38884431.61260869,7577706788.216774
2021-07-14 09:00:00,196.0,196.0,178.0,188.0,20248687.76315354,3765012916.9043465
2021-07-15 09:00:00,188.0,198.0,181.0,192.0,62875237.04696011,11973640195.554832
2021-07-16 09:00:00,191.0,191.0,168.0,173.0,20516123.38381529,3641992507.4988046
2021-07-17 09:00:00,172.0,177.0,168.0,176.0,15672991.08626287,2715453160.601898
2021-07-18 09:00:00,175.0,178.0,171.0,175.0,7885866.87590041,1376331691.0021787
2021-07-19 09:00:00,176.0,179.0,158.0,161.0,16520641.45551674,2775343079.8366785
2021-07-20 09:00:00,161.0,166.0,139.0,149.0,30897978.01186468,4647489724.825963
2021-07-21 09:00:00,149.0,160.0,141.0,159.0,26320856.63995455,4012927051.355306
2021-07-22 09:00:00,158.0,166.0,154.0,164.0,19475265.41053023,3095641745.8288655
2021-07-23 09:00:00,165.0,167.0,157.0,165.0,17804637.01909524,2885565832.362811
2021-07-24 09:00:00,166.0,183.0,164.0,170.0,48714070.48792062,8255233821.556908
2021-07-25 09:00:00,170.0,171.0,164.0,170.0,16621619.14684161,2775060222.4414625
2021-07-26 09:00:00,169.0,183.0,167.0,175.0,38350152.91958311,6700413989.789008
2021-07-27 09:00:00,175.0,188.0,173.0,188.0,47827496.87115512,8698376800.085154
2021-07-28 09:00:00,188.0,193.0,180.0,193.0,40078609.3562392,7467835519.081656
2021-07-29 09:00:00,193.0,231.0,186.0,219.0,137253290.85174704,28467784455.149647
2021-07-30 09:00:00,219.0,233.0,202.0,228.0,95611263.566363,20549648522.296127
2021-07-31 09:00:00,226.0,456.0,224.0,357.0,2347998604.402693,856296734605.7584
2021-08-01 09:00:00,358.0,363.0,283.0,287.0,306361150.9611805,96836285288.37021
2021-08-02 09:00:00,286.0,297.0,262.0,295.0,112408354.46899208,31178445388.657997
2021-08-03 09:00:00,295.0,295.0,271.0,284.0,72532062.81395563,20477288723.672802
2021-08-04 09:00:00,284.0,285.0,265.0,284.0,42442657.30806659,11669761651.239141
2021-08-05 09:00:00,283.0,313.0,272.0,287.0,147066959.44962358,42797094781.94392
2021-08-06 09:00:00,286.0,292.0,279.0,291.0,55958386.38569636,15983641237.899742
