,open,high,low,close,volume,value
2021-06-04 09:00:00,1480.0,1480.0,1315.0,1395.0,3378371.5136784,4712039064.929361
2021-06-05 09:00:00,1395.0,1425.0,1320.0,1365.0,3472203.79991685,4781176210.945608
2021-06-06 09:00:00,1360.0,1820.0,1360.0,1420.0,79368645.77906068,119486949682.32104
2021-06-07 09:00:00,1420.0,1740.0,1370.0,1385.0,68113941.11500487,106289992648.37192
2021-06-08 09:00:00,1390.0,1415.0,1160.0,1295.0,6863189.99835947,8904674918.298979
2021-06-09 09:00:00,1295.0,1625.0,1295.0,1420.0,95627955.07080467,141764971107.04825
2021-06-10 09:00:00,1425.0,1425.0,1340.0,1395.0,7949152.93113468,10923636451.150911
2021-06-11 09:00:00,1400.0,1400.0,1255.0,1285.0,5106011.92474889,6742988502.347833
2021-06-12 09:00:00,1285.0,1285.0,1105.0,1210.0,2411735.69655961,2850549779.2578278
2021-06-13 09:00:00,1210.0,1380.0,1180.0,1285.0,19688367.68927687,25063058723.84714
2021-06-14 09:00:00,1285.0,1285.0,1200.0,1285.0,3728497.03867847,4643593789.654061
2021-06-15 09:00:00,1285.0,1310.0,1235.0,1270.0,3184421.44125027,4001357170.5690007
2021-06-16 09:00:00,1275.0,1290.0,1200.0,1265.0,2694709.46193284,3356811634.348641
2021-06-17 09:00:00,1260.0,1555.0,1240.0,1280.0,34475791.13942534,46701006804.74184
2021-06-18 09:00:00,1280.0,1450.0,1190.0,1240.0,18562409.75252879,24482933043.67253
2021-06-19 09:00:00,1240.0,1240.0,1165.0,1200.0,2710338.81864031,3244350781.692035
2021-06-20 09:00:00,1200.0,1200.0,1030.0,1150.0,3175913.046495,3585296867.3353324
2021-06-21 09:00:00,1150.0,1155.0,821.0,845.0,3769966.35120724,3722285500.620073
2021-06-22 09:00:00,848.0,855.0,664.0,798.0,4911198.79724623,3762492393.857171
2021-06-23 09:00:00,798.0,862.0,738.0,861.0,4341725.84872721,3537995531.707649
2021-06-24 09:00:00,867.0,919.0,812.0,915.0,6710433.86047297,5848175521.372275
2021-06-25 09:00:00,914.0,959.0,810.0,827.0,5542716.95012753,4905702995.264425
2021-06-26 09:00:00,827.0,840.0,760.0,837.0,2805929.90964469,2257480614.184261
2021-06-27 09:00:00,831.0,852.0,787.0,847.0,2217561.80928722,1817604206.9231627
2021-06-28 09:00:00,844.0,917.0,820.0,912.0,5070092.97573727,4380367666.259895
2021-06-29 09:00:00,913.0,1005.0,892.0,995.0,8427124.4802756,8043115461.446393
2021-06-30 09:00:00,996.0,1135.0,964.0,1090.0,20308613.80439089,21340467960.61261
2021-07-01 09:00:00,1085.0,1085.0,982.0,1070.0,5970359.65473958,6143416334.510456
2021-07-02 09:00:00,1075.0,1295.0,1010.0,1105.0,34524969.73238148,39430446827.66147
2021-07-03 09:00:00,1100.0,1125.0,1045.0,1120.0,4665472.7234962,5027662289.924509
2021-07-04 09:00:00,1120.0,1350.0,1095.0,1150.0,29919340.46499956,36136926737.77984
2021-07-05 09:00:00,1150.0,1435.0,1125.0,1225.0,68075149.643654,85766735826.61665
2021-07-06 09:00:00,1215.0,1265.0,1180.0,1240.0,6431971.45016155,7790281528.012232
2021-07-07 09:00:00,1240.0,1245.0,1195.0,1240.0,5046111.46443557,6129902680.088548
2021-07-08 09:00:00,1240.0,1285.0,1015.0,1075.0,9431805.92136535,10649310052.616234
2021-07-09 09:00:00,1075.0,1110.0,985.0,1100.0,3242315.02304938,3372812692.4030323
2021-07-10 09:00:00,1105.0,1250.0,1080.0,1115.0,8549701.48130044,9772118935.750486
2021-07-11 09:00:00,1120.0,1135.0,1060.0,1130.0,2974428.92975266,3272791081.0713873
2021-07-12 09:00:00,1130.0,1220.0,1110.0,1210.0,13811834.74041623,16084828124.9495
2021-07-13 09:00:00,1210.0,1210.0,1095.0,1155.0,6040694.63326401,6918314734.301315
2021-07-14 09:00:00,1160.0,1180.0,1035.0,1130.0,5269157.65617459,5806726975.957276
2021-07-15 09:00:00,1130.0,1135.0,1055.0,1100.0,3289159.10597385,3568628511.246153
2021-07-16 09:00:00,1100.0,1230.0,993.0,1020.0,14092955.20135987,15901173550.586441
2021-07-17 09:00:00,1020.0,1065.0,987.0,1055.0,2248326.55146063,2297336588.506219
2021-07-18 09:00:00,1055.0,1080.0,1025.0,1070.0,1842748.28448431,1938549449.6558363
2021-07-19 09:00:00,1070.0,1080.0,994.0,1055.0,1899403.42097693,1961097366.1536624
2021-07-20 09:00:00,1055.0,1060.0,900.0,960.0,4158122.10062663,3953060431.6083193
2021-07-21 09:00:00,960.0,1035.0,904.0,1025.0,4158232.05059984,4057187385.915302
2021-07-22 09:00:00,1030.0,1045.0,993.0,1040.0,3072351.89702009,3129631536.240517
2021-07-23 09:00:00,1040.0,1070.0,1010.0,1055.0,4176047.64684447,4340641176.508676
2021-07-24 09:00:00,1050.0,1090.0,1025.0,1085.0,3562392.76959528,3754184333.8671536
2021-07-25 09:00:00,1085.0,1085.0,1030.0,1065.0,3738415.59856891,3933989473.0478287
2021-07-26 09:00:00,1065.0,1160.0,1045.0,1100.0,7502030.51889429,8242612083.77906
2021-07-27 09:00:00,1105.0,1140.0,1035.0,1135.0,4601157.61118039,5020712826.19718
2021-07-28 09:00:00,1135.0,1300.0,1115.0,1165.0,34588508.9007777,41342650049.49211
2021-07-29 09:00:00,1165.0,1240.0,1115.0,1235.0,8778269.47635419,10332253406.840267
2021-07-30 09:00:00,1240.0,1310.0,1130.0,1300.0,11961613.27691557,14778973285.482883
2021-07-31 09:00:00,1300.0,1480.0,1300.0,1400.0,33738430.51391708,46703581783.99016
2021-08-01 09:00:00,1400.0,1530.0,1320.0,1350.0,18454417.59970524,26051440359.31686
2021-08-02 09:00:00,1350.0,1385.0,1235.0,1365.0,5826882.2378785,7587047654.862633
2021-08-03 09:00:00,1365.0,1550.0,1270.0,1345.0,34832618.20911299,49503773612.29032
2021-08-04 09:00:00,1345.0,1350.0,1270.0,1340.0,4528052.98807255,5904118824.852267
2021-08-05 09:00:00,1340.0,1360.0,1290.0,1355.0,5103225.69131613,6734429617.785396
2021-08-06 09:00:00,1350.0,1415.0,1310.0,1405.0,5050050.03174804,6820910229.636742
2021-08-07 09:00:00,1405.0,1665.0,1405.0,1470.0,54170879.25395533,84267903438.63628
2021-08-08 09:00:00,1460.0,1475.0,1400.0,1415.0,4529798.41220501,6443903527.043568
2021-08-09 09:00:00,1425.0,1445.0,1355.0,1440.0,3814954.23486959,5346355179.505749
2021-08-10 09:00:00,1440.0,1455.0,1405.0,1450.0,4307663.48617238,6140469840.06068
2021-08-11 09:00:00,1450.0,1540.0,1415.0,1495.0,12708500.51348188,18889409655.147488
2021-08-12 09:00:00,1500.0,1525.0,1400.0,1460.0,8815570.14896731,12865787742.702198
2021-08-13 09:00:00,1450.0,1515.0,1410.0,1510.0,6236650.82645313,9190657093.777838
2021-08-14 09:00:00,1505.0,1575.0,1470.0,1565.0,18128520.43698239,27668619560.82642
2021-08-15 09:00:00,1560.0,1590.0,1495.0,1570.0,7051722.33613306,10822167418.982147
2021-08-16 09:00:00,1570.0,1570.0,1515.0,1545.0,6662804.32267734,10300857642.326574
2021-08-17 09:00:00,1545.0,1550.0,1465.0,1475.0,5758084.43974792,8659406586.413958
2021-08-18 09:00:00,1475.0,1485.0,1385.0,1430.0,2885065.48472026,4125419542.7951856
2021-08-19 09:00:00,1430.0,1480.0,1395.0,1470.0,2457643.13102727,3503619766.787419
2021-08-20 09:00:00,1470.0,1530.0,1445.0,1515.0,3325691.17259761,4927245581.886781
2021-08-21 09:00:00,1515.0,1525.0,1480.0,1515.0,4061104.77312085,6091310219.877259
2021-08-22 09:00:00,1510.0,1550.0,1485.0,1535.0,4891473.15354301,7399763988.5906725
2021-08-23 09:00:00,1535.0,1640.0,1505.0,1615.0,18538471.83783894,29451714327.270004
2021-08-24 09:00:00,1620.0,1750.0,1550.0,1715.0,23459175.71961977,39279238179.61048
2021-08-25 09:00:00,1715.0,1730.0,1550.0,1725.0,12291039.6297187,20084258608.49731
2021-08-26 09:00:00,1725.0,1730.0,1555.0,1585.0,7731396.1964013,12574491488.394516
2021-08-27 09:00:00,1585.0,1655.0,1495.0,1645.0,5257404.90792886,8233755819.966426
2021-08-28 09:00:00,1645.0,1645.0,1585.0,1615.0,3439633.5890296,5533400151.252616
2021-08-29 09:00:00,1625.0,1650.0,1530.0,1625.0,3943281.67513142,6230432542.2440405
2021-08-30 09:00:00,1640.0,1820.0,1550.0,1565.0,11935128.87723812,19497100065.64762
2021-08-31 09:00:00,1560.0,1795.0,1525.0,1600.0,22626240.72222519,36928705688.71726
2021-09-01 09:00:00,1605.0,1645.0,1525.0,1645.0,6822199.00461695,10822275099.653137
2021-09-02 09:00:00,1635.0,1710.0,1605.0,1690.0,6147458.00307525,10161291332.159666
2021-09-03 09:00:00,1685.0,1810.0,1635.0,1810.0,9136264.84322413,15866790388.857395
2021-09-04 09:00:00,1800.0,2200.0,1765.0,2150.0,50161580.58251488,100899264334.86807
2021-09-05 09:00:00,2155.0,2275.0,1895.0,1985.0,14124310.51127877,28900208129.219807
2021-09-06 09:00:00,1900.0,3220.0,1900.0,2225.0,141106436.96597672,342542442996.0452
2021-09-07 09:00:00,2225.0,2225.0,1655.0,1840.0,15584224.24194636,31597400926.925102
2021-09-08 09:00:00,1840.0,2025.0,1635.0,1945.0,15127728.02291596,28208860824.03437
2021-09-09 09:00:00,1950.0,2115.0,1870.0,2105.0,5302519.60084146,10472397460.82166
2021-09-10 09:00:00,2105.0,2170.0,1860.0,1960.0,7258558.10511584,14543040203.091875
2021-09-11 09:00:00,1960.0,2100.0,1815.0,2005.0,6388407.33132732,12337115037.40443
2021-09-12 09:00:00,2015.0,2020.0,1885.0,1985.0,2907404.98838938,5665345910.06675
2021-09-13 09:00:00,1985.0,2005.0,1780.0,1920.0,4045719.76265559,7627024146.765632
2021-09-14 09:00:00,1920.0,2130.0,1855.0,2090.0,13956841.75250312,28292525655.183834
2021-09-15 09:00:00,2090.0,2460.0,2020.0,2390.0,45462264.23857965,105078679017.29845
2021-09-16 09:00:00,2385.0,2850.0,2265.0,2280.0,98419438.03562298,254239276260.42465
2021-09-17 09:00:00,2280.0,2305.0,2120.0,2185.0,14081271.06513849,30834292327.90498
2021-09-18 09:00:00,2185.0,2570.0,2150.0,2415.0,75618510.93013184,182898931477.98962
2021-09-19 09:00:00,2420.0,2795.0,2350.0,2525.0,91388293.55464324,240102182298.11032
2021-09-20 09:00:00,2525.0,2525.0,2070.0,2165.0,21799912.34407883,49138731218.30554
2021-09-21 09:00:00,2165.0,2335.0,1890.0,1920.0,16523203.10713836,34833928754.98074
2021-09-22 09:00:00,1930.0,2165.0,1795.0,2120.0,38586836.13475596,77013731328.25943
2021-09-23 09:00:00,2120.0,2390.0,2010.0,2200.0,28186677.17452196,61049698665.64811
2021-09-24 09:00:00,2200.0,2200.0,1875.0,2015.0,11134379.2346603,22529640657.39233
2021-09-25 09:00:00,2020.0,2220.0,1900.0,2015.0,26078742.34530113,53748750320.60235
2021-09-26 09:00:00,2015.0,2015.0,1825.0,1925.0,4873297.0506376,9318372119.209679
2021-09-27 09:00:00,1925.0,1985.0,1830.0,1860.0,3984206.35227776,7510731874.529772
2021-09-28 09:00:00,1860.0,1860.0,1670.0,1685.0,7364845.94662637,12826977519.20049
2021-09-29 09:00:00,1705.0,1785.0,1585.0,1695.0,7852333.86603305,13204694716.970364
2021-09-30 09:00:00,1690.0,1840.0,1665.0,1805.0,9528426.97310006,16657062057.029123
2021-10-01 09:00:00,1810.0,1950.0,1750.0,1935.0,8677191.15315776,16050971217.977703
2021-10-02 09:00:00,1930.0,2000.0,1865.0,1955.0,8960831.90435126,17308294350.142593
2021-10-03 09:00:00,1955.0,1975.0,1860.0,1940.0,7486222.46180266,14296657847.113865
2021-10-04 09:00:00,1935.0,1965.0,1790.0,1895.0,8316486.16445315,15595735676.516132
2021-10-05 09:00:00,1890.0,1985.0,1825.0,1970.0,9643323.75982265,18418767079.85966
2021-10-06 09:00:00,1965.0,2230.0,1900.0,2060.0,25630031.3692154,52854406836.469444
2021-10-07 09:00:00,2055.0,2130.0,1955.0,2125.0,7024045.65933242,14217419827.681904
2021-10-08 09:00:00,2125.0,2440.0,2075.0,2300.0,18115971.16669306,40792030115.16148
2021-10-09 09:00:00,2300.0,2480.0,2120.0,2225.0,17553166.58999279,40638945609.050095
2021-10-10 09:00:00,2225.0,6480.0,2220.0,2690.0,288574370.48763925,1020139377952.1036
2021-10-11 09:00:00,2715.0,3020.0,2430.0,2530.0,31432388.46786825,79362795331.21758
2021-10-12 09:00:00,2530.0,2535.0,2210.0,2360.0,11657087.87816321,26959750188.174763
2021-10-13 09:00:00,2360.0,2830.0,2300.0,2490.0,35074181.30261424,88450259836.15924
2021-10-14 09:00:00,2485.0,2900.0,2465.0,2875.0,53305317.84220203,144675513321.94897
2021-10-15 09:00:00,2880.0,3165.0,2410.0,2590.0,56227385.38955625,156416001233.3358
2021-10-16 09:00:00,2590.0,2630.0,2425.0,2530.0,9361834.46005745,23417487914.91581
2021-10-17 09:00:00,2530.0,2540.0,2350.0,2415.0,4979953.82720114,12125555853.044758
2021-10-18 09:00:00,2420.0,2455.0,2230.0,2450.0,5859645.80549315,13594716283.913567
2021-10-19 09:00:00,2445.0,2580.0,2325.0,2565.0,5247726.22268612,12769890021.785896
2021-10-20 09:00:00,2570.0,2645.0,2420.0,2575.0,6134838.27406589,15354177476.03869
2021-10-21 09:00:00,2580.0,2580.0,2415.0,2460.0,5128482.33064599,12807309267.000578
2021-10-22 09:00:00,2460.0,2675.0,2450.0,2570.0,19457395.95028564,49572940209.152306
2021-10-23 09:00:00,2565.0,2650.0,2490.0,2640.0,4211117.67935641,10755082814.658886
2021-10-24 09:00:00,2640.0,2745.0,2520.0,2575.0,7752349.83852966,20255763460.751553
2021-10-25 09:00:00,2575.0,2590.0,2525.0,2590.0,2444821.14958317,6226773821.9447775
2021-10-26 09:00:00,2590.0,2590.0,2510.0,2530.0,2932523.0392066,7431283809.41765
2021-10-27 09:00:00,2525.0,2530.0,2100.0,2245.0,10149761.4010749,23427043427.15076
2021-10-28 09:00:00,2245.0,2330.0,2130.0,2305.0,4028930.57449326,9042928680.515656
2021-10-29 09:00:00,2305.0,2370.0,2255.0,2345.0,3497251.04889233,8040193900.26316
2021-10-30 09:00:00,2345.0,2510.0,2305.0,2435.0,12217962.25711112,29445119890.079224
2021-10-31 09:00:00,2435.0,2450.0,2265.0,2435.0,8796825.63894095,20635203851.17182
2021-11-01 09:00:00,2435.0,2440.0,2285.0,2365.0,4504778.10675859,10556529815.40994
2021-11-02 09:00:00,2365.0,2525.0,2290.0,2410.0,12272599.75953061,29488833236.07173
2021-11-03 09:00:00,2410.0,2410.0,2250.0,2365.0,5625506.0391934,13113451932.775347
2021-11-04 09:00:00,2365.0,2465.0,2340.0,2435.0,7856599.76380365,18950426643.406128
2021-11-05 09:00:00,2435.0,2435.0,2370.0,2420.0,3266194.51673964,7817106640.508992
2021-11-06 09:00:00,2425.0,2440.0,2350.0,2400.0,2759685.74392599,6602579794.075507
2021-11-07 09:00:00,2400.0,2420.0,2365.0,2415.0,2243682.48356925,5356804470.188958
2021-11-08 09:00:00,2415.0,2420.0,2330.0,2395.0,3240572.9657273,7678929051.758266
2021-11-09 09:00:00,2390.0,2390.0,2315.0,2345.0,3238915.95869307,7606470766.770102
2021-11-10 09:00:00,2350.0,2350.0,2235.0,2265.0,3076295.67949731,7065537136.52252
2021-11-11 09:00:00,2260.0,2265.0,2200.0,2260.0,2048742.82414215,4578163877.675232
2021-11-12 09:00:00,2260.0,2260.0,2150.0,2205.0,2850719.12413447,6261433682.252748
2021-11-13 09:00:00,2205.0,2385.0,2195.0,2265.0,10873108.62377858,24845444919.70814
2021-11-14 09:00:00,2270.0,2270.0,2210.0,2245.0,1534164.61347906,3436580191.876462
2021-11-15 09:00:00,2240.0,2355.0,2225.0,2305.0,5056535.33559458,11505119385.276592
2021-11-16 09:00:00,2310.0,2310.0,2085.0,2200.0,5054799.56472523,11071926555.263525
2021-11-17 09:00:00,2200.0,2340.0,2105.0,2335.0,9731560.17222447,21766937477.295647
