,open,high,low,close,volume,value
2021-06-04 09:00:00,962.0,964.0,853.0,884.0,7334995.25749448,6616216299.727817
2021-06-05 09:00:00,887.0,949.0,860.0,887.0,7993256.53508983,7281246579.782393
2021-06-06 09:00:00,887.0,919.0,869.0,889.0,5924450.16853523,5248997396.676434
2021-06-07 09:00:00,889.0,921.0,800.0,807.0,5751329.61574876,4996608879.60291
2021-06-08 09:00:00,807.0,825.0,710.0,774.0,6331430.14648987,4902472262.736348
2021-06-09 09:00:00,774.0,813.0,731.0,811.0,5070744.55353918,3952839150.119917
2021-06-10 09:00:00,811.0,819.0,759.0,778.0,4150111.52070698,3269025147.3665195
2021-06-11 09:00:00,778.0,832.0,748.0,754.0,11335783.78734797,8959131039.686226
2021-06-12 09:00:00,757.0,760.0,689.0,719.0,4638501.60423719,3325417145.549957
2021-06-13 09:00:00,719.0,758.0,697.0,746.0,3252003.65371408,2347110392.0200944
2021-06-14 09:00:00,746.0,779.0,732.0,772.0,3714375.4681969,2804686652.077784
2021-06-15 09:00:00,773.0,828.0,765.0,796.0,5903566.42421443,4744021902.781822
2021-06-16 09:00:00,800.0,804.0,762.0,776.0,4345498.06298045,3396465202.7498107
2021-06-17 09:00:00,777.0,803.0,763.0,777.0,2689946.97002819,2113370398.4944038
2021-06-18 09:00:00,777.0,825.0,708.0,723.0,12683085.31466282,9704706496.066723
2021-06-19 09:00:00,725.0,739.0,700.0,707.0,2183462.14658229,1574027207.3738322
2021-06-20 09:00:00,708.0,717.0,669.0,708.0,4868036.28369409,3378218111.9166408
2021-06-21 09:00:00,707.0,710.0,590.0,606.0,7183208.33461714,4558891638.2841215
2021-06-22 09:00:00,606.0,625.0,500.0,562.0,10623543.55961956,5958079247.839257
2021-06-23 09:00:00,562.0,655.0,541.0,640.0,3425138.46105391,2120289742.2970223
2021-06-24 09:00:00,640.0,669.0,614.0,660.0,2837588.34802609,1827812393.4316666
2021-06-25 09:00:00,664.0,685.0,600.0,609.0,3901903.77944319,2485286912.3973184
2021-06-26 09:00:00,612.0,622.0,571.0,597.0,3768651.06268506,2232513847.8441725
2021-06-27 09:00:00,597.0,625.0,585.0,625.0,2734103.58917299,1645974783.944886
2021-06-28 09:00:00,623.0,659.0,612.0,648.0,3774937.4045519,2381907533.0355554
