,open,high,low,close,volume,value
2021-06-04 09:00:00,198.0,201.0,183.0,189.0,60626266.91760706,11561408275.008276
2021-06-05 09:00:00,189.0,192.0,183.0,186.0,24324385.26174259,4549301023.201872
2021-06-06 09:00:00,186.0,193.0,183.0,189.0,67267062.35427886,12634084231.95697
2021-06-07 09:00:00,189.0,192.0,172.0,174.0,46134297.09198763,8572468056.412949
2021-06-08 09:00:00,174.0,177.0,145.0,160.0,87139944.97408801,13909515995.108318
2021-06-09 09:00:00,161.0,163.0,147.0,162.0,48165826.88569486,7500569841.957634
2021-06-10 09:00:00,162.0,176.0,161.0,169.0,117430312.60576148,19795494683.582684
2021-06-11 09:00:00,169.0,174.0,135.0,143.0,114774450.48126677,17621360867.881603
2021-06-12 09:00:00,142.0,156.0,108.0,115.0,126835390.06865856,15822204065.946676
2021-06-13 09:00:00,115.0,128.0,100.0,114.0,135658540.26314127,14974954506.047827
2021-06-14 09:00:00,114.0,129.0,107.0,120.0,219367594.93849903,26160372209.449593
2021-06-15 09:00:00,120.0,139.0,117.0,130.0,293317522.3916936,37968437366.45199
2021-06-16 09:00:00,130.0,139.0,118.0,120.0,205763574.45308864,26768867258.65382
2021-06-17 09:00:00,120.0,125.0,108.0,112.0,181079272.08491987,20689360786.10398
2021-06-18 09:00:00,112.0,112.0,102.0,106.0,109624477.02341409,11517233139.255466
2021-06-19 09:00:00,106.0,111.0,104.0,105.0,112680243.11383371,12070426022.678068
2021-06-20 09:00:00,105.0,106.0,88.2,97.4,91079668.18328846,8821745536.043884
2021-06-21 09:00:00,97.4,97.4,59.5,64.2,142914538.94716513,11215213384.535423
2021-06-22 09:00:00,64.2,66.4,48.3,54.5,147456326.5382569,8203158804.469381
2021-06-23 09:00:00,54.4,65.7,51.4,62.4,91480439.17405558,5248171855.211696
2021-06-24 09:00:00,62.2,70.9,59.8,69.3,109843761.90700273,7256867491.478142
2021-06-25 09:00:00,69.3,81.9,66.1,67.6,312770996.1487016,23346226914.5809
2021-06-26 09:00:00,67.6,76.9,65.0,71.8,221222569.62686485,15837171380.176193
2021-06-27 09:00:00,71.7,73.7,69.0,73.6,56362625.82132684,4017157625.967177
2021-06-28 09:00:00,73.7,105.0,71.8,99.6,1762889798.998851,166652253399.78467
2021-06-29 09:00:00,99.6,123.0,88.5,106.0,613620539.4864901,65942349405.824684
2021-06-30 09:00:00,105.0,106.0,93.7,104.0,110266333.8974672,10888509278.076086
2021-07-01 09:00:00,104.0,119.0,100.0,114.0,335922600.9192513,36811453210.262886
2021-07-02 09:00:00,114.0,115.0,102.0,110.0,91751229.09609514,9864134967.036804
2021-07-03 09:00:00,111.0,135.0,109.0,120.0,466805225.6618394,57068756354.689995
2021-07-04 09:00:00,120.0,130.0,113.0,124.0,212870201.30388847,26342754163.886044
2021-07-05 09:00:00,124.0,157.0,122.0,139.0,471097128.8599047,65347131943.94694
2021-07-06 09:00:00,140.0,143.0,131.0,139.0,112406341.62327185,15433678953.273087
2021-07-07 09:00:00,139.0,140.0,131.0,137.0,82814769.87821706,11186012978.972303
2021-07-08 09:00:00,137.0,138.0,111.0,118.0,124779003.47727168,15234468916.215506
2021-07-09 09:00:00,122.0,149.0,119.0,135.0,729720844.9843134,97019148682.48099
2021-07-10 09:00:00,135.0,142.0,131.0,137.0,172663410.84847426,23739041904.26888
2021-07-11 09:00:00,137.0,146.0,127.0,139.0,287914885.2783465,39806483798.549095
2021-07-12 09:00:00,139.0,141.0,135.0,139.0,104636715.60924257,14452474439.502068
2021-07-13 09:00:00,139.0,139.0,128.0,135.0,66938890.5939863,8929947427.43891
2021-07-14 09:00:00,134.0,135.0,117.0,127.0,84742278.05715415,10521216670.174173
2021-07-15 09:00:00,127.0,134.0,122.0,129.0,209296452.1819549,26696490440.89242
2021-07-16 09:00:00,128.0,129.0,106.0,114.0,114729499.22431839,13477464298.490183
2021-07-17 09:00:00,114.0,119.0,108.0,116.0,91835582.70178565,10521709027.238173
2021-07-18 09:00:00,115.0,123.0,113.0,117.0,73393011.36599614,8638206484.279308
2021-07-19 09:00:00,117.0,119.0,107.0,111.0,59601640.17253157,6724470908.854195
2021-07-20 09:00:00,111.0,111.0,94.9,102.0,149371984.51076037,15259417298.047955
2021-07-21 09:00:00,102.0,113.0,100.0,112.0,161749513.10193843,17515185961.92946
2021-07-22 09:00:00,112.0,115.0,109.0,112.0,63357655.79521273,7060535606.968479
2021-07-23 09:00:00,112.0,123.0,110.0,119.0,251968630.6248832,29400880560.81998
2021-07-24 09:00:00,119.0,127.0,115.0,122.0,181460551.81716815,21916887058.730297
2021-07-25 09:00:00,121.0,132.0,118.0,131.0,253001648.3126226,31584264396.27755
2021-07-26 09:00:00,131.0,139.0,125.0,129.0,236829558.6434166,31397074665.784573
2021-07-27 09:00:00,129.0,143.0,128.0,140.0,270917607.5395433,36728688677.702484
2021-07-28 09:00:00,140.0,145.0,133.0,138.0,192770143.4867957,26717538018.940144
2021-07-29 09:00:00,138.0,199.0,136.0,160.0,1083402198.7664084,175554423635.32523
2021-07-30 09:00:00,160.0,199.0,148.0,173.0,650026864.2275589,112069392142.39325
2021-07-31 09:00:00,172.0,183.0,166.0,169.0,140564081.02723277,24269114690.824875
2021-08-01 09:00:00,169.0,170.0,156.0,158.0,95250174.1484028,15627660735.610416
2021-08-02 09:00:00,159.0,163.0,150.0,159.0,88880206.12199055,13959081667.341152
2021-08-03 09:00:00,158.0,161.0,149.0,154.0,65920205.98577624,10183335748.01562
2021-08-04 09:00:00,154.0,168.0,152.0,165.0,146821192.12636295,23318351639.251637
2021-08-05 09:00:00,166.0,213.0,164.0,186.0,797418784.522168,152032490132.32715
2021-08-06 09:00:00,186.0,274.0,186.0,263.0,2437495702.041698,578513481255.2433
2021-08-07 09:00:00,263.0,329.0,258.0,273.0,1956380926.929285,575434860753.1868
2021-08-08 09:00:00,274.0,280.0,245.0,278.0,638516585.5573586,167550021889.57922
2021-08-09 09:00:00,277.0,280.0,257.0,271.0,380352173.5572499,100865125743.64044
2021-08-10 09:00:00,271.0,272.0,257.0,268.0,275448946.4074608,72470936702.3546
2021-08-11 09:00:00,268.0,282.0,260.0,268.0,409269368.929332,109762768925.74896
2021-08-12 09:00:00,269.0,277.0,248.0,258.0,262562985.7052953,69139957218.98366
2021-08-13 09:00:00,257.0,269.0,250.0,267.0,200016084.68963024,51865467882.36037
2021-08-14 09:00:00,267.0,269.0,256.0,262.0,226732543.04020634,59611613090.787544
2021-08-15 09:00:00,262.0,263.0,243.0,257.0,168594299.09315512,42709899318.91655
2021-08-16 09:00:00,256.0,257.0,248.0,250.0,88968331.83914137,22448027933.10314
2021-08-17 09:00:00,250.0,256.0,237.0,243.0,133899638.86266652,32976136065.055405
2021-08-18 09:00:00,242.0,245.0,229.0,237.0,73063384.35543254,17296066255.49668
2021-08-19 09:00:00,238.0,275.0,234.0,265.0,627878249.8072522,163710919171.89648
2021-08-20 09:00:00,265.0,282.0,257.0,269.0,455393404.3949862,123403797149.99248
2021-08-21 09:00:00,269.0,284.0,267.0,274.0,331160976.24202615,91320746272.98338
2021-08-22 09:00:00,274.0,275.0,257.0,262.0,136571574.55093235,36385880460.79953
2021-08-23 09:00:00,263.0,279.0,262.0,272.0,265579263.71999687,71799349749.85954
2021-08-24 09:00:00,272.0,272.0,255.0,256.0,145026752.17211926,38362285822.85037
2021-08-25 09:00:00,257.0,272.0,236.0,261.0,165318057.58340132,41902256408.15216
2021-08-26 09:00:00,260.0,261.0,239.0,240.0,73506121.36876366,18180794172.180794
2021-08-27 09:00:00,240.0,249.0,224.0,249.0,84397100.63372207,19934151731.563908
2021-08-28 09:00:00,248.0,249.0,241.0,244.0,45633367.60123527,11143122807.054285
2021-08-29 09:00:00,245.0,252.0,236.0,250.0,94405486.75123021,23010421052.238487
2021-08-30 09:00:00,250.0,265.0,243.0,261.0,256397685.7833343,65576736743.46103
2021-08-31 09:00:00,261.0,262.0,247.0,257.0,144760398.5263497,36618044103.732155
2021-09-01 09:00:00,257.0,278.0,250.0,267.0,261897985.01316446,68760761507.03482
2021-09-02 09:00:00,267.0,270.0,260.0,265.0,162827639.71150413,43092201125.36937
2021-09-03 09:00:00,264.0,270.0,260.0,268.0,154082875.41739097,40733766628.88162
2021-09-04 09:00:00,268.0,297.0,265.0,295.0,325135266.165363,90658565710.36992
2021-09-05 09:00:00,295.0,320.0,257.0,280.0,622936340.531504,185551535420.56058
2021-09-06 09:00:00,280.0,320.0,273.0,291.0,462245914.97495246,135893902514.18004
2021-09-07 09:00:00,291.0,293.0,207.0,240.0,244172667.7632403,63790348616.89878
2021-09-08 09:00:00,240.0,256.0,205.0,240.0,169705057.45887044,38852719250.37332
2021-09-09 09:00:00,240.0,252.0,237.0,248.0,99800845.5879796,24277716227.118835
2021-09-10 09:00:00,248.0,254.0,220.0,230.0,105637316.68124543,25362519105.86628
2021-09-11 09:00:00,230.0,242.0,224.0,237.0,64651879.88223904,15101776674.900002
2021-09-12 09:00:00,237.0,238.0,227.0,237.0,44586056.73361928,10331762514.496237
2021-09-13 09:00:00,236.0,237.0,211.0,220.0,83851115.80140431,18549125138.494965
2021-09-14 09:00:00,220.0,230.0,216.0,228.0,49522912.82429471,11000310291.538776
2021-09-15 09:00:00,228.0,231.0,221.0,229.0,36790508.76736599,8312618193.188584
2021-09-16 09:00:00,229.0,235.0,222.0,234.0,49539914.45649067,11328701593.262651
