,open,high,low,close,volume,value
2022-03-17 09:00:00,2835.0,4480.0,2835.0,3595.0,72599808.00549091,279266928296.09705
2022-03-18 09:00:00,3590.0,4180.0,3435.0,3765.0,67046821.03719913,254287577151.44736
2022-03-19 09:00:00,3760.0,3835.0,3645.0,3700.0,16062015.41569321,60149551229.43056
2022-03-20 09:00:00,3700.0,3700.0,3500.0,3515.0,4928737.42063258,17662808083.732613
2022-03-21 09:00:00,3515.0,3675.0,3405.0,3525.0,7617881.08635956,27161747543.810307
2022-03-22 09:00:00,3525.0,3600.0,3490.0,3565.0,2622792.40226366,9315776752.25263
2022-03-23 09:00:00,3565.0,3940.0,3550.0,3820.0,14946892.0851985,56455079868.576324
2022-03-24 09:00:00,3815.0,3850.0,3670.0,3745.0,2497566.42025954,9321462207.941496
2022-03-25 09:00:00,3745.0,3885.0,3665.0,3745.0,3278890.3426846,12467733965.918213
2022-03-26 09:00:00,3745.0,3930.0,3740.0,3795.0,3592101.44935183,13752106493.39049
2022-03-27 09:00:00,3795.0,3960.0,3710.0,3940.0,1972606.93463978,7537938555.317974
2022-03-28 09:00:00,3940.0,4195.0,3840.0,3880.0,2931869.08087067,11830091737.956459
2022-03-29 09:00:00,3895.0,5300.0,3780.0,4170.0,24009473.84512021,108117302353.50166
2022-03-30 09:00:00,4165.0,4185.0,3980.0,4030.0,982502.11070192,4013095569.406597
