,open,high,low,close,volume,value
2021-06-04 09:00:00,341.0,354.0,301.0,315.0,93214245.9914184,30122027860.873013
2021-06-05 09:00:00,314.0,327.0,302.0,309.0,47802783.6528076,14978397920.39549
2021-06-06 09:00:00,309.0,317.0,305.0,311.0,73276589.05221406,22711356937.335224
2021-06-07 09:00:00,311.0,319.0,276.0,280.0,72634213.26623324,22087395784.97703
2021-06-08 09:00:00,281.0,287.0,236.0,269.0,61472379.21361174,16355349795.791119
2021-06-09 09:00:00,269.0,281.0,249.0,279.0,49415578.96299017,13237671541.742928
2021-06-10 09:00:00,279.0,330.0,267.0,323.0,214808635.54915082,65759713278.70346
2021-06-11 09:00:00,324.0,414.0,300.0,347.0,1145907024.3488145,433376061464.2766
2021-06-12 09:00:00,347.0,405.0,317.0,318.0,637161250.9150997,223532256870.8118
2021-06-13 09:00:00,319.0,331.0,306.0,328.0,184812427.5963462,58877758146.63931
2021-06-14 09:00:00,329.0,343.0,316.0,324.0,180974546.48149174,59805536642.451805
2021-06-15 09:00:00,323.0,395.0,318.0,381.0,406932735.94945276,146329697652.6372
2021-06-16 09:00:00,383.0,429.0,359.0,400.0,903564208.9032358,358638070337.9801
2021-06-17 09:00:00,399.0,408.0,375.0,383.0,351080179.4003732,137019639350.10608
2021-06-18 09:00:00,383.0,383.0,336.0,345.0,189255662.33680862,67988677309.58213
2021-06-19 09:00:00,345.0,355.0,331.0,336.0,133105646.02895547,45870667917.046814
2021-06-20 09:00:00,336.0,363.0,316.0,337.0,221896559.5860531,75627183892.83313
2021-06-21 09:00:00,337.0,341.0,247.0,255.0,213485702.34506172,63786969897.010345
2021-06-22 09:00:00,255.0,292.0,210.0,258.0,366873166.67358905,93780075544.79034
2021-06-23 09:00:00,258.0,296.0,245.0,278.0,260776474.83651534,72863110214.89464
2021-06-24 09:00:00,278.0,298.0,265.0,289.0,148654287.56597012,41574649595.086975
2021-06-25 09:00:00,289.0,301.0,263.0,266.0,134549529.2420778,38226260320.09566
2021-06-26 09:00:00,265.0,281.0,255.0,270.0,80858518.57891604,21632831774.6104
2021-06-27 09:00:00,271.0,278.0,262.0,275.0,50841891.35814072,13697303624.913818
2021-06-28 09:00:00,275.0,289.0,270.0,283.0,86819715.19428249,24170614833.248222
2021-06-29 09:00:00,283.0,303.0,280.0,295.0,144773260.63566667,42212671732.59046
2021-06-30 09:00:00,295.0,298.0,280.0,296.0,118470984.3988186,34172158361.144966
2021-07-01 09:00:00,297.0,298.0,275.0,283.0,106735693.20525776,30435734938.9327
2021-07-02 09:00:00,282.0,285.0,270.0,278.0,63364043.15655628,17497656857.86953
2021-07-03 09:00:00,279.0,283.0,272.0,280.0,44314028.40664396,12358433623.762148
2021-07-04 09:00:00,280.0,288.0,277.0,283.0,58317032.97688238,16504184839.21746
2021-07-05 09:00:00,284.0,287.0,267.0,273.0,94280522.51672558,26225786077.6818
2021-07-06 09:00:00,273.0,292.0,273.0,283.0,158295102.87646046,44778374482.19389
2021-07-07 09:00:00,284.0,328.0,278.0,306.0,655792301.301475,202722270523.28705
2021-07-08 09:00:00,306.0,334.0,288.0,295.0,744087477.3208292,231197079468.65012
2021-07-09 09:00:00,295.0,302.0,271.0,299.0,207353962.3804141,59295369663.05108
2021-07-10 09:00:00,299.0,316.0,289.0,302.0,228001226.14384705,69144791773.61252
2021-07-11 09:00:00,302.0,317.0,295.0,304.0,155020875.42090312,47368941631.64538
2021-07-12 09:00:00,304.0,305.0,287.0,293.0,89515939.12716413,26485141697.178177
2021-07-13 09:00:00,293.0,296.0,280.0,284.0,90469869.27428642,26136380713.781235
2021-07-14 09:00:00,284.0,302.0,265.0,292.0,131429697.41938132,37200957964.48178
2021-07-15 09:00:00,293.0,331.0,285.0,307.0,499895034.08079404,155535669671.66928
