,open,high,low,close,volume,value
2021-06-04 09:00:00,152.0,152.0,137.0,143.0,33117316.45708919,4744679454.280291
2021-06-05 09:00:00,142.0,146.0,138.0,140.0,16784645.20082418,2387368459.067296
2021-06-06 09:00:00,139.0,144.0,139.0,144.0,23814170.14851829,3351922454.926882
2021-06-07 09:00:00,144.0,151.0,132.0,133.0,66957153.64934787,9647336675.883757
2021-06-08 09:00:00,133.0,135.0,124.0,132.0,38104802.03578446,4961747394.178191
2021-06-09 09:00:00,132.0,143.0,126.0,143.0,18744488.78179385,2503111581.75883
2021-06-10 09:00:00,143.0,144.0,135.0,138.0,22580980.33038151,3148622877.334856
2021-06-11 09:00:00,138.0,140.0,134.0,137.0,32810036.02516996,4507620631.828058
2021-06-12 09:00:00,137.0,139.0,127.0,130.0,31197863.25082142,4120921255.232935
2021-06-13 09:00:00,130.0,139.0,127.0,138.0,18057349.61292666,2369928341.534356
2021-06-14 09:00:00,138.0,140.0,135.0,138.0,26852035.56906621,3683314805.027503
2021-06-15 09:00:00,137.0,138.0,134.0,135.0,17719207.9806448,2406772354.020458
2021-06-16 09:00:00,136.0,144.0,134.0,134.0,48975683.25250441,6785672994.307182
2021-06-17 09:00:00,136.0,136.0,133.0,135.0,14356411.76662736,1931967270.2843223
2021-06-18 09:00:00,135.0,135.0,124.0,125.0,17449276.707988,2267155598.932187
2021-06-19 09:00:00,126.0,130.0,121.0,127.0,14880016.47589966,1865482731.4716785
2021-06-20 09:00:00,127.0,128.0,118.0,125.0,17297271.81843235,2128787657.0404978
2021-06-21 09:00:00,126.0,126.0,104.0,106.0,42021032.85715396,4730156373.642093
2021-06-22 09:00:00,106.0,115.0,93.5,103.0,78220171.68929397,8071474598.065502
2021-06-23 09:00:00,103.0,112.0,99.6,112.0,29676284.26817099,3174038959.7946897
2021-06-24 09:00:00,110.0,118.0,108.0,116.0,29139752.33168977,3282656524.4867826
2021-06-25 09:00:00,117.0,120.0,109.0,111.0,22830221.00565028,2652340631.9861856
2021-06-26 09:00:00,111.0,116.0,105.0,111.0,45875028.90350302,5043702700.846618
2021-06-27 09:00:00,111.0,123.0,109.0,122.0,36860000.46115173,4263343808.060492
2021-06-28 09:00:00,122.0,127.0,118.0,127.0,21089059.09915826,2582414348.0157843
2021-06-29 09:00:00,127.0,138.0,125.0,134.0,44481232.0545569,5819491419.297289
2021-06-30 09:00:00,134.0,139.0,130.0,135.0,69605922.34307274,9255743026.054737
2021-07-01 09:00:00,134.0,137.0,130.0,132.0,30116988.12249052,4004040743.9186993
2021-07-02 09:00:00,132.0,134.0,126.0,133.0,23868873.00505394,3112486524.0177097
2021-07-03 09:00:00,133.0,140.0,130.0,139.0,30996989.72136645,4201586018.5447392
2021-07-04 09:00:00,139.0,145.0,136.0,143.0,23447608.82219699,3295923217.4531913
2021-07-05 09:00:00,143.0,143.0,130.0,136.0,43659635.647353,5942961824.889741
2021-07-06 09:00:00,136.0,187.0,135.0,142.0,531956019.992767,82697710014.33665
2021-07-07 09:00:00,141.0,146.0,135.0,139.0,114317542.72635569,15936510698.893557
2021-07-08 09:00:00,139.0,140.0,129.0,139.0,51652581.07149839,6938185933.945536
2021-07-09 09:00:00,137.0,142.0,128.0,141.0,41680104.91659531,5659391162.145047
2021-07-10 09:00:00,141.0,142.0,137.0,140.0,14351563.12898918,2003854350.9678135
2021-07-11 09:00:00,140.0,155.0,138.0,154.0,89033440.76639073,13024069026.141712
2021-07-12 09:00:00,154.0,154.0,144.0,145.0,42879440.13214525,6373211497.9574375
2021-07-13 09:00:00,146.0,152.0,141.0,151.0,44161492.68469335,6486706353.371517
2021-07-14 09:00:00,151.0,163.0,141.0,145.0,462066097.4348251,69614036002.65416
2021-07-15 09:00:00,145.0,147.0,132.0,134.0,96882549.85304596,13553402015.531643
2021-07-16 09:00:00,134.0,142.0,126.0,130.0,173477196.75891057,23450046357.269787
2021-07-17 09:00:00,130.0,135.0,129.0,132.0,39709125.93449629,5241543545.486184
2021-07-18 09:00:00,132.0,136.0,131.0,132.0,15238525.41732913,2028489528.188944
2021-07-19 09:00:00,132.0,133.0,125.0,125.0,18995598.3805748,2431089963.1079664
2021-07-20 09:00:00,125.0,131.0,116.0,121.0,84225767.54205354,10280280552.68604
2021-07-21 09:00:00,121.0,131.0,118.0,128.0,23320731.39860131,2909884051.8976493
2021-07-22 09:00:00,129.0,133.0,126.0,130.0,35573540.16945173,4633984586.237364
2021-07-23 09:00:00,130.0,135.0,128.0,132.0,55102306.85426204,7240042496.233493
2021-07-24 09:00:00,133.0,135.0,130.0,133.0,21799138.77912608,2885726082.9278555
2021-07-25 09:00:00,134.0,138.0,131.0,135.0,47874855.64726638,6439900057.384425
2021-07-26 09:00:00,134.0,145.0,134.0,135.0,62847927.56239385,8816364861.093992
2021-07-27 09:00:00,134.0,142.0,131.0,141.0,43897476.48315006,5968212990.647595
2021-07-28 09:00:00,140.0,147.0,137.0,140.0,75694641.7430676,10816927797.963373
2021-07-29 09:00:00,140.0,145.0,138.0,144.0,48880177.93977384,6895538687.8506155
