,open,high,low,close,volume,value
2021-06-04 09:00:00,414.0,416.0,366.0,380.0,12254476.20172178,4748455774.576516
2021-06-05 09:00:00,381.0,412.0,363.0,374.0,16546199.08289836,6434620481.166734
2021-06-06 09:00:00,371.0,400.0,367.0,378.0,14852554.03976676,5640927581.393323
2021-06-07 09:00:00,378.0,390.0,343.0,344.0,11839450.06417436,4409882417.614929
2021-06-08 09:00:00,344.0,352.0,300.0,328.0,10131563.12690411,3312588284.3686476
2021-06-09 09:00:00,328.0,345.0,318.0,343.0,23584332.68059412,7849166885.836982
2021-06-10 09:00:00,343.0,357.0,330.0,342.0,10865929.58817955,3715541476.5267735
2021-06-11 09:00:00,343.0,367.0,302.0,310.0,18537511.99975654,6202833205.07413
2021-06-12 09:00:00,310.0,312.0,281.0,295.0,9070145.44819548,2665058446.6743913
2021-06-13 09:00:00,295.0,314.0,287.0,306.0,9620494.09191316,2873156656.2287188
2021-06-14 09:00:00,308.0,323.0,298.0,316.0,8987317.16237944,2795582414.15059
2021-06-15 09:00:00,316.0,321.0,304.0,312.0,6956553.82329588,2166267905.824795
2021-06-16 09:00:00,312.0,314.0,290.0,300.0,8996515.77144711,2717302441.4335704
2021-06-17 09:00:00,300.0,319.0,292.0,296.0,10554962.06091334,3195377415.605734
2021-06-18 09:00:00,296.0,309.0,264.0,278.0,13886897.16526392,4014113221.8399115
2021-06-19 09:00:00,278.0,294.0,264.0,269.0,13488233.43309897,3779114662.771218
2021-06-20 09:00:00,271.0,298.0,244.0,266.0,27670635.5293145,7474475195.385037
2021-06-21 09:00:00,266.0,269.0,203.0,207.0,12427242.95050296,2931339899.546926
2021-06-22 09:00:00,206.0,220.0,166.0,198.0,13198854.63423585,2582913417.0166464
2021-06-23 09:00:00,197.0,226.0,185.0,216.0,14261347.73089203,3082195408.52769
2021-06-24 09:00:00,216.0,231.0,203.0,228.0,10012314.96370488,2194405081.770232
2021-06-25 09:00:00,228.0,236.0,203.0,209.0,11268421.17385314,2499138831.9717636
2021-06-26 09:00:00,209.0,221.0,201.0,221.0,6231432.96326254,1311121341.8027897
2021-06-27 09:00:00,221.0,228.0,208.0,221.0,11143872.33646471,2408278565.0936184
2021-06-28 09:00:00,221.0,240.0,213.0,239.0,16309174.73028863,3672613264.2981176
2021-06-29 09:00:00,237.0,267.0,234.0,261.0,20095897.2769872,5033995736.071082
2021-06-30 09:00:00,262.0,322.0,252.0,289.0,70564799.12507129,20063711706.0871
2021-07-01 09:00:00,289.0,290.0,261.0,282.0,19126481.08573951,5205773921.480939
2021-07-02 09:00:00,282.0,287.0,255.0,277.0,14168524.5745644,3772152066.3725142
2021-07-03 09:00:00,277.0,284.0,263.0,283.0,12392934.35672371,3375200686.439377
2021-07-04 09:00:00,282.0,329.0,278.0,290.0,78855673.40043618,23639215456.971394
2021-07-05 09:00:00,290.0,359.0,288.0,333.0,325291704.32550937,107044359011.12491
2021-07-06 09:00:00,333.0,338.0,311.0,329.0,55899866.59752355,18054799207.51258
2021-07-07 09:00:00,328.0,329.0,314.0,324.0,25204112.82620036,8089518138.251662
2021-07-08 09:00:00,324.0,324.0,281.0,290.0,23419867.81433506,7093881932.405793
2021-07-09 09:00:00,289.0,298.0,270.0,297.0,11003956.65115168,3087753960.031366
2021-07-10 09:00:00,296.0,302.0,278.0,285.0,10353540.90012214,2985177132.798986
2021-07-11 09:00:00,285.0,291.0,273.0,289.0,13518236.89589203,3827135515.802913
2021-07-12 09:00:00,290.0,290.0,276.0,284.0,11966915.26120094,3381260318.9857802
2021-07-13 09:00:00,283.0,294.0,270.0,279.0,22405742.78553256,6295754498.6512575
2021-07-14 09:00:00,278.0,282.0,250.0,275.0,15967963.79028683,4232648890.6624904
2021-07-15 09:00:00,275.0,276.0,256.0,264.0,12321666.4910484,3266556619.47934
2021-07-16 09:00:00,264.0,266.0,245.0,247.0,9769149.36500952,2494995194.949247
2021-07-17 09:00:00,249.0,270.0,237.0,248.0,12298565.56055406,3041055703.711116
2021-07-18 09:00:00,248.0,276.0,241.0,250.0,35570728.20308036,9163811629.03322
2021-07-19 09:00:00,250.0,250.0,228.0,236.0,9163952.17482141,2171218439.554658
2021-07-20 09:00:00,238.0,244.0,204.0,215.0,20117906.05529906,4390984470.512798
2021-07-21 09:00:00,215.0,235.0,207.0,233.0,12633475.04335111,2796023542.93755
2021-07-22 09:00:00,233.0,244.0,228.0,242.0,9314682.11945392,2206670272.718728
2021-07-23 09:00:00,243.0,278.0,238.0,249.0,90204207.73254375,23239765364.85087
2021-07-24 09:00:00,248.0,259.0,243.0,254.0,18666629.00612787,4677009876.468941
2021-07-25 09:00:00,254.0,260.0,243.0,255.0,13223812.79194083,3308935830.2070312
2021-07-26 09:00:00,254.0,285.0,252.0,257.0,61210980.04577017,16327773410.469675
2021-07-27 09:00:00,258.0,381.0,257.0,301.0,998049668.4300208,344400479271.37805
2021-07-28 09:00:00,300.0,329.0,291.0,306.0,108933188.96870422,33486901205.072403
2021-07-29 09:00:00,306.0,341.0,293.0,316.0,162547835.53136623,51654788522.82533
2021-07-30 09:00:00,316.0,319.0,293.0,318.0,50200855.25502222,15401959162.589674
2021-07-31 09:00:00,317.0,350.0,316.0,332.0,104509950.27124983,34447352368.29195
2021-08-01 09:00:00,332.0,334.0,305.0,311.0,30258165.99102824,9731387323.25516
2021-08-02 09:00:00,311.0,349.0,295.0,314.0,51010202.35269385,16177745993.656155
2021-08-03 09:00:00,315.0,317.0,299.0,313.0,18662580.05760344,5704358054.600707
2021-08-04 09:00:00,313.0,328.0,302.0,319.0,28691403.7414646,8923483160.918919
