,open,high,low,close,volume,value
2021-06-04 09:00:00,188.0,218.0,187.0,193.0,871364645.8712077,175999470448.8201
2021-06-05 09:00:00,194.0,238.0,183.0,201.0,1026566917.1109548,212347461122.04715
2021-06-06 09:00:00,202.0,208.0,185.0,199.0,298961461.31714743,59098311724.20279
2021-06-07 09:00:00,200.0,230.0,170.0,176.0,665644860.7914734,136046570558.73193
2021-06-08 09:00:00,176.0,196.0,161.0,181.0,512902380.009666,93499374419.00975
2021-06-09 09:00:00,181.0,182.0,166.0,178.0,222283957.7034116,38414629020.268036
2021-06-10 09:00:00,178.0,184.0,172.0,179.0,174202477.3259447,30928533624.290047
2021-06-11 09:00:00,179.0,184.0,137.0,155.0,412464063.14895904,67192785003.6587
2021-06-12 09:00:00,156.0,165.0,122.0,130.0,215262905.91765702,30269249420.99576
2021-06-13 09:00:00,131.0,135.0,119.0,133.0,131742290.3739089,16559682620.568365
2021-06-14 09:00:00,133.0,140.0,120.0,135.0,313941488.19883627,40448743779.78899
2021-06-15 09:00:00,135.0,147.0,130.0,139.0,303056443.3565854,41897168701.21388
2021-06-16 09:00:00,139.0,164.0,127.0,134.0,530876382.697325,76954146943.96088
2021-06-17 09:00:00,134.0,134.0,124.0,125.0,108085801.20322771,13830004846.763315
2021-06-18 09:00:00,126.0,129.0,112.0,113.0,114456005.37551165,13494727124.396923
2021-06-19 09:00:00,114.0,120.0,111.0,114.0,162223222.03357783,18801573684.376324
2021-06-20 09:00:00,114.0,114.0,95.6,106.0,163855432.01793385,16879626485.727802
2021-06-21 09:00:00,106.0,106.0,65.6,68.5,236739573.7516269,20169884303.303757
2021-06-22 09:00:00,68.5,69.9,50.0,58.8,265499153.54388097,15651397132.819696
2021-06-23 09:00:00,58.7,64.3,53.1,63.6,137252826.37575167,8272087732.442302
2021-06-24 09:00:00,63.6,75.3,60.7,70.8,283462763.164741,19482773638.126774
2021-06-25 09:00:00,70.8,79.0,65.4,67.8,261413541.5595661,19188670161.131428
2021-06-26 09:00:00,67.8,71.8,62.3,68.5,88405353.95825167,5940300702.290923
2021-06-27 09:00:00,68.7,69.9,65.5,69.7,45472736.01301216,3086861741.785519
2021-06-28 09:00:00,69.7,116.0,67.1,101.0,2606343575.921553,249998322694.31937
2021-06-29 09:00:00,101.0,129.0,90.6,105.0,1055462866.8182353,115097760887.17369
2021-06-30 09:00:00,106.0,108.0,92.6,103.0,184240883.5249734,18016716479.019173
2021-07-01 09:00:00,102.0,119.0,100.0,112.0,450194826.5194973,49146103044.73294
2021-07-02 09:00:00,112.0,112.0,97.8,107.0,159603986.1740928,16504321741.680323
2021-07-03 09:00:00,107.0,124.0,104.0,115.0,375969031.73746127,42911356100.83838
2021-07-04 09:00:00,114.0,138.0,112.0,125.0,427242590.9213614,54245848099.92183
2021-07-05 09:00:00,125.0,145.0,119.0,130.0,606477749.1008878,81484680874.98584
2021-07-06 09:00:00,130.0,141.0,126.0,134.0,255641505.49123344,34035099145.08538
2021-07-07 09:00:00,134.0,134.0,127.0,131.0,113324777.44066273,14667645876.682554
2021-07-08 09:00:00,130.0,131.0,104.0,110.0,319743585.4457151,36722164194.90468
2021-07-09 09:00:00,111.0,121.0,109.0,114.0,373952486.9569492,43202593117.95765
2021-07-10 09:00:00,114.0,127.0,111.0,119.0,388601213.8649312,46208646228.34141
2021-07-11 09:00:00,120.0,126.0,116.0,123.0,184613256.71663633,22380463463.892967
2021-07-12 09:00:00,123.0,125.0,118.0,121.0,132788900.17648011,16103158229.458092
2021-07-13 09:00:00,121.0,127.0,115.0,121.0,222126735.10529554,27060043866.539673
2021-07-14 09:00:00,120.0,121.0,105.0,114.0,135147810.70950785,15070963251.689821
2021-07-15 09:00:00,114.0,120.0,110.0,112.0,205234292.1546193,23516773611.62413
2021-07-16 09:00:00,112.0,113.0,97.1,102.0,119920547.10437037,12552761284.119122
2021-07-17 09:00:00,101.0,109.0,97.5,103.0,118198701.32273898,12141705559.470892
2021-07-18 09:00:00,103.0,109.0,101.0,105.0,91679132.44749732,9591181192.479069
2021-07-19 09:00:00,106.0,106.0,98.1,101.0,56707502.4876088,5719889691.620543
2021-07-20 09:00:00,101.0,101.0,85.0,91.0,121278236.42001666,11155546101.074804
2021-07-21 09:00:00,91.1,99.6,91.1,98.6,240677469.46924734,23099793447.11356
2021-07-22 09:00:00,99.0,104.0,96.6,103.0,105291520.48166841,10572849427.123821
2021-07-23 09:00:00,103.0,107.0,101.0,105.0,125114332.8985928,12990446006.3145
2021-07-24 09:00:00,105.0,106.0,102.0,106.0,63571321.71633739,6619811095.82712
2021-07-25 09:00:00,105.0,106.0,101.0,105.0,59245477.89425419,6129551419.672342
2021-07-26 09:00:00,104.0,113.0,103.0,106.0,137664415.49099487,14878128866.614752
2021-07-27 09:00:00,107.0,121.0,105.0,120.0,182005295.05647796,20465214483.21148
2021-07-28 09:00:00,120.0,120.0,113.0,117.0,71890760.82696143,8283957823.866784
2021-07-29 09:00:00,116.0,137.0,114.0,127.0,325197404.3845986,40617390797.042244
2021-07-30 09:00:00,127.0,157.0,124.0,139.0,701932454.1902591,100447793421.12238
2021-07-31 09:00:00,139.0,143.0,129.0,139.0,132107436.16151932,18164977382.357735
2021-08-01 09:00:00,139.0,144.0,130.0,134.0,125314501.48721015,17256000339.621853
2021-08-02 09:00:00,133.0,136.0,119.0,132.0,92521038.2286449,11760100124.520828
2021-08-03 09:00:00,131.0,145.0,128.0,134.0,305880462.8644707,41787986300.22932
2021-08-04 09:00:00,133.0,135.0,126.0,134.0,96258133.7544398,12608685698.8708
2021-08-05 09:00:00,134.0,154.0,132.0,146.0,581887846.0810195,84296489784.74805
2021-08-06 09:00:00,146.0,166.0,144.0,162.0,493469787.6439232,76573960479.32597
2021-08-07 09:00:00,162.0,224.0,160.0,187.0,1838888466.0288281,369241184684.7031
2021-08-08 09:00:00,188.0,203.0,170.0,195.0,622070499.2656536,115898424820.56895
2021-08-09 09:00:00,195.0,197.0,180.0,192.0,196192673.45648682,36926806540.15938
2021-08-10 09:00:00,191.0,196.0,185.0,190.0,147914279.72592172,28064793619.413235
2021-08-11 09:00:00,190.0,197.0,187.0,193.0,207945538.11272457,39702587963.13613
2021-08-12 09:00:00,193.0,198.0,175.0,185.0,190668475.79794908,35765290584.77222
2021-08-13 09:00:00,185.0,207.0,183.0,192.0,409984421.21925884,79553838453.00453
2021-08-14 09:00:00,193.0,204.0,188.0,198.0,273313388.23933315,53616982591.58317
2021-08-15 09:00:00,199.0,204.0,191.0,203.0,214848876.09100115,42444224710.87706
2021-08-16 09:00:00,202.0,203.0,195.0,196.0,104380007.16831103,20741503662.83005
2021-08-17 09:00:00,195.0,202.0,185.0,187.0,174458405.09235126,33900325276.36381
2021-08-18 09:00:00,186.0,189.0,172.0,181.0,80387936.37145887,14557520465.756031
2021-08-19 09:00:00,181.0,193.0,174.0,192.0,219435668.77352995,40892780530.344
2021-08-20 09:00:00,191.0,207.0,187.0,196.0,195112713.54768574,38174219794.55403
2021-08-21 09:00:00,196.0,222.0,196.0,211.0,592101953.5594565,124713690570.6678
2021-08-22 09:00:00,212.0,215.0,197.0,204.0,162977997.54424906,33609082501.97436
2021-08-23 09:00:00,204.0,212.0,200.0,211.0,205102171.99884102,42470309397.63739
2021-08-24 09:00:00,210.0,220.0,201.0,205.0,221041282.46684912,46736381489.58105
2021-08-25 09:00:00,204.0,220.0,186.0,210.0,325255493.40944,67189734048.4997
2021-08-26 09:00:00,209.0,209.0,191.0,192.0,122399399.1563983,24259093831.08633
2021-08-27 09:00:00,191.0,200.0,179.0,199.0,110007722.66283184,20788610166.4258
2021-08-28 09:00:00,199.0,199.0,192.0,194.0,47186572.97394964,9191380753.049152
2021-08-29 09:00:00,194.0,196.0,186.0,193.0,56244692.9901112,10725791075.93632
2021-08-30 09:00:00,193.0,201.0,191.0,194.0,141611289.9128734,27589554993.466957
