,open,high,low,close,volume,value
2021-06-04 09:00:00,464.0,474.0,416.0,437.0,3222278742.5189977,1423769939371.2292
2021-06-05 09:00:00,438.0,454.0,426.0,439.0,1320833193.2971964,583174386968.9692
2021-06-06 09:00:00,438.0,442.0,427.0,432.0,678323774.7867783,293470449410.5517
2021-06-07 09:00:00,432.0,437.0,382.0,387.0,920236297.6777548,379502713346.47815
2021-06-08 09:00:00,387.0,399.0,350.0,376.0,1611482593.9842443,605668381192.36
2021-06-09 09:00:00,376.0,409.0,359.0,397.0,1338113641.8396523,512205311937.02484
2021-06-10 09:00:00,397.0,401.0,380.0,381.0,608083614.8259116,235954028181.30347
2021-06-11 09:00:00,381.0,388.0,363.0,373.0,500772823.5332662,187530777606.56323
2021-06-12 09:00:00,372.0,374.0,351.0,362.0,385794937.8631704,138998356811.3155
2021-06-13 09:00:00,362.0,381.0,357.0,371.0,335114350.9008673,123093366633.777
2021-06-14 09:00:00,371.0,390.0,367.0,376.0,672096420.7677149,253714082118.5383
2021-06-15 09:00:00,377.0,380.0,367.0,369.0,356766065.7863037,133347085237.29605
2021-06-16 09:00:00,369.0,375.0,356.0,364.0,412157188.43626493,150105672046.41248
2021-06-17 09:00:00,364.0,368.0,358.0,360.0,218738281.52291763,79341426200.4949
2021-06-18 09:00:00,360.0,362.0,337.0,348.0,475080865.2723513,165912181497.18924
2021-06-19 09:00:00,347.0,352.0,338.0,340.0,223896125.13079137,77023796446.1514
2021-06-20 09:00:00,339.0,342.0,304.0,331.0,797581625.8775526,256981740693.86343
2021-06-21 09:00:00,331.0,332.0,208.0,213.0,3854747641.8802056,1002675066122.6565
2021-06-22 09:00:00,212.0,255.0,196.0,222.0,10165228462.257042,2248944005578.027
2021-06-23 09:00:00,221.0,287.0,211.0,273.0,7518420688.847182,1918250280534.702
2021-06-24 09:00:00,273.0,311.0,259.0,305.0,4910726294.712997,1370907314525.323
2021-06-25 09:00:00,305.0,337.0,270.0,279.0,7384847488.182548,2236574770784.4927
2021-06-26 09:00:00,280.0,298.0,272.0,288.0,3664376129.7287416,1036221493774.0327
2021-06-27 09:00:00,287.0,309.0,278.0,305.0,2107446236.7253423,607565870483.1888
2021-06-28 09:00:00,304.0,311.0,290.0,298.0,2326997741.0879493,693297170419.1509
2021-06-29 09:00:00,298.0,321.0,294.0,304.0,2958365990.163371,905428613449.8744
2021-06-30 09:00:00,304.0,306.0,285.0,294.0,1451347403.004195,426600270019.2658
2021-07-01 09:00:00,294.0,306.0,278.0,286.0,2024321421.4727697,592688463357.5089
2021-07-02 09:00:00,287.0,293.0,279.0,285.0,751359564.7732507,213752656539.50513
2021-07-03 09:00:00,285.0,292.0,282.0,286.0,389132860.2604702,111762082653.6258
2021-07-04 09:00:00,285.0,294.0,284.0,286.0,441487402.61435133,127354300101.72926
2021-07-05 09:00:00,286.0,287.0,265.0,271.0,693863813.3206537,191616745991.443
2021-07-06 09:00:00,271.0,281.0,269.0,273.0,469786205.51056814,128950967530.7827
2021-07-07 09:00:00,274.0,277.0,261.0,264.0,445388001.01206386,120332758200.9649
2021-07-08 09:00:00,263.0,264.0,242.0,246.0,870576698.049805,220281343338.8938
2021-07-09 09:00:00,246.0,279.0,231.0,258.0,2851746730.5027227,734773880424.3463
2021-07-10 09:00:00,258.0,270.0,249.0,253.0,709468084.8865125,183372434321.42026
2021-07-11 09:00:00,252.0,257.0,247.0,253.0,315234704.7065669,79502545033.03535
2021-07-12 09:00:00,254.0,257.0,243.0,246.0,448697711.60479355,112323488485.3868
2021-07-13 09:00:00,246.0,247.0,235.0,237.0,495985443.9066416,118861851455.84894
2021-07-14 09:00:00,236.0,242.0,223.0,232.0,911482564.0004898,211700980028.81546
2021-07-15 09:00:00,233.0,236.0,215.0,220.0,649070386.1337959,146468458591.87576
2021-07-16 09:00:00,220.0,223.0,203.0,204.0,805569754.6585003,172058110968.42438
2021-07-17 09:00:00,205.0,242.0,200.0,221.0,1958001947.6225703,427179405171.74097
2021-07-18 09:00:00,221.0,231.0,213.0,215.0,1322599144.0362668,293827059408.41156
2021-07-19 09:00:00,215.0,219.0,203.0,208.0,764925677.0637143,160428357902.9429
2021-07-20 09:00:00,208.0,213.0,190.0,203.0,1640655753.0976455,327701253229.2095
2021-07-21 09:00:00,202.0,252.0,199.0,225.0,4115632953.290281,935198996149.5198
2021-07-22 09:00:00,225.0,233.0,220.0,224.0,1723165326.900673,389252976177.64545
2021-07-23 09:00:00,225.0,234.0,217.0,227.0,1176350136.9019196,264557243111.51947
2021-07-24 09:00:00,226.0,240.0,222.0,231.0,1247174534.1319256,285834725815.64923
2021-07-25 09:00:00,230.0,234.0,224.0,229.0,779312502.6856117,178367089971.87704
2021-07-26 09:00:00,229.0,270.0,227.0,235.0,4429250767.418125,1120982375486.0957
2021-07-27 09:00:00,235.0,243.0,226.0,237.0,1845074342.0427692,431557517487.22614
2021-07-28 09:00:00,237.0,249.0,233.0,238.0,1670509895.4087908,401377520249.5633
2021-07-29 09:00:00,238.0,239.0,232.0,235.0,697915154.61601,164422092330.67004
2021-07-30 09:00:00,236.0,243.0,227.0,240.0,1043216560.771514,245924258138.52246
2021-07-31 09:00:00,240.0,249.0,237.0,241.0,740222865.3332155,178480498189.36212
2021-08-01 09:00:00,240.0,254.0,235.0,237.0,1101735864.5956347,270028823211.1195
2021-08-02 09:00:00,236.0,245.0,234.0,236.0,722742722.2376015,172236854321.5382
2021-08-03 09:00:00,236.0,238.0,228.0,231.0,500825481.02485573,116418251721.66779
2021-08-04 09:00:00,231.0,236.0,227.0,232.0,601292624.5387155,139211216972.69464
2021-08-05 09:00:00,233.0,236.0,228.0,232.0,557089324.2948761,128790915648.9007
2021-08-06 09:00:00,233.0,243.0,230.0,236.0,588847980.345995,138349306316.33493
2021-08-07 09:00:00,237.0,303.0,235.0,301.0,4575768600.002244,1227499900598.7412
2021-08-08 09:00:00,301.0,325.0,276.0,280.0,6126171442.612234,1837144050981.7432
2021-08-09 09:00:00,280.0,303.0,270.0,292.0,3624781305.783015,1042739544569.3997
2021-08-10 09:00:00,292.0,302.0,285.0,295.0,2268825297.474066,665404783184.0981
2021-08-11 09:00:00,295.0,324.0,294.0,306.0,2819088422.114293,871542599438.5148
2021-08-12 09:00:00,306.0,340.0,298.0,310.0,3676545004.720567,1166053142322.588
2021-08-13 09:00:00,310.0,332.0,307.0,331.0,2009273585.0653536,642336471302.0791
2021-08-14 09:00:00,331.0,347.0,321.0,343.0,3591182247.8398585,1204863106900.0425
2021-08-15 09:00:00,343.0,406.0,335.0,397.0,4757085178.963935,1730424330813.2305
2021-08-16 09:00:00,397.0,409.0,370.0,376.0,4246663217.5014195,1661909971549.936
2021-08-17 09:00:00,376.0,398.0,351.0,353.0,3801126422.8976936,1433742340409.081
2021-08-18 09:00:00,353.0,378.0,333.0,357.0,4793797992.374032,1699730743968.0737
2021-08-19 09:00:00,357.0,375.0,348.0,372.0,1946443260.473711,700235090979.4602
2021-08-20 09:00:00,373.0,390.0,368.0,382.0,1859752374.3899326,703209789879.8613
2021-08-21 09:00:00,382.0,387.0,371.0,374.0,1366412535.6880848,516847737494.34955
2021-08-22 09:00:00,374.0,377.0,361.0,369.0,1011827526.7243071,374432216912.5112
2021-08-23 09:00:00,368.0,382.0,366.0,369.0,1341711250.265628,500327247133.4636
2021-08-24 09:00:00,369.0,371.0,337.0,340.0,1493002509.5732746,527536857567.6187
2021-08-25 09:00:00,340.0,348.0,327.0,341.0,1196560030.4377882,403502811357.314
2021-08-26 09:00:00,342.0,345.0,314.0,319.0,1303304757.8421347,424410507033.00525
2021-08-27 09:00:00,318.0,345.0,313.0,345.0,1416720667.580911,463729498029.1163
2021-08-28 09:00:00,345.0,353.0,333.0,337.0,816860400.634325,278662044479.43176
2021-08-29 09:00:00,336.0,342.0,326.0,331.0,682503516.009183,226969591691.59995
2021-08-30 09:00:00,330.0,340.0,321.0,323.0,771358301.5622187,254236094231.6194
2021-08-31 09:00:00,322.0,336.0,319.0,326.0,817968344.1055261,266541806618.4474
2021-09-01 09:00:00,326.0,341.0,321.0,340.0,684243322.1091167,225596572813.3922
2021-09-02 09:00:00,339.0,357.0,337.0,343.0,1317216291.2403202,459930131396.78174
2021-09-03 09:00:00,343.0,353.0,336.0,343.0,1035103463.3454262,356053547101.3608
2021-09-04 09:00:00,343.0,358.0,338.0,346.0,1124754156.9722195,389672708587.9308
2021-09-05 09:00:00,346.0,361.0,342.0,359.0,1073403094.3825148,375620379542.7742
2021-09-06 09:00:00,359.0,369.0,348.0,358.0,1198986448.2673593,429781191326.3373
2021-09-07 09:00:00,357.0,359.0,290.0,308.0,2394203916.6000237,770045419839.244
