,open,high,low,close,volume,value
2021-06-04 09:00:00,318.0,318.0,286.0,304.0,12855389.30784742,3861292849.7801366
2021-06-05 09:00:00,304.0,341.0,289.0,295.0,26810348.30301365,8237497864.748923
2021-06-06 09:00:00,295.0,314.0,290.0,300.0,21905091.446816,6545199867.341638
2021-06-07 09:00:00,300.0,306.0,272.0,277.0,16687810.94880037,4950033557.249738
2021-06-08 09:00:00,277.0,283.0,244.0,272.0,12827988.92754541,3389725188.861146
2021-06-09 09:00:00,273.0,300.0,254.0,280.0,63803566.18354179,17570301180.392883
2021-06-10 09:00:00,281.0,285.0,269.0,285.0,11607475.68445804,3201119665.9074235
2021-06-11 09:00:00,285.0,287.0,256.0,262.0,16275370.28163145,4416585486.906629
2021-06-12 09:00:00,260.0,271.0,227.0,242.0,12672513.3347131,3133380201.7070327
2021-06-13 09:00:00,245.0,280.0,227.0,248.0,66513956.08441608,16464038765.969955
2021-06-14 09:00:00,248.0,251.0,235.0,251.0,14087754.03762004,3429600529.7087693
2021-06-15 09:00:00,251.0,254.0,241.0,253.0,9579518.7306689,2358934150.270836
2021-06-16 09:00:00,252.0,265.0,239.0,247.0,23153920.43115959,5767148142.32464
2021-06-17 09:00:00,247.0,247.0,239.0,247.0,5837476.06774323,1419807872.135814
2021-06-18 09:00:00,247.0,247.0,227.0,232.0,6653985.48674255,1560225573.0018032
2021-06-19 09:00:00,231.0,234.0,222.0,226.0,4502529.39901923,1021684204.030873
2021-06-20 09:00:00,225.0,231.0,208.0,221.0,8414099.40601444,1855687225.5823488
2021-06-21 09:00:00,222.0,222.0,170.0,172.0,12473949.501271,2388572254.1513915
2021-06-22 09:00:00,170.0,186.0,132.0,155.0,21054709.82637598,3419522258.4548
2021-06-23 09:00:00,155.0,173.0,146.0,172.0,8918856.88292513,1419286273.9264188
2021-06-24 09:00:00,171.0,187.0,159.0,186.0,7451817.13225501,1291673656.8232048
2021-06-25 09:00:00,184.0,193.0,167.0,171.0,12300081.81475907,2252765551.5061736
2021-06-26 09:00:00,170.0,189.0,155.0,171.0,14784084.318994,2575266425.694336
2021-06-27 09:00:00,172.0,178.0,164.0,178.0,3421222.19016681,584032017.7792041
2021-06-28 09:00:00,178.0,193.0,170.0,191.0,13926176.87261717,2534051478.5379815
2021-06-29 09:00:00,190.0,209.0,186.0,209.0,34795894.10020658,6861308301.132492
2021-06-30 09:00:00,209.0,251.0,200.0,230.0,79429224.63958809,17876771472.044292
2021-07-01 09:00:00,230.0,356.0,217.0,252.0,783394773.176504,238833543991.9983
2021-07-02 09:00:00,253.0,260.0,220.0,233.0,43653651.05417558,10107598078.41889
2021-07-03 09:00:00,233.0,245.0,221.0,239.0,35198100.0756153,8308009523.437015
2021-07-04 09:00:00,239.0,274.0,237.0,251.0,150998605.67114452,38912452847.31686
2021-07-05 09:00:00,251.0,251.0,225.0,246.0,28115101.10887162,6769558570.29955
2021-07-06 09:00:00,244.0,278.0,241.0,257.0,118144802.19153513,30981646690.712574
2021-07-07 09:00:00,256.0,274.0,252.0,259.0,44293704.54076677,11555838314.900251
2021-07-08 09:00:00,259.0,269.0,224.0,234.0,22123527.73760946,5386774833.624433
2021-07-09 09:00:00,234.0,250.0,215.0,240.0,28904305.43311499,6767400290.623593
2021-07-10 09:00:00,239.0,247.0,228.0,235.0,13003474.35765964,3089081953.658523
2021-07-11 09:00:00,235.0,255.0,227.0,249.0,14030836.37674748,3376783171.206725
2021-07-12 09:00:00,250.0,278.0,238.0,246.0,58058797.42205454,14599442722.28
2021-07-13 09:00:00,246.0,266.0,236.0,254.0,66698842.18981035,16847136641.063936
2021-07-14 09:00:00,254.0,255.0,222.0,242.0,17536071.50309517,4126937365.447018
2021-07-15 09:00:00,241.0,243.0,225.0,231.0,12182423.51987419,2824542605.6724052
2021-07-16 09:00:00,234.0,245.0,205.0,222.0,22829807.80480912,5151189832.433502
2021-07-17 09:00:00,222.0,226.0,208.0,223.0,10274774.64690005,2211139323.3819113
2021-07-18 09:00:00,224.0,246.0,214.0,222.0,18509772.52702347,4120975950.1266766
2021-07-19 09:00:00,221.0,223.0,202.0,213.0,7898013.91589427,1677412907.6628697
2021-07-20 09:00:00,213.0,229.0,182.0,195.0,38405400.2262225,8053696840.840028
2021-07-21 09:00:00,194.0,215.0,184.0,213.0,15417067.9489479,3080518104.175
2021-07-22 09:00:00,215.0,226.0,209.0,216.0,35232072.43513816,7601404949.0515375
2021-07-23 09:00:00,216.0,218.0,209.0,217.0,11594437.96667372,2475786301.9411964
2021-07-24 09:00:00,217.0,223.0,212.0,221.0,12707852.83938893,2751813886.665198
2021-07-25 09:00:00,221.0,224.0,214.0,223.0,9879046.32484704,2153915676.396502
2021-07-26 09:00:00,223.0,249.0,218.0,238.0,28842584.07651207,6727450764.580615
2021-07-27 09:00:00,238.0,272.0,229.0,265.0,32512350.30400682,8064680759.4648075
2021-07-28 09:00:00,265.0,352.0,252.0,274.0,492907430.38383144,149731452306.75925
2021-07-29 09:00:00,273.0,288.0,257.0,277.0,67420167.88148879,18052782604.22414
2021-07-30 09:00:00,277.0,299.0,257.0,284.0,88555791.05682682,24964341792.19484
2021-07-31 09:00:00,284.0,311.0,278.0,306.0,79065946.83994526,23387132024.761993
2021-08-01 09:00:00,306.0,329.0,283.0,311.0,62351214.66587265,18856205957.500393
2021-08-02 09:00:00,310.0,390.0,295.0,308.0,309069097.4285742,102041502872.55547
2021-08-03 09:00:00,308.0,327.0,288.0,294.0,70224505.22591218,21466862080.654037
2021-08-04 09:00:00,293.0,298.0,280.0,295.0,19036707.72838941,5523218222.678449
2021-08-05 09:00:00,294.0,324.0,294.0,317.0,164921530.7225927,51083552144.888306
2021-08-06 09:00:00,317.0,319.0,306.0,317.0,24985893.94964649,7763156261.181431
2021-08-07 09:00:00,318.0,327.0,311.0,322.0,29249092.53813151,9282975471.984667
2021-08-08 09:00:00,321.0,322.0,306.0,309.0,16507966.95426275,5154176291.103191
2021-08-09 09:00:00,309.0,314.0,290.0,314.0,20285840.12876559,6151640081.669043
2021-08-10 09:00:00,314.0,318.0,306.0,317.0,20230750.06956424,6279821154.914615
2021-08-11 09:00:00,317.0,331.0,311.0,330.0,30770004.77816554,9925634264.191477
2021-08-12 09:00:00,329.0,334.0,306.0,320.0,30975388.49635721,9931146825.966244
2021-08-13 09:00:00,319.0,333.0,305.0,332.0,20929661.84828901,6730764667.31338
2021-08-14 09:00:00,330.0,334.0,318.0,333.0,30781178.16090512,10051532749.081894
2021-08-15 09:00:00,332.0,339.0,321.0,337.0,19631917.91472401,6456829259.988335
2021-08-16 09:00:00,337.0,361.0,331.0,354.0,44862835.48097369,15546580440.69448
2021-08-17 09:00:00,355.0,392.0,334.0,335.0,178378846.43123183,64161135455.47546
2021-08-18 09:00:00,335.0,338.0,313.0,324.0,19183954.07868072,6216163029.772521
2021-08-19 09:00:00,324.0,338.0,314.0,338.0,14120446.88505007,4562887112.419819
2021-08-20 09:00:00,339.0,347.0,331.0,344.0,13798516.15474567,4678391262.347238
2021-08-21 09:00:00,344.0,355.0,338.0,354.0,26615457.93591853,9263041833.178072
2021-08-22 09:00:00,355.0,377.0,350.0,373.0,35903311.19916586,13059254992.456696
2021-08-23 09:00:00,372.0,519.0,359.0,425.0,624214240.905336,273561269869.56848
2021-08-24 09:00:00,424.0,428.0,390.0,399.0,62018599.62293166,25300680266.688812
2021-08-25 09:00:00,397.0,465.0,377.0,417.0,218723875.768248,92483384392.63358
2021-08-26 09:00:00,417.0,417.0,384.0,407.0,19155931.44099738,7650973562.362236
2021-08-27 09:00:00,408.0,460.0,388.0,443.0,57201838.51077394,24730573919.52827
2021-08-28 09:00:00,442.0,451.0,424.0,438.0,19800576.80713072,8599839631.638609
2021-08-29 09:00:00,438.0,475.0,420.0,439.0,59172057.35182956,26388276680.143333
2021-08-30 09:00:00,439.0,521.0,435.0,464.0,216841851.16119817,103518752166.57796
2021-08-31 09:00:00,465.0,567.0,446.0,501.0,413388351.74255097,218234067250.36334
2021-09-01 09:00:00,501.0,720.0,476.0,564.0,572607693.0260439,344487478466.65906
2021-09-02 09:00:00,563.0,663.0,544.0,586.0,265846338.0084041,159756494179.99716
2021-09-03 09:00:00,586.0,950.0,586.0,844.0,1734825070.9867036,1442088016035.671
2021-09-04 09:00:00,843.0,1100.0,823.0,901.0,735474749.7413458,704714060092.1094
2021-09-05 09:00:00,902.0,902.0,725.0,744.0,105297410.15108576,83015675088.82947
2021-09-06 09:00:00,744.0,1040.0,734.0,972.0,936081924.7860022,870094058028.6138
2021-09-07 09:00:00,972.0,1055.0,800.0,927.0,532578879.2309517,511914389033.56476
2021-09-08 09:00:00,926.0,1135.0,871.0,984.0,602124634.2209737,600258902171.8387
2021-09-09 09:00:00,985.0,1250.0,930.0,1075.0,437849092.7700305,471590066131.91644
2021-09-10 09:00:00,1080.0,1215.0,966.0,1005.0,323368737.1233602,355609038210.9461
2021-09-11 09:00:00,1005.0,1030.0,931.0,963.0,72772099.1870659,71030043535.92302
2021-09-12 09:00:00,963.0,1005.0,882.0,974.0,109735559.9876459,103061004706.26398
2021-09-13 09:00:00,974.0,998.0,792.0,844.0,150137220.95575014,133463444064.53036
2021-09-14 09:00:00,844.0,855.0,790.0,836.0,53976005.8605112,43937784515.09306
2021-09-15 09:00:00,836.0,872.0,803.0,846.0,82751402.42379528,69195440930.15567
2021-09-16 09:00:00,846.0,865.0,807.0,848.0,68321929.19897391,56955978344.60979
2021-09-17 09:00:00,848.0,1310.0,827.0,1110.0,919408356.7049277,1031360525594.9584
2021-09-18 09:00:00,1110.0,1145.0,1005.0,1025.0,145044396.74938127,154313356725.81042
2021-09-19 09:00:00,1030.0,1050.0,941.0,949.0,77538060.62083782,75975640827.03075
