,open,high,low,close,volume,value
2021-06-04 09:00:00,1910.0,2040.0,1670.0,1750.0,19653239.88904958,36274159229.39993
2021-06-05 09:00:00,1760.0,1840.0,1670.0,1715.0,7342632.27537863,12888941980.181828
2021-06-06 09:00:00,1720.0,1780.0,1685.0,1725.0,6421237.4257143,11079600831.313868
2021-06-07 09:00:00,1725.0,1750.0,1535.0,1555.0,6076436.58979523,10146838780.531445
2021-06-08 09:00:00,1555.0,1595.0,1340.0,1535.0,7766147.94965301,11542338364.675531
2021-06-09 09:00:00,1545.0,1595.0,1420.0,1585.0,6977797.68948627,10577304086.336588
2021-06-10 09:00:00,1585.0,1605.0,1470.0,1515.0,6528791.50716708,10017842801.238113
2021-06-11 09:00:00,1510.0,1835.0,1450.0,1530.0,38848612.17273386,64746705396.20394
2021-06-12 09:00:00,1530.0,1590.0,1335.0,1440.0,11213295.43572092,16254974702.066442
2021-06-13 09:00:00,1445.0,1520.0,1385.0,1505.0,4852361.81278186,7049619590.5837755
2021-06-14 09:00:00,1500.0,1730.0,1450.0,1640.0,10261882.62088587,16292146383.869698
2021-06-15 09:00:00,1640.0,1710.0,1585.0,1625.0,6336172.46094385,10353761987.656307
2021-06-16 09:00:00,1625.0,1780.0,1555.0,1655.0,15398101.23486217,25818820450.076668
2021-06-17 09:00:00,1655.0,1745.0,1625.0,1655.0,11180605.01348252,18862331365.589565
2021-06-18 09:00:00,1650.0,1650.0,1465.0,1515.0,8114996.25562723,12658947752.076
2021-06-19 09:00:00,1515.0,1540.0,1455.0,1470.0,3518667.38319,5265223219.928182
2021-06-20 09:00:00,1465.0,1490.0,1350.0,1470.0,4914534.97111695,7043938542.698641
2021-06-21 09:00:00,1470.0,1485.0,1090.0,1115.0,8509297.87714698,11032037091.686
2021-06-22 09:00:00,1110.0,1190.0,903.0,1065.0,13494254.05407169,14411634603.72766
2021-06-23 09:00:00,1065.0,1255.0,1010.0,1220.0,10649317.35769745,12545783325.27509
2021-06-24 09:00:00,1215.0,1255.0,1135.0,1250.0,9703395.2208283,11720636396.42956
2021-06-25 09:00:00,1250.0,1285.0,1100.0,1120.0,10347504.64528848,12386574038.504498
2021-06-26 09:00:00,1110.0,1150.0,1045.0,1110.0,5490868.42620488,6019385413.758733
2021-06-27 09:00:00,1115.0,1160.0,1080.0,1160.0,4426490.59516756,4934886214.226218
2021-06-28 09:00:00,1160.0,1210.0,1120.0,1195.0,7632325.31130989,8923338601.403719
2021-06-29 09:00:00,1195.0,1315.0,1185.0,1265.0,13485941.41655233,16722490001.992794
2021-06-30 09:00:00,1270.0,1370.0,1205.0,1365.0,19203579.21171205,24542301348.46906
2021-07-01 09:00:00,1355.0,1450.0,1260.0,1340.0,22295251.54580184,30110084793.66939
2021-07-02 09:00:00,1345.0,1365.0,1240.0,1315.0,10336706.44712567,13233271805.138819
2021-07-03 09:00:00,1315.0,1380.0,1270.0,1340.0,6658090.92737832,8750441544.283651
2021-07-04 09:00:00,1340.0,1415.0,1310.0,1360.0,9088011.89956595,12478724067.935041
2021-07-05 09:00:00,1355.0,1370.0,1245.0,1300.0,11473698.78339963,14992020398.205198
2021-07-06 09:00:00,1300.0,1425.0,1290.0,1370.0,22135729.02034072,30346555995.503983
2021-07-07 09:00:00,1370.0,1665.0,1340.0,1645.0,61903888.53037743,95110431328.66222
2021-07-08 09:00:00,1645.0,1780.0,1385.0,1440.0,65556858.29161076,106078723692.27533
2021-07-09 09:00:00,1445.0,1550.0,1320.0,1525.0,17320808.9537195,24450551086.873478
2021-07-10 09:00:00,1525.0,1625.0,1470.0,1515.0,19697520.94499333,30613897313.549774
2021-07-11 09:00:00,1515.0,1660.0,1490.0,1625.0,15765113.01677637,24866294292.160362
2021-07-12 09:00:00,1625.0,1625.0,1500.0,1540.0,8662163.36870945,13487327065.216381
2021-07-13 09:00:00,1540.0,1565.0,1410.0,1445.0,10662464.60410497,16021915076.50253
2021-07-14 09:00:00,1450.0,1595.0,1325.0,1555.0,18380431.81424678,27241797556.18942
2021-07-15 09:00:00,1555.0,1730.0,1420.0,1475.0,38948364.50414076,62508867521.5986
2021-07-16 09:00:00,1475.0,1550.0,1390.0,1400.0,15657229.08942726,23058733439.5131
2021-07-17 09:00:00,1400.0,1445.0,1370.0,1405.0,5090491.68534616,7129467794.171257
2021-07-18 09:00:00,1405.0,1470.0,1365.0,1405.0,7356106.44739872,10486534743.246126
2021-07-19 09:00:00,1400.0,1410.0,1260.0,1280.0,5590872.50709989,7362741697.069875
2021-07-20 09:00:00,1285.0,1295.0,1090.0,1180.0,6622981.0794884,7762775905.487032
2021-07-21 09:00:00,1180.0,1325.0,1135.0,1300.0,11085987.65055244,14029772576.061
2021-07-22 09:00:00,1295.0,1360.0,1265.0,1320.0,13173272.05533902,17333656478.400143
2021-07-23 09:00:00,1315.0,1450.0,1305.0,1445.0,17446869.47756384,23838625109.085052
2021-07-24 09:00:00,1445.0,1745.0,1410.0,1520.0,62026069.33283746,96422552445.41588
2021-07-25 09:00:00,1520.0,1600.0,1430.0,1585.0,17088605.39772592,25811468423.333534
2021-07-26 09:00:00,1580.0,1680.0,1480.0,1490.0,25079248.8426727,39759244488.93799
2021-07-27 09:00:00,1490.0,1600.0,1410.0,1555.0,14113863.90743044,21532448308.84378
2021-07-28 09:00:00,1555.0,1590.0,1505.0,1540.0,9034490.89996078,13954458885.888355
2021-07-29 09:00:00,1540.0,1745.0,1510.0,1600.0,40568926.7643126,66608311504.54593
2021-07-30 09:00:00,1600.0,1670.0,1520.0,1660.0,15537518.2360808,24896507068.195984
2021-07-31 09:00:00,1665.0,1695.0,1620.0,1675.0,10144713.16184319,16788113311.79184
2021-08-01 09:00:00,1675.0,1720.0,1580.0,1595.0,11844470.33617104,19790044836.23322
2021-08-02 09:00:00,1590.0,1645.0,1540.0,1610.0,9410592.59578014,15088692306.963121
2021-08-03 09:00:00,1610.0,1645.0,1560.0,1600.0,7326474.18577775,11731631081.120668
2021-08-04 09:00:00,1600.0,1630.0,1560.0,1620.0,6512963.45819223,10398567720.60432
