,open,high,low,close,volume,value
2021-06-04 09:00:00,7575.0,7625.0,6835.0,7010.0,28305294.54788406,201953678423.52106
2021-06-05 09:00:00,7010.0,7150.0,6710.0,6820.0,16052337.96368109,111111174364.47847
2021-06-06 09:00:00,6820.0,6925.0,6720.0,6830.0,10598599.59048151,72218417265.52113
2021-06-07 09:00:00,6820.0,6890.0,5925.0,6025.0,20073659.43953843,128994276317.83516
2021-06-08 09:00:00,6030.0,6125.0,5280.0,5825.0,28595810.83105552,164229866594.8502
2021-06-09 09:00:00,5825.0,6200.0,5480.0,6170.0,26794691.6697893,157138482364.9431
2021-06-10 09:00:00,6170.0,6395.0,5785.0,5945.0,24862809.19955386,151039657865.1691
2021-06-11 09:00:00,5950.0,6240.0,5690.0,5755.0,22884661.2767654,135931257203.80943
2021-06-12 09:00:00,5750.0,5755.0,5325.0,5615.0,12128720.8925312,67081844179.58409
2021-06-13 09:00:00,5615.0,5880.0,5435.0,5850.0,8824375.58135766,49763523526.876335
2021-06-14 09:00:00,5850.0,6115.0,5720.0,6075.0,13004800.48155149,76556135852.1117
2021-06-15 09:00:00,6080.0,6175.0,5930.0,5985.0,9806868.34312076,59254835650.64035
2021-06-16 09:00:00,5995.0,6015.0,5645.0,5750.0,9664677.29638127,56330854659.678406
2021-06-17 09:00:00,5750.0,5920.0,5635.0,5735.0,7247147.13048463,42073522876.87032
2021-06-18 09:00:00,5735.0,5740.0,5310.0,5420.0,8995237.21671259,49851968643.670166
2021-06-19 09:00:00,5420.0,5530.0,5275.0,5300.0,6700449.2700747,36168296460.88383
2021-06-20 09:00:00,5300.0,5325.0,4880.0,5300.0,12288847.63903084,62882134334.944756
2021-06-21 09:00:00,5300.0,5330.0,4140.0,4170.0,24104150.89127352,112277219916.85359
2021-06-22 09:00:00,4165.0,4420.0,3580.0,3945.0,34301760.39542497,135748678887.52206
2021-06-23 09:00:00,3945.0,4400.0,3750.0,4260.0,18759421.89210062,78560214012.74724
2021-06-24 09:00:00,4260.0,4555.0,4110.0,4535.0,15465449.75234639,67682245878.675766
2021-06-25 09:00:00,4535.0,4655.0,4125.0,4160.0,15264988.24988508,67212246684.76306
