,open,high,low,close,volume,value
2021-06-04 09:00:00,80920.0,80920.0,73000.0,75380.0,5984085.6866651,457477550733.01276
2021-06-05 09:00:00,75440.0,78150.0,73610.0,74630.0,3568823.78214045,270592362443.5193
2021-06-06 09:00:00,74650.0,77600.0,73900.0,74690.0,2944872.97406443,220196030584.07004
2021-06-07 09:00:00,74690.0,74940.0,66900.0,67580.0,3866015.46629791,278194101143.3487
2021-06-08 09:00:00,67580.0,69380.0,58070.0,65330.0,6811119.59053902,435272837170.0483
2021-06-09 09:00:00,65330.0,74390.0,61610.0,72100.0,12068780.03548929,828118196171.8568
2021-06-10 09:00:00,72100.0,73900.0,67400.0,68060.0,7854193.93992232,550446402466.4995
2021-06-11 09:00:00,68060.0,70850.0,65500.0,66490.0,5934137.41078926,403904080379.4366
2021-06-12 09:00:00,66500.0,66890.0,61800.0,64140.0,3681585.37436189,235729555014.12488
2021-06-13 09:00:00,64160.0,69500.0,62510.0,67700.0,3347791.7899665,218903007343.15186
2021-06-14 09:00:00,67700.0,70000.0,65220.0,68030.0,4562647.62876919,308759028868.5333
2021-06-15 09:00:00,68040.0,68900.0,66510.0,67200.0,2295618.62774267,155573301804.4007
2021-06-16 09:00:00,67200.0,67300.0,64270.0,65410.0,1990029.72599907,130887498038.17508
2021-06-17 09:00:00,65410.0,66800.0,64500.0,65390.0,1411900.49576149,92923211946.52481
2021-06-18 09:00:00,65390.0,65500.0,61000.0,62340.0,1798321.99755042,113498190894.93193
2021-06-19 09:00:00,62350.0,62990.0,60330.0,60490.0,1272541.46435159,78324795916.33618
2021-06-20 09:00:00,60480.0,60830.0,55800.0,59880.0,2738503.22670316,160148090137.90152
2021-06-21 09:00:00,59990.0,60600.0,45210.0,46830.0,7015053.13186991,366765512318.8789
2021-06-22 09:00:00,46830.0,50300.0,38010.0,42650.0,13006344.01899586,565435541498.1703
2021-06-23 09:00:00,42610.0,49500.0,40160.0,47240.0,7801889.69792651,357287879858.9924
2021-06-24 09:00:00,47290.0,50610.0,45000.0,49880.0,5312105.13219027,255227079667.6837
2021-06-25 09:00:00,49870.0,52700.0,45850.0,46280.0,5612003.18806341,278124425400.4737
2021-06-26 09:00:00,46280.0,47750.0,44110.0,47430.0,3174788.3148559,145992124481.166
2021-06-27 09:00:00,47430.0,49220.0,45890.0,48850.0,2596128.15569755,122660045707.1728
2021-06-28 09:00:00,48860.0,51670.0,47390.0,50220.0,4318167.12204643,212340322086.57556
2021-06-29 09:00:00,50280.0,68890.0,49900.0,65910.0,19321945.79751852,1182745970550.9639
2021-06-30 09:00:00,65870.0,72610.0,63440.0,67000.0,16446663.56853105,1119467340559.2468
2021-07-01 09:00:00,67000.0,68510.0,61000.0,62280.0,7310202.17923235,469195418466.63165
2021-07-02 09:00:00,62290.0,65060.0,59750.0,62800.0,5967763.04382184,368717389239.5399
2021-07-03 09:00:00,62810.0,68000.0,61150.0,66070.0,7106869.55744464,467266672859.44904
2021-07-04 09:00:00,66080.0,68500.0,65440.0,65900.0,5575321.18474431,373660436891.83215
2021-07-05 09:00:00,65900.0,66480.0,62010.0,63000.0,5116128.67960674,328835281685.7037
2021-07-06 09:00:00,63010.0,66010.0,62870.0,63810.0,3701751.35808303,237707212351.57614
2021-07-07 09:00:00,63810.0,64590.0,62000.0,62300.0,3294533.090349,209260433151.12512
2021-07-08 09:00:00,62280.0,62450.0,57300.0,58810.0,4243327.24768685,253071551910.43472
2021-07-09 09:00:00,58810.0,60820.0,54930.0,59030.0,5298235.25620177,309687731618.54846
2021-07-10 09:00:00,59130.0,60600.0,57210.0,58010.0,1888528.83290353,110824275383.01472
2021-07-11 09:00:00,58010.0,59250.0,56810.0,58330.0,1371602.02983808,79520022805.8809
2021-07-12 09:00:00,58340.0,59300.0,55510.0,56440.0,2161145.68957563,124453183667.16211
2021-07-13 09:00:00,56440.0,57160.0,53700.0,53900.0,2220746.66576796,122640339519.33362
2021-07-14 09:00:00,53980.0,56410.0,50650.0,53680.0,4827450.34292054,257857702121.15125
2021-07-15 09:00:00,53680.0,55490.0,50380.0,51010.0,2846004.68994365,149164390410.70886
2021-07-16 09:00:00,51010.0,51760.0,48000.0,48690.0,3147680.53938444,156888232196.0225
