,open,high,low,close,volume,value
2021-06-04 09:00:00,17180.0,19970.0,16710.0,17360.0,3971887.57326661,72256555405.02452
2021-06-05 09:00:00,17360.0,17730.0,16410.0,16590.0,618031.72483158,10497189878.874859
2021-06-06 09:00:00,16590.0,16780.0,16170.0,16590.0,593884.14004418,9786478899.143026
2021-06-07 09:00:00,16580.0,16850.0,15010.0,15210.0,438639.29941891,7114955315.261848
2021-06-08 09:00:00,15270.0,15810.0,13100.0,14260.0,735537.26918725,10615735240.946276
2021-06-09 09:00:00,14240.0,14710.0,13420.0,14600.0,468281.88642278,6557108334.175769
2021-06-10 09:00:00,14600.0,14950.0,14200.0,14680.0,542729.12914964,7898258320.12726
2021-06-11 09:00:00,14670.0,17300.0,14220.0,15170.0,2516252.35027003,39914227609.53945
2021-06-12 09:00:00,15160.0,15180.0,13220.0,13900.0,452958.79220692,6288685199.91487
2021-06-13 09:00:00,13900.0,14010.0,13380.0,13930.0,306782.74267208,4201119193.1055107
2021-06-14 09:00:00,13920.0,14500.0,13510.0,14270.0,361561.79613922,5010970587.839343
2021-06-15 09:00:00,14270.0,14480.0,13840.0,14270.0,280795.98708263,3968055098.464936
2021-06-16 09:00:00,14470.0,14930.0,13720.0,14000.0,552562.41376019,7908189023.974712
2021-06-17 09:00:00,13950.0,14440.0,13750.0,14020.0,357334.40707477,5010075853.338614
2021-06-18 09:00:00,14020.0,14200.0,11940.0,12250.0,850459.24581769,11062686250.840635
2021-06-19 09:00:00,12220.0,12560.0,11400.0,11830.0,535075.10464066,6365362615.359035
2021-06-20 09:00:00,11830.0,12150.0,10360.0,11080.0,619559.09941609,6931960518.909628
2021-06-21 09:00:00,11070.0,11700.0,8160.0,8630.0,1086069.65015892,10778776330.253471
2021-06-22 09:00:00,8640.0,8900.0,7000.0,8325.0,1070337.15710723,8577512036.128279
2021-06-23 09:00:00,8300.0,10600.0,8115.0,9890.0,1584959.98259312,15150877003.466305
2021-06-24 09:00:00,9890.0,11190.0,9500.0,10210.0,1251537.90444355,12913531529.486198
2021-06-25 09:00:00,10210.0,10660.0,9205.0,9385.0,551295.96234094,5465066542.947042
2021-06-26 09:00:00,9385.0,9590.0,8765.0,9305.0,264544.54420013,2424492460.266196
2021-06-27 09:00:00,9310.0,9945.0,9195.0,9875.0,433727.9042147,4181544100.9924583
2021-06-28 09:00:00,9875.0,10450.0,9570.0,10280.0,501816.96644198,5031699949.5709095
2021-06-29 09:00:00,10280.0,11040.0,10070.0,10850.0,1126724.5244544,11912465398.294035
2021-06-30 09:00:00,10850.0,11550.0,10370.0,11140.0,1135617.15621877,12266713361.179686
2021-07-01 09:00:00,11200.0,11450.0,10280.0,10710.0,769358.83477472,8287046838.563919
2021-07-02 09:00:00,10720.0,11900.0,10600.0,11280.0,1744135.25916467,19448397411.587456
2021-07-03 09:00:00,11270.0,13230.0,11050.0,12790.0,1677561.59415493,19990758354.570133
2021-07-04 09:00:00,12790.0,13540.0,12260.0,12830.0,1819024.31848164,23440868409.379898
2021-07-05 09:00:00,12830.0,13230.0,11620.0,12160.0,1272765.25035318,15628392171.707743
2021-07-06 09:00:00,12160.0,14430.0,12060.0,13810.0,5452524.12669877,73627927971.90529
2021-07-07 09:00:00,13800.0,19640.0,13100.0,19090.0,16393277.44221436,281686707502.5413
2021-07-08 09:00:00,19080.0,22660.0,15650.0,16350.0,17974608.22920809,350310474669.3449
