,open,high,low,close,volume,value
2021-06-04 09:00:00,11700.0,11720.0,10310.0,10750.0,1131960.1378138,12430764634.630613
2021-06-05 09:00:00,10770.0,11110.0,10310.0,10690.0,596194.36920086,6408269395.042903
2021-06-06 09:00:00,10650.0,11700.0,10450.0,10960.0,2441776.96726918,27071560278.974525
2021-06-07 09:00:00,10960.0,11300.0,9960.0,10150.0,954052.26651334,10313497543.905315
2021-06-08 09:00:00,10170.0,10480.0,8730.0,9740.0,756982.64650394,7284568891.870246
2021-06-09 09:00:00,9750.0,11350.0,9155.0,10790.0,3176373.59525061,32955262357.468826
2021-06-10 09:00:00,10790.0,11330.0,10100.0,10520.0,2147809.35839903,22747696171.760582
2021-06-11 09:00:00,10550.0,10790.0,9630.0,9780.0,780472.53070375,7844546731.610963
2021-06-12 09:00:00,9795.0,9810.0,8100.0,8810.0,826338.80947452,7253832231.498359
2021-06-13 09:00:00,8820.0,9485.0,8600.0,9325.0,2090302.83698585,19109666049.85984
2021-06-14 09:00:00,9325.0,9655.0,8995.0,9430.0,1094216.69965552,10124436117.041464
2021-06-15 09:00:00,9415.0,9430.0,9130.0,9275.0,405861.20085567,3762367595.509833
2021-06-16 09:00:00,9275.0,9455.0,8870.0,9120.0,484317.9180055,4416095974.981903
2021-06-17 09:00:00,9120.0,9195.0,8645.0,8875.0,337989.95524173,3025767032.8643794
2021-06-18 09:00:00,8875.0,8875.0,8030.0,8225.0,475447.00946841,3967346434.081452
2021-06-19 09:00:00,8230.0,8575.0,7800.0,8040.0,585851.83555961,4796519079.501119
2021-06-20 09:00:00,8025.0,8165.0,6830.0,7625.0,516638.93305265,3849225580.0239854
2021-06-21 09:00:00,7625.0,7670.0,5315.0,5440.0,704630.22856491,4490558761.560561
2021-06-22 09:00:00,5440.0,6200.0,4025.0,4765.0,1148612.39665407,5740548396.213341
2021-06-23 09:00:00,4765.0,5335.0,4460.0,5215.0,601338.45941874,3040273998.7305274
2021-06-24 09:00:00,5180.0,5795.0,4980.0,5785.0,743570.88431488,3988469093.6400113
2021-06-25 09:00:00,5785.0,6220.0,5200.0,5315.0,1033744.96118546,5955161188.223751
2021-06-26 09:00:00,5300.0,6920.0,5285.0,5855.0,7764851.70945373,46961817653.98139
2021-06-27 09:00:00,5845.0,5880.0,5425.0,5880.0,1004538.86990362,5656689308.729344
2021-06-28 09:00:00,5880.0,6230.0,5615.0,6230.0,1250917.51526279,7323492901.782194
2021-06-29 09:00:00,6230.0,6870.0,6090.0,6815.0,1665259.94299331,10836525962.836998
2021-06-30 09:00:00,6815.0,8655.0,6705.0,7475.0,9577557.85238125,72575465395.28018
2021-07-01 09:00:00,7470.0,7470.0,6620.0,7065.0,1025876.43054641,7154672436.182577
2021-07-02 09:00:00,7120.0,7915.0,6650.0,7185.0,2903899.37322211,20876748708.4867
2021-07-03 09:00:00,7185.0,7360.0,6855.0,7340.0,1294519.78273996,9239846883.087063
2021-07-04 09:00:00,7345.0,7545.0,7075.0,7495.0,1303315.09313953,9496474665.066488
2021-07-05 09:00:00,7495.0,7600.0,6845.0,7575.0,1528818.95774258,11180480000.073128
2021-07-06 09:00:00,7600.0,7600.0,7210.0,7540.0,1249683.47453925,9240396105.285597
2021-07-07 09:00:00,7540.0,8535.0,7360.0,7680.0,3350538.85291365,25975288303.39678
2021-07-08 09:00:00,7685.0,7685.0,6645.0,7070.0,946066.30664294,6730360710.029033
2021-07-09 09:00:00,7070.0,7095.0,6450.0,6990.0,719910.13497548,4841924651.976783
2021-07-10 09:00:00,6990.0,7235.0,6715.0,6830.0,735575.63656975,5120759631.525236
2021-07-11 09:00:00,6830.0,7355.0,6725.0,7145.0,2478909.78325841,17487865590.02289
2021-07-12 09:00:00,7145.0,7485.0,6950.0,7460.0,1897180.12341831,13659402711.522629
2021-07-13 09:00:00,7470.0,10920.0,7150.0,10890.0,45696458.82515233,410950988091.80566
2021-07-14 09:00:00,10780.0,11630.0,8550.0,8735.0,18650988.58245383,169828200465.20346
2021-07-15 09:00:00,8755.0,9340.0,8020.0,8245.0,6406562.28889607,54635104393.76376
2021-07-16 09:00:00,8255.0,8270.0,7300.0,7415.0,3202643.97404845,24850229923.60763
2021-07-17 09:00:00,7440.0,7910.0,6905.0,7250.0,1698562.67251042,12517462365.88937
2021-07-18 09:00:00,7250.0,7670.0,7095.0,7300.0,1355929.74199131,9922894761.075796
2021-07-19 09:00:00,7320.0,7340.0,6545.0,6790.0,747625.96228939,5145179619.07887
2021-07-20 09:00:00,6800.0,6810.0,4000.0,6170.0,1866529.75803147,11189827277.712288
2021-07-21 09:00:00,6170.0,6905.0,5815.0,6710.0,2431905.26100729,15707189848.065823
2021-07-22 09:00:00,6715.0,6940.0,6500.0,6880.0,1176640.20594485,7939748188.836635
2021-07-23 09:00:00,6875.0,6965.0,6670.0,6940.0,859723.79629916,5866019428.977506
2021-07-24 09:00:00,6940.0,8445.0,6755.0,7740.0,16018886.54364624,125114507982.27217
2021-07-25 09:00:00,7740.0,7940.0,7230.0,7650.0,2443652.19690723,18396116900.652687
2021-07-26 09:00:00,7645.0,12070.0,7530.0,9435.0,64939458.90392021,655376838789.1772
2021-07-27 09:00:00,9435.0,10300.0,7895.0,9300.0,21026598.39236997,194599373673.89844
2021-07-28 09:00:00,9300.0,11270.0,9150.0,9770.0,23092605.47151165,233531378002.0519
2021-07-29 09:00:00,9770.0,9865.0,9055.0,9405.0,3843374.13652873,36070892991.276985
2021-07-30 09:00:00,9410.0,10150.0,8625.0,9745.0,6300244.37160357,60064190622.235756
2021-07-31 09:00:00,9730.0,10350.0,9400.0,10120.0,4575051.87716782,44651326427.36222
2021-08-01 09:00:00,10120.0,10170.0,9330.0,9405.0,2026581.95887219,19698351569.62147
2021-08-02 09:00:00,9405.0,9940.0,9015.0,9525.0,3193346.37107515,30608112306.90931
2021-08-03 09:00:00,9510.0,9590.0,9020.0,9265.0,1107549.58599531,10293619289.443933
2021-08-04 09:00:00,9285.0,9985.0,9200.0,9580.0,4319595.47688839,41139901869.94662
2021-08-05 09:00:00,9580.0,9600.0,9250.0,9585.0,1278018.51471376,12013429841.968061
2021-08-06 09:00:00,9585.0,9785.0,9350.0,9675.0,1378546.12275226,13150949173.133144
2021-08-07 09:00:00,9705.0,10450.0,9650.0,9995.0,5230470.37326979,52323718140.08464
2021-08-08 09:00:00,9990.0,12700.0,9990.0,10650.0,30007758.20586684,340560452627.8205
2021-08-09 09:00:00,10670.0,10900.0,9900.0,10650.0,3716519.18472584,38185562244.47438
2021-08-10 09:00:00,10640.0,10980.0,10340.0,10620.0,2645927.09405601,27820374173.26729
2021-08-11 09:00:00,10620.0,10920.0,10350.0,10800.0,3603436.53360545,38490835207.11423
2021-08-12 09:00:00,10800.0,11250.0,10170.0,10920.0,4137930.56105529,44700846430.534706
2021-08-13 09:00:00,10920.0,11580.0,10540.0,11500.0,4228936.26090494,46992702878.56812
2021-08-14 09:00:00,11510.0,13680.0,11470.0,11990.0,17457622.03004175,220638640413.28934
2021-08-15 09:00:00,11990.0,12170.0,11370.0,12030.0,1956059.65472413,23068046960.570164
2021-08-16 09:00:00,12030.0,12570.0,11580.0,11700.0,2608310.44527767,31402656179.28775
2021-08-17 09:00:00,11700.0,11890.0,11000.0,11100.0,1451450.97590381,16765334574.633266
2021-08-18 09:00:00,11100.0,11560.0,10490.0,11400.0,2282997.91369512,25465048308.597084
2021-08-19 09:00:00,11400.0,11780.0,10860.0,11670.0,1857521.77517262,21040141586.80185
2021-08-20 09:00:00,11680.0,12000.0,11380.0,11970.0,1689918.59658111,19775089036.46459
2021-08-21 09:00:00,11970.0,12470.0,11690.0,12020.0,2836383.25217085,33970185181.884617
2021-08-22 09:00:00,12020.0,12070.0,11440.0,11810.0,1305767.59440892,15460589625.83322
2021-08-23 09:00:00,11820.0,12550.0,11580.0,12400.0,3280059.33499421,39691762985.27687
2021-08-24 09:00:00,12440.0,15100.0,11870.0,12010.0,25006986.77841617,339452724216.70953
2021-08-25 09:00:00,12010.0,12210.0,11080.0,12170.0,2091485.01950017,24329285505.098274
2021-08-26 09:00:00,12180.0,14180.0,11340.0,11660.0,5423611.43464241,68050587432.36789
2021-08-27 09:00:00,11660.0,12350.0,11050.0,12310.0,1620260.8764637,18867787283.97674
2021-08-28 09:00:00,12300.0,12670.0,11920.0,12380.0,2358408.61751485,28816325925.924526
2021-08-29 09:00:00,12380.0,12380.0,11770.0,12120.0,1352242.27011138,16229418698.179201
2021-08-30 09:00:00,12140.0,12160.0,11720.0,11880.0,777475.58671077,9210885656.269604
2021-08-31 09:00:00,11820.0,12290.0,11670.0,11990.0,3019240.48278162,36155950213.61866
2021-09-01 09:00:00,11980.0,12300.0,11580.0,12270.0,1280075.69272548,15297440051.986105
2021-09-02 09:00:00,12270.0,12500.0,12040.0,12440.0,1491466.11498605,18309767833.010033
2021-09-03 09:00:00,12440.0,13110.0,12050.0,12970.0,3530349.03422786,44362518860.99506
2021-09-04 09:00:00,12970.0,13590.0,12650.0,13560.0,3210228.83016419,42068617567.51654
2021-09-05 09:00:00,13560.0,14960.0,12660.0,14340.0,7452399.00040511,104193305447.81697
2021-09-06 09:00:00,14340.0,14360.0,13390.0,14190.0,2821017.22442767,39053538601.80386
2021-09-07 09:00:00,14180.0,14240.0,10800.0,11950.0,2385092.88297156,30755787345.41057
2021-09-08 09:00:00,11950.0,12390.0,10140.0,11870.0,1640848.9280003,18617149721.89556
2021-09-09 09:00:00,11870.0,12350.0,11430.0,12230.0,1219715.8710666,14541798032.067608
2021-09-10 09:00:00,12240.0,12560.0,11140.0,11680.0,1126702.68047406,13462727326.759338
2021-09-11 09:00:00,11680.0,12290.0,11200.0,12000.0,817181.76090459,9588476940.113712
