,open,high,low,close,volume,value
2021-06-04 09:00:00,1120.0,1120.0,1000.0,1045.0,4873924.58702206,5140299396.345661
2021-06-05 09:00:00,1045.0,1075.0,996.0,1025.0,3607641.70560616,3732148509.7730584
2021-06-06 09:00:00,1025.0,1185.0,1010.0,1070.0,30705699.41865346,33736854704.320454
2021-06-07 09:00:00,1070.0,1160.0,1005.0,1025.0,20265034.6053813,22316567998.393166
2021-06-08 09:00:00,1025.0,1045.0,858.0,955.0,8157097.27382536,7701030111.641216
2021-06-09 09:00:00,954.0,1075.0,898.0,1000.0,42839467.34178601,42622403809.62674
2021-06-10 09:00:00,1005.0,1020.0,976.0,1005.0,5651742.34733578,5636158543.769636
2021-06-11 09:00:00,1010.0,1025.0,880.0,890.0,6949674.10351784,6681339345.572903
2021-06-12 09:00:00,890.0,990.0,844.0,850.0,49558648.39182721,45837075422.0202
2021-06-13 09:00:00,850.0,856.0,777.0,842.0,6485259.12506371,5222128831.925771
2021-06-14 09:00:00,842.0,867.0,801.0,860.0,5358343.05727237,4454010189.835055
2021-06-15 09:00:00,861.0,861.0,825.0,846.0,4020962.93509673,3381496722.874749
2021-06-16 09:00:00,847.0,849.0,786.0,816.0,3901656.17915656,3211969930.267875
2021-06-17 09:00:00,817.0,824.0,799.0,813.0,1937249.44303419,1566991063.2170217
2021-06-18 09:00:00,810.0,812.0,717.0,732.0,5143802.81200087,3866306475.960016
2021-06-19 09:00:00,732.0,734.0,685.0,699.0,2351489.43524713,1659694501.724693
2021-06-20 09:00:00,697.0,699.0,606.0,658.0,3463478.3172729,2258054836.0549216
2021-06-21 09:00:00,657.0,660.0,478.0,483.0,5239044.07678028,2948135358.459696
2021-06-22 09:00:00,489.0,501.0,379.0,430.0,4367675.76208998,1915912213.1721616
2021-06-23 09:00:00,430.0,502.0,400.0,479.0,3559310.74178065,1643458503.236546
2021-06-24 09:00:00,479.0,592.0,479.0,531.0,49303965.22423903,26154003770.236485
2021-06-25 09:00:00,527.0,557.0,490.0,499.0,8572917.76614708,4528902802.385902
2021-06-26 09:00:00,508.0,532.0,462.0,513.0,4390840.85567906,2151009243.537437
2021-06-27 09:00:00,505.0,653.0,502.0,583.0,116355008.68111666,70135962247.75713
2021-06-28 09:00:00,582.0,615.0,557.0,609.0,18892438.72066999,10900129392.994917
2021-06-29 09:00:00,608.0,658.0,564.0,655.0,17549357.87706723,10931073716.679867
2021-06-30 09:00:00,649.0,846.0,637.0,713.0,39687288.93963198,28455676263.027664
2021-07-01 09:00:00,713.0,760.0,635.0,718.0,7663423.9680324,5219489898.43139
2021-07-02 09:00:00,718.0,760.0,640.0,700.0,7462426.18132907,5052864646.204072
2021-07-03 09:00:00,705.0,730.0,670.0,720.0,6894657.70446514,4816133187.100696
2021-07-04 09:00:00,719.0,842.0,690.0,809.0,20686605.77554121,15835376074.211712
2021-07-05 09:00:00,812.0,1030.0,786.0,914.0,212462786.39966252,193122524311.00858
2021-07-06 09:00:00,914.0,914.0,855.0,892.0,17284206.55912675,15098248395.073147
2021-07-07 09:00:00,892.0,892.0,845.0,868.0,11032679.70160925,9472041373.105341
2021-07-08 09:00:00,864.0,864.0,709.0,750.0,11756916.17878696,9133896062.18526
2021-07-09 09:00:00,750.0,767.0,677.0,756.0,8262213.14764363,6058781408.275796
2021-07-10 09:00:00,752.0,779.0,723.0,775.0,4487315.42537234,3359208623.802663
2021-07-11 09:00:00,774.0,788.0,745.0,786.0,4517636.91211735,3461261020.1639333
2021-07-12 09:00:00,782.0,825.0,756.0,820.0,8719542.77857686,6903311813.521708
2021-07-13 09:00:00,820.0,845.0,772.0,833.0,15230238.26363097,12351338422.317371
2021-07-14 09:00:00,833.0,1030.0,823.0,862.0,189925932.6726999,178214966581.55438
2021-07-15 09:00:00,864.0,870.0,791.0,801.0,30642117.67590213,25059581191.74893
2021-07-16 09:00:00,802.0,802.0,700.0,709.0,13536735.85072924,10023993759.928493
2021-07-17 09:00:00,709.0,712.0,675.0,706.0,4451736.52070871,3078188967.6544437
2021-07-18 09:00:00,706.0,731.0,691.0,728.0,3627241.00137845,2561933818.8466954
2021-07-19 09:00:00,729.0,768.0,651.0,681.0,17272708.44058524,12625419655.652771
2021-07-20 09:00:00,681.0,681.0,566.0,613.0,7317857.56706444,4473520061.692081
2021-07-21 09:00:00,613.0,667.0,586.0,662.0,5520175.50607994,3501896102.961304
2021-07-22 09:00:00,662.0,689.0,636.0,687.0,4927651.48355381,3256157593.8253074
2021-07-23 09:00:00,683.0,704.0,667.0,702.0,6017544.93699692,4114521894.009581
2021-07-24 09:00:00,701.0,759.0,681.0,755.0,11855694.88582933,8594241174.753439
2021-07-25 09:00:00,754.0,755.0,708.0,738.0,7327975.52541622,5330742434.984706
2021-07-26 09:00:00,736.0,811.0,725.0,756.0,16399107.5786606,12583412914.391886
2021-07-27 09:00:00,756.0,844.0,707.0,781.0,15530775.24740955,11987192230.900238
2021-07-28 09:00:00,781.0,833.0,759.0,795.0,24293303.98063835,19343402126.779083
2021-07-29 09:00:00,795.0,994.0,764.0,879.0,93811951.09523593,81634040590.9525
2021-07-30 09:00:00,879.0,907.0,809.0,891.0,27831008.20223093,23892706162.081085
