,open,high,low,close,volume,value
2021-06-04 09:00:00,298.0,300.0,261.0,271.0,35161093.37461397,9683783903.115055
2021-06-05 09:00:00,270.0,277.0,254.0,262.0,24059431.96376423,6410927253.950164
2021-06-06 09:00:00,262.0,269.0,257.0,267.0,21490343.64264257,5648330383.578626
2021-06-07 09:00:00,267.0,269.0,239.0,242.0,30071603.30014106,7732396846.849477
2021-06-08 09:00:00,242.0,263.0,222.0,248.0,67707021.57283287,16587909947.61486
2021-06-09 09:00:00,249.0,256.0,231.0,252.0,39351175.99865324,9566434294.954184
2021-06-10 09:00:00,252.0,253.0,236.0,240.0,35565782.29076147,8606947295.620403
2021-06-11 09:00:00,240.0,244.0,228.0,235.0,32018251.53405465,7636140610.8979645
2021-06-12 09:00:00,235.0,236.0,202.0,220.0,26051964.17095989,5679094048.68963
2021-06-13 09:00:00,219.0,229.0,209.0,226.0,21308067.45660371,4619853732.634498
2021-06-14 09:00:00,226.0,243.0,220.0,235.0,25558348.80199642,5858275975.587987
2021-06-15 09:00:00,236.0,253.0,232.0,245.0,30811456.05810447,7486832557.122855
2021-06-16 09:00:00,246.0,250.0,225.0,243.0,30147051.7058139,7139204197.585423
2021-06-17 09:00:00,243.0,256.0,234.0,244.0,16611536.63365023,4041433642.490751
2021-06-18 09:00:00,246.0,271.0,238.0,246.0,63587826.7918172,16191063454.76557
2021-06-19 09:00:00,245.0,250.0,231.0,232.0,15156244.69726667,3618554813.031679
2021-06-20 09:00:00,232.0,233.0,213.0,228.0,16525553.08310094,3691666342.3516564
2021-06-21 09:00:00,227.0,234.0,192.0,209.0,52337158.3409879,11022079580.518362
2021-06-22 09:00:00,207.0,211.0,162.0,194.0,58122967.39936095,10995106641.838438
2021-06-23 09:00:00,194.0,218.0,187.0,213.0,35173046.18629475,7324198226.483748
2021-06-24 09:00:00,212.0,228.0,206.0,222.0,26916524.25402414,5852171285.875978
2021-06-25 09:00:00,223.0,227.0,192.0,195.0,45812231.36317666,9293533026.079578
2021-06-26 09:00:00,195.0,226.0,191.0,210.0,80576557.55569205,16656617297.008995
2021-06-27 09:00:00,210.0,212.0,200.0,211.0,15539461.20320864,3192714019.8034906
2021-06-28 09:00:00,211.0,215.0,203.0,213.0,43319592.71352944,9044663212.605457
2021-06-29 09:00:00,213.0,228.0,209.0,221.0,58917338.71445812,12831979074.316916
2021-06-30 09:00:00,222.0,236.0,210.0,228.0,107886068.47453392,23673512439.513893
2021-07-01 09:00:00,228.0,251.0,212.0,248.0,187117028.80247623,42927781519.48143
2021-07-02 09:00:00,247.0,247.0,219.0,226.0,79924400.82880372,18409963228.355637
2021-07-03 09:00:00,226.0,227.0,219.0,226.0,31418599.93156441,7022798789.697224
2021-07-04 09:00:00,226.0,229.0,221.0,227.0,37797972.69593534,8502406621.16789
2021-07-05 09:00:00,227.0,227.0,210.0,217.0,53592692.51173697,11698539594.062084
2021-07-06 09:00:00,216.0,221.0,212.0,216.0,39307004.05590586,8490325879.850656
2021-07-07 09:00:00,217.0,224.0,212.0,217.0,38283453.41926505,8322694145.861126
2021-07-08 09:00:00,217.0,222.0,202.0,204.0,55373161.30068194,11770055097.536575
2021-07-09 09:00:00,205.0,210.0,193.0,207.0,65170614.07702312,13259527957.470005
2021-07-10 09:00:00,207.0,208.0,197.0,200.0,23087504.6585883,4666391002.456628
2021-07-11 09:00:00,200.0,205.0,197.0,202.0,26765877.7326332,5391258785.693294
2021-07-12 09:00:00,201.0,205.0,195.0,200.0,35222650.48155957,7035148558.989906
2021-07-13 09:00:00,200.0,221.0,196.0,208.0,156434235.17306596,33036040142.91295
2021-07-14 09:00:00,209.0,209.0,194.0,201.0,37128038.29987912,7449374526.543756
2021-07-15 09:00:00,201.0,218.0,194.0,206.0,72506264.39384638,14936545442.090284
2021-07-16 09:00:00,206.0,238.0,200.0,215.0,227945372.18413398,50477244557.75934
2021-07-17 09:00:00,216.0,231.0,210.0,221.0,105464335.56542373,23193744581.47081
2021-07-18 09:00:00,222.0,229.0,211.0,214.0,39115751.80877167,8563202210.971714
2021-07-19 09:00:00,214.0,216.0,203.0,206.0,21743333.62441633,4522647310.630627
