,open,high,low,close,volume,value
2021-06-04 09:00:00,524.0,580.0,481.0,500.0,49957599.74723022,26576382819.72831
2021-06-05 09:00:00,500.0,512.0,474.0,483.0,12984975.90815666,6434995720.04442
2021-06-06 09:00:00,483.0,520.0,481.0,492.0,45332327.05893304,22507342207.328976
2021-06-07 09:00:00,493.0,500.0,450.0,460.0,10424877.94025915,5068077345.854347
2021-06-08 09:00:00,460.0,468.0,396.0,434.0,9425777.4469068,4039552416.0316076
2021-06-09 09:00:00,434.0,456.0,403.0,456.0,6156398.5526402,2634519589.1500163
2021-06-10 09:00:00,456.0,515.0,440.0,460.0,44702821.10096879,20936384610.287228
2021-06-11 09:00:00,461.0,461.0,409.0,414.0,10232271.00764465,4450318033.072769
2021-06-12 09:00:00,414.0,429.0,370.0,380.0,8172969.45304565,3220037922.9430933
2021-06-13 09:00:00,385.0,458.0,379.0,422.0,120812324.00129104,50731463539.25972
2021-06-14 09:00:00,422.0,432.0,396.0,421.0,11081249.13998481,4556288668.879704
2021-06-15 09:00:00,423.0,425.0,407.0,420.0,4862593.28288712,2016172672.3701527
2021-06-16 09:00:00,419.0,422.0,393.0,408.0,4233384.63776706,1723519201.610169
2021-06-17 09:00:00,408.0,408.0,382.0,395.0,4327700.86301616,1716201873.3900762
2021-06-18 09:00:00,399.0,405.0,368.0,375.0,6891220.31823984,2652080925.199676
2021-06-19 09:00:00,375.0,375.0,351.0,356.0,4937853.60643032,1770991405.715787
2021-06-20 09:00:00,356.0,358.0,315.0,345.0,5491552.7230921,1865074149.2183895
2021-06-21 09:00:00,345.0,346.0,251.0,254.0,7930241.46905086,2345913654.840445
2021-06-22 09:00:00,254.0,270.0,194.0,238.0,13929409.45538104,3317556722.290658
2021-06-23 09:00:00,238.0,297.0,224.0,267.0,22465797.3832067,6139241156.839207
2021-06-24 09:00:00,267.0,299.0,254.0,287.0,8414909.36877116,2318903869.3275504
2021-06-25 09:00:00,288.0,299.0,258.0,261.0,6692718.3625547,1861558629.6360765
2021-06-26 09:00:00,261.0,288.0,243.0,266.0,5886486.52072431,1536225712.7738266
2021-06-27 09:00:00,266.0,277.0,249.0,271.0,10289043.71591137,2671165547.7724977
2021-06-28 09:00:00,271.0,348.0,260.0,321.0,95118652.414174,30113452037.685555
2021-06-29 09:00:00,321.0,397.0,313.0,342.0,49403006.08543281,17137405968.6758
2021-06-30 09:00:00,354.0,681.0,336.0,520.0,792050597.157107,417096628035.0734
2021-07-01 09:00:00,520.0,525.0,400.0,408.0,68835873.37888649,29123100034.677456
2021-07-02 09:00:00,408.0,409.0,343.0,369.0,22827425.08112424,8301451090.838405
2021-07-03 09:00:00,368.0,448.0,353.0,389.0,247404229.28089133,101396233212.59949
2021-07-04 09:00:00,390.0,413.0,380.0,394.0,58979791.05193919,23483675014.857903
2021-07-05 09:00:00,393.0,408.0,360.0,386.0,27888490.37922777,10753598707.849394
2021-07-06 09:00:00,386.0,392.0,371.0,388.0,12334329.4464294,4685630186.1573925
2021-07-07 09:00:00,388.0,436.0,380.0,401.0,126305999.69649827,51957204179.94827
2021-07-08 09:00:00,401.0,402.0,345.0,356.0,19440476.85718078,7167152009.961897
2021-07-09 09:00:00,356.0,376.0,332.0,359.0,39129857.36188101,13895202460.371435
2021-07-10 09:00:00,360.0,383.0,349.0,371.0,39264658.37517156,14431351313.619751
2021-07-11 09:00:00,369.0,395.0,355.0,376.0,35109826.03660505,13223887031.659983
2021-07-12 09:00:00,376.0,388.0,363.0,385.0,15425057.92909678,5729683109.028697
2021-07-13 09:00:00,385.0,525.0,383.0,409.0,565666383.7505287,270886771943.85928
2021-07-14 09:00:00,408.0,413.0,366.0,390.0,41078508.85925783,15713991913.163143
2021-07-15 09:00:00,389.0,436.0,376.0,392.0,79141817.77906325,31603286227.13687
