,open,high,low,close,volume,value
2021-06-04 09:00:00,322.0,340.0,300.0,316.0,71536803.21577154,22676524659.46722
2021-06-05 09:00:00,315.0,318.0,305.0,310.0,31255948.15677246,9721523778.981077
2021-06-06 09:00:00,310.0,323.0,305.0,316.0,38065290.99148384,11867195256.106768
2021-06-07 09:00:00,316.0,342.0,293.0,298.0,59671269.36048503,19033524898.035473
2021-06-08 09:00:00,298.0,302.0,243.0,275.0,31476646.20041319,8557154156.242448
2021-06-09 09:00:00,275.0,291.0,248.0,284.0,34694033.37537839,9431264257.867353
2021-06-10 09:00:00,284.0,315.0,272.0,297.0,35851760.56404824,10515380551.438612
2021-06-11 09:00:00,297.0,338.0,245.0,262.0,144098545.49232638,44100170890.012115
2021-06-12 09:00:00,262.0,315.0,221.0,281.0,104192086.96107444,28762501811.17463
2021-06-13 09:00:00,279.0,284.0,237.0,270.0,30890790.8650063,7916197407.719069
2021-06-14 09:00:00,271.0,271.0,251.0,266.0,33731844.34302519,8745471194.299292
2021-06-15 09:00:00,266.0,267.0,255.0,263.0,24799901.12268296,6451442632.86888
2021-06-16 09:00:00,262.0,271.0,241.0,255.0,24108033.59194712,6206136258.262377
2021-06-17 09:00:00,252.0,255.0,247.0,247.0,12170854.28532998,3035074756.867123
2021-06-18 09:00:00,247.0,250.0,226.0,228.0,17834203.87714459,4153460490.315964
2021-06-19 09:00:00,228.0,229.0,216.0,220.0,13313052.43184473,2940353763.1896615
2021-06-20 09:00:00,219.0,255.0,199.0,220.0,144300936.88134316,33725298626.38684
2021-06-21 09:00:00,219.0,221.0,140.0,148.0,39628430.93527841,7262944442.392077
2021-06-22 09:00:00,149.0,167.0,109.0,127.0,44404872.37353743,5910902243.963339
2021-06-23 09:00:00,127.0,146.0,118.0,140.0,53864429.82700425,7114105640.681866
2021-06-24 09:00:00,139.0,161.0,135.0,156.0,39698941.36539615,5927142281.506449
2021-06-25 09:00:00,155.0,183.0,148.0,159.0,139968673.89989534,23805106864.081215
