,open,high,low,close,volume,value
2021-06-04 09:00:00,2800.0,2800.0,2480.0,2540.0,2199297.56399438,5829585192.442692
2021-06-05 09:00:00,2540.0,2740.0,2400.0,2450.0,4678196.64426553,12279674310.616749
2021-06-06 09:00:00,2450.0,2835.0,2405.0,2825.0,6202463.46909733,16072886314.372953
2021-06-07 09:00:00,2815.0,2830.0,2375.0,2420.0,3065892.81087084,8152721838.879695
2021-06-08 09:00:00,2420.0,2470.0,2135.0,2300.0,1726580.34110477,4012738377.1860533
2021-06-09 09:00:00,2290.0,2490.0,2130.0,2405.0,2241983.34474878,5293298524.20095
2021-06-10 09:00:00,2405.0,2410.0,2205.0,2220.0,1740380.16545522,3966900536.332112
2021-06-11 09:00:00,2225.0,2235.0,1980.0,2090.0,2138785.16754525,4552126585.094732
2021-06-12 09:00:00,2095.0,2095.0,1855.0,1930.0,1259822.81464093,2467220207.110291
2021-06-13 09:00:00,1940.0,2260.0,1870.0,2200.0,2552086.72642083,5278078372.35274
2021-06-14 09:00:00,2195.0,2375.0,2150.0,2180.0,2223250.95875667,4984815058.090869
2021-06-15 09:00:00,2180.0,2245.0,2130.0,2155.0,940165.31182911,2053852163.3993602
2021-06-16 09:00:00,2155.0,2630.0,2035.0,2600.0,6165093.17719764,14346883106.64373
2021-06-17 09:00:00,2585.0,2625.0,2260.0,2305.0,3547878.21796708,8423418383.8039465
2021-06-18 09:00:00,2300.0,2300.0,2070.0,2120.0,1619064.41462702,3539297523.264228
2021-06-19 09:00:00,2125.0,2170.0,2045.0,2070.0,951919.18775296,2011712667.7032015
2021-06-20 09:00:00,2075.0,2085.0,1900.0,2030.0,1016892.16362918,2033589154.9415917
2021-06-21 09:00:00,2030.0,2040.0,1520.0,1555.0,1527864.58431221,2709501173.838706
2021-06-22 09:00:00,1550.0,1675.0,1275.0,1415.0,2845429.81752306,4299794714.42637
2021-06-23 09:00:00,1430.0,1660.0,1360.0,1565.0,1064601.64566109,1647145480.9362886
2021-06-24 09:00:00,1565.0,1660.0,1470.0,1630.0,1437759.6910898,2258426772.157385
2021-06-25 09:00:00,1630.0,1665.0,1440.0,1445.0,2202464.85931662,3481333379.624006
2021-06-26 09:00:00,1450.0,1575.0,1365.0,1570.0,1985895.04907606,2894755733.445883
2021-06-27 09:00:00,1570.0,1570.0,1450.0,1555.0,1643708.2549329,2462960478.388251
2021-06-28 09:00:00,1560.0,1660.0,1510.0,1620.0,2004897.78579416,3144943726.296176
2021-06-29 09:00:00,1625.0,1805.0,1615.0,1780.0,3072277.40018113,5292976733.928064
2021-06-30 09:00:00,1790.0,2010.0,1680.0,1950.0,6873320.34913817,12533473015.189516
2021-07-01 09:00:00,1955.0,1965.0,1750.0,1855.0,2489088.42940259,4575732566.135057
2021-07-02 09:00:00,1840.0,1860.0,1715.0,1845.0,1807558.32213791,3213149765.128992
2021-07-03 09:00:00,1845.0,1905.0,1765.0,1875.0,1462107.79625452,2689620850.58396
2021-07-04 09:00:00,1865.0,1950.0,1820.0,1885.0,2055346.5075499,3889299566.670287
2021-07-05 09:00:00,1885.0,1905.0,1765.0,1815.0,2136653.58920668,3913219147.912217
2021-07-06 09:00:00,1815.0,1960.0,1810.0,1900.0,3484563.02107615,6573954158.964728
2021-07-07 09:00:00,1900.0,2070.0,1850.0,1980.0,4535887.67580495,8941064219.157362
2021-07-08 09:00:00,1970.0,1980.0,1760.0,1820.0,3412116.86169399,6352675356.580086
2021-07-09 09:00:00,1820.0,1840.0,1690.0,1815.0,2155645.10960394,3807157510.4003153
2021-07-10 09:00:00,1810.0,1825.0,1730.0,1765.0,1058400.5400844,1878102680.7887175
2021-07-11 09:00:00,1770.0,1820.0,1720.0,1795.0,1181522.3606967,2101495651.1339688
2021-07-12 09:00:00,1795.0,1860.0,1750.0,1790.0,2863676.8723139,5188056498.913898
2021-07-13 09:00:00,1790.0,1795.0,1670.0,1700.0,2277234.90468356,3922322757.8371553
2021-07-14 09:00:00,1705.0,1720.0,1600.0,1685.0,1970193.86081622,3270717156.755911
2021-07-15 09:00:00,1680.0,1710.0,1580.0,1605.0,1585741.05561716,2591616674.4825134
2021-07-16 09:00:00,1605.0,1640.0,1505.0,1520.0,1303118.90085248,2039813532.3278692
2021-07-17 09:00:00,1520.0,1575.0,1490.0,1530.0,1185188.35138528,1810091958.6193843
2021-07-18 09:00:00,1525.0,1600.0,1510.0,1550.0,1578817.51880439,2459211585.223981
2021-07-19 09:00:00,1550.0,1565.0,1450.0,1465.0,1139135.49804952,1704653827.6661644
2021-07-20 09:00:00,1460.0,1495.0,1335.0,1385.0,1739635.49681326,2431000896.7332325
2021-07-21 09:00:00,1385.0,1525.0,1340.0,1500.0,1314420.64458785,1922902346.5373883
2021-07-22 09:00:00,1500.0,1565.0,1475.0,1520.0,2383115.04251943,3639305675.5106096
2021-07-23 09:00:00,1520.0,1615.0,1485.0,1560.0,6413151.78518068,10006296718.398325
2021-07-24 09:00:00,1560.0,1655.0,1530.0,1595.0,7134542.37845909,11390900161.937124
2021-07-25 09:00:00,1585.0,1600.0,1515.0,1570.0,2669977.07955085,4142324878.3359566
2021-07-26 09:00:00,1570.0,1720.0,1555.0,1600.0,7879497.65735244,13025498810.92738
2021-07-27 09:00:00,1595.0,1685.0,1510.0,1650.0,5334623.13587058,8525403429.297658
2021-07-28 09:00:00,1650.0,1675.0,1590.0,1650.0,3867413.60377157,6321018808.936508
2021-07-29 09:00:00,1655.0,1795.0,1590.0,1755.0,7847225.11310079,13426267435.072956
2021-07-30 09:00:00,1755.0,1820.0,1645.0,1820.0,6590812.24331786,11456857764.585794
2021-07-31 09:00:00,1810.0,1915.0,1760.0,1885.0,6573089.88862037,12057933416.03408
2021-08-01 09:00:00,1890.0,2085.0,1775.0,1810.0,11738121.29655583,22741980476.68074
2021-08-02 09:00:00,1810.0,1945.0,1730.0,1860.0,6901019.26902787,12651040307.238617
2021-08-03 09:00:00,1870.0,1965.0,1800.0,1870.0,9427858.74594441,17768505915.526707
2021-08-04 09:00:00,1870.0,1910.0,1785.0,1890.0,3674569.41294464,6750860416.220952
2021-08-05 09:00:00,1885.0,1970.0,1835.0,1945.0,5432604.82530931,10261378596.539742
2021-08-06 09:00:00,1940.0,2030.0,1890.0,2025.0,3766472.06035846,7317987630.463339
2021-08-07 09:00:00,2025.0,2080.0,1975.0,2045.0,6277579.73566128,12687709891.213501
2021-08-08 09:00:00,2050.0,2100.0,1890.0,1930.0,5020231.53283968,9998767134.694933
2021-08-09 09:00:00,1930.0,2020.0,1835.0,2000.0,5215165.09955235,10096404767.305122
2021-08-10 09:00:00,2000.0,2075.0,1950.0,2025.0,5738409.89342599,11555134595.79398
2021-08-11 09:00:00,2025.0,2175.0,2010.0,2125.0,8129178.3173397,17020886149.368145
2021-08-12 09:00:00,2130.0,2195.0,1990.0,2050.0,8872463.35554883,18399588942.82403
2021-08-13 09:00:00,2045.0,2190.0,2005.0,2190.0,5257428.07377335,11037683106.596413
2021-08-14 09:00:00,2190.0,2235.0,2090.0,2225.0,6930043.13087449,14981513773.646929
2021-08-15 09:00:00,2225.0,2315.0,2145.0,2300.0,9126704.38806473,20395729409.155006
2021-08-16 09:00:00,2300.0,2340.0,2210.0,2255.0,8078055.01546128,18420247893.24207
2021-08-17 09:00:00,2255.0,2320.0,2115.0,2140.0,10802093.83284373,24209021146.559727
2021-08-18 09:00:00,2140.0,2180.0,2010.0,2100.0,5775473.24459734,12135239317.159157
2021-08-19 09:00:00,2100.0,2220.0,2035.0,2220.0,4805699.8386587,10147900153.799574
2021-08-20 09:00:00,2220.0,2385.0,2185.0,2305.0,10792254.42279462,24825461123.212173
2021-08-21 09:00:00,2305.0,2420.0,2240.0,2355.0,9958956.47870771,23296246064.70585
2021-08-22 09:00:00,2350.0,2560.0,2330.0,2540.0,17642499.9675234,42866968369.328995
2021-08-23 09:00:00,2545.0,2600.0,2420.0,2575.0,13835510.5940375,34898464944.42051
2021-08-24 09:00:00,2575.0,2680.0,2380.0,2400.0,12435882.49167245,31712529572.82959
2021-08-25 09:00:00,2400.0,2545.0,2280.0,2500.0,8740969.59836419,21128709751.428127
2021-08-26 09:00:00,2500.0,2550.0,2230.0,2250.0,9236915.49175017,21668605808.236614
2021-08-27 09:00:00,2250.0,2365.0,2130.0,2350.0,8124188.76779769,18185869118.80852
2021-08-28 09:00:00,2350.0,2365.0,2260.0,2325.0,4368718.82146468,10062889771.89429
2021-08-29 09:00:00,2330.0,2335.0,2220.0,2285.0,5179790.92793773,11831141372.544687
2021-08-30 09:00:00,2285.0,2300.0,2180.0,2205.0,4385978.09475171,9808606633.560158
2021-08-31 09:00:00,2205.0,2295.0,2155.0,2265.0,6292689.94971184,14005344584.381805
2021-09-01 09:00:00,2260.0,2400.0,2180.0,2355.0,8566003.67830578,19859671932.204586
2021-09-02 09:00:00,2350.0,2370.0,2295.0,2340.0,5932303.17798868,13852356942.810663
2021-09-03 09:00:00,2340.0,2410.0,2285.0,2385.0,7238784.63078691,17049898839.620646
2021-09-04 09:00:00,2390.0,2525.0,2370.0,2515.0,11787105.49761957,29045467709.391327
2021-09-05 09:00:00,2515.0,2720.0,2460.0,2630.0,20008981.1027299,51772226518.94324
2021-09-06 09:00:00,2630.0,2675.0,2460.0,2600.0,11617340.37792301,30001014568.468544
2021-09-07 09:00:00,2600.0,2765.0,1800.0,2115.0,22653869.02511546,54898519046.96048
2021-09-08 09:00:00,2115.0,2190.0,1845.0,2130.0,10394797.84145846,21223444493.44004
2021-09-09 09:00:00,2140.0,2275.0,2090.0,2205.0,10091364.35145978,21849200065.1776
2021-09-10 09:00:00,2215.0,2565.0,2155.0,2295.0,36724667.13825133,86627576485.50749
2021-09-11 09:00:00,2295.0,2315.0,2200.0,2255.0,6514692.69917864,14727159106.625227
2021-09-12 09:00:00,2260.0,2290.0,2170.0,2260.0,5632640.35810644,12595682219.000925
2021-09-13 09:00:00,2260.0,2280.0,2015.0,2105.0,5774929.70846116,12325191391.94974
2021-09-14 09:00:00,2105.0,2230.0,2080.0,2200.0,3936719.11977663,8471278006.167009
2021-09-15 09:00:00,2205.0,2240.0,2155.0,2235.0,3534864.55367575,7777145065.935103
2021-09-16 09:00:00,2230.0,2370.0,2175.0,2250.0,7340597.69573521,16697158525.625418
2021-09-17 09:00:00,2245.0,2400.0,2165.0,2195.0,13869216.41682315,31794888199.53584
2021-09-18 09:00:00,2195.0,2240.0,2155.0,2200.0,3716135.88723279,8174238325.182207
2021-09-19 09:00:00,2195.0,2200.0,2105.0,2130.0,3196482.82076213,6860842499.350174
2021-09-20 09:00:00,2130.0,2140.0,1830.0,1855.0,6764476.34237988,13237354711.276335
2021-09-21 09:00:00,1855.0,1905.0,1695.0,1720.0,5383467.39931175,9770672091.792988
2021-09-22 09:00:00,1715.0,1930.0,1660.0,1920.0,4460809.00852166,8069418440.459655
2021-09-23 09:00:00,1920.0,1945.0,1810.0,1910.0,3970196.99363349,7517128588.409026
2021-09-24 09:00:00,1910.0,1920.0,1685.0,1780.0,4822187.99449912,8626356304.565933
