,open,high,low,close,volume,value
2021-06-04 09:00:00,4600.0,4600.0,3990.0,4135.0,3562034.02820017,15033105581.46817
2021-06-05 09:00:00,4135.0,4280.0,3925.0,3995.0,1847577.31893711,7532778526.9595
2021-06-06 09:00:00,3995.0,4330.0,3925.0,4115.0,3465610.14595416,14312016895.802948
2021-06-07 09:00:00,4110.0,4395.0,3700.0,3765.0,5658501.15113674,23706011447.553963
2021-06-08 09:00:00,3765.0,3900.0,3200.0,3610.0,2520365.46356323,8921770241.929817
2021-06-09 09:00:00,3610.0,3770.0,3410.0,3760.0,2443815.11813805,8774128032.186935
2021-06-10 09:00:00,3760.0,3780.0,3535.0,3655.0,1678841.68086939,6190832878.023974
2021-06-11 09:00:00,3665.0,3685.0,3270.0,3315.0,1657388.90772304,5830737590.698044
2021-06-12 09:00:00,3315.0,3420.0,3000.0,3145.0,1956168.62531394,6225666425.230692
2021-06-13 09:00:00,3145.0,3410.0,3040.0,3330.0,1901710.67482482,6088751109.491185
2021-06-14 09:00:00,3345.0,3680.0,3250.0,3555.0,2058465.35645869,7161268036.485035
2021-06-15 09:00:00,3550.0,3590.0,3420.0,3505.0,980610.63864388,3439513311.649245
2021-06-16 09:00:00,3505.0,3705.0,3280.0,3370.0,2939948.09694644,10416691930.461988
2021-06-17 09:00:00,3370.0,3550.0,3250.0,3320.0,1165543.71072579,3966561223.615559
2021-06-18 09:00:00,3305.0,3320.0,3010.0,3095.0,906173.78831058,2858752148.328811
2021-06-19 09:00:00,3100.0,3185.0,3020.0,3030.0,689410.12318437,2141759738.2046528
2021-06-20 09:00:00,3035.0,3045.0,2710.0,2910.0,1087539.28258096,3148270673.6141067
2021-06-21 09:00:00,2920.0,3035.0,2240.0,2320.0,1783434.24376051,4743787424.957609
2021-06-22 09:00:00,2325.0,2420.0,1760.0,2170.0,1918616.14631656,4033943498.621319
2021-06-23 09:00:00,2165.0,2450.0,2055.0,2305.0,938240.62733548,2152714368.084612
2021-06-24 09:00:00,2300.0,2450.0,2200.0,2435.0,1212894.09496855,2821748780.373505
2021-06-25 09:00:00,2435.0,2525.0,2175.0,2205.0,1353211.56212408,3187915680.3814645
2021-06-26 09:00:00,2205.0,2380.0,2120.0,2285.0,1541208.19942024,3496498736.735308
2021-06-27 09:00:00,2285.0,2345.0,2195.0,2330.0,832898.63117097,1892098130.831584
2021-06-28 09:00:00,2330.0,2570.0,2250.0,2550.0,1460080.47743174,3477840011.447248
2021-06-29 09:00:00,2550.0,3110.0,2550.0,2880.0,2868162.47981187,8091857316.278313
2021-06-30 09:00:00,2880.0,3165.0,2695.0,3100.0,2880160.05807566,8540091887.460097
2021-07-01 09:00:00,3100.0,3240.0,2770.0,3000.0,1710960.14993427,5119736553.562543
2021-07-02 09:00:00,3000.0,3065.0,2745.0,2995.0,1311769.53183652,3772861111.8037257
2021-07-03 09:00:00,2990.0,3100.0,2855.0,3080.0,1169062.82593778,3472041757.2148366
2021-07-04 09:00:00,3100.0,3540.0,3040.0,3195.0,6850088.26704609,22668068856.466602
2021-07-05 09:00:00,3190.0,3280.0,2895.0,3050.0,2174770.13531466,6669946914.808155
2021-07-06 09:00:00,3050.0,3145.0,2995.0,3095.0,1243128.66530496,3820452824.2849708
2021-07-07 09:00:00,3090.0,3275.0,3030.0,3230.0,2038312.37968204,6450207791.0148
2021-07-08 09:00:00,3230.0,3230.0,2780.0,2855.0,1843129.47379886,5471931577.018581
2021-07-09 09:00:00,2855.0,3170.0,2750.0,2985.0,5772738.12227018,17188922390.404705
2021-07-10 09:00:00,2980.0,3010.0,2870.0,2900.0,749390.75718036,2193174156.978961
2021-07-11 09:00:00,2900.0,3090.0,2790.0,3045.0,1829686.62546201,5400796984.245997
2021-07-12 09:00:00,3040.0,3495.0,3010.0,3220.0,6350047.87568638,20543769689.359875
2021-07-13 09:00:00,3220.0,3230.0,2945.0,3080.0,1960821.30122619,6016600404.809589
