,open,high,low,close,volume,value
2021-06-04 09:00:00,1030.0,1050.0,912.0,950.0,48072083.6058426,46605823956.31
2021-06-05 09:00:00,950.0,1020.0,937.0,964.0,41379009.56762469,40269983043.18563
2021-06-06 09:00:00,964.0,969.0,945.0,957.0,22126972.01589838,21106172317.637665
2021-06-07 09:00:00,957.0,959.0,852.0,863.0,30211861.65438954,27847805415.994644
2021-06-08 09:00:00,861.0,882.0,735.0,821.0,42683076.91718195,34515550457.05395
2021-06-09 09:00:00,821.0,858.0,766.0,852.0,33694799.7823375,27314020592.07881
2021-06-10 09:00:00,853.0,858.0,798.0,815.0,23027421.8602151,19019972700.148575
2021-06-11 09:00:00,816.0,926.0,790.0,813.0,80198940.36834003,69013496770.79953
2021-06-12 09:00:00,814.0,821.0,730.0,765.0,31049353.53201841,23827748475.936985
2021-06-13 09:00:00,765.0,802.0,748.0,796.0,14029657.28717906,10825048285.918753
2021-06-14 09:00:00,798.0,827.0,775.0,816.0,18011230.04841179,14416503365.271791
2021-06-15 09:00:00,817.0,848.0,801.0,822.0,18308342.81974239,14999132181.934473
2021-06-16 09:00:00,822.0,872.0,795.0,838.0,42153090.75102944,35185588297.3312
2021-06-17 09:00:00,837.0,851.0,793.0,813.0,17488617.17748284,14441347049.613285
2021-06-18 09:00:00,814.0,814.0,741.0,767.0,18653191.02315214,14512561373.650421
2021-06-19 09:00:00,768.0,777.0,740.0,750.0,11008667.18586259,8343837081.440083
2021-06-20 09:00:00,749.0,752.0,686.0,734.0,20317560.35060674,14649908548.232695
2021-06-21 09:00:00,734.0,737.0,542.0,551.0,35784248.00833954,22654465567.625813
2021-06-22 09:00:00,550.0,595.0,436.0,509.0,49230069.0421028,25314376085.283733
2021-06-23 09:00:00,510.0,589.0,478.0,583.0,27442267.49220214,15145476993.131327
2021-06-24 09:00:00,582.0,636.0,545.0,608.0,23155311.91015044,13651238442.195282
2021-06-25 09:00:00,608.0,628.0,551.0,556.0,20523738.0637045,12026967567.256649
2021-06-26 09:00:00,556.0,570.0,514.0,548.0,14328638.6357478,7725953521.284535
2021-06-27 09:00:00,549.0,571.0,526.0,569.0,9915182.48394489,5418265542.744454
2021-06-28 09:00:00,567.0,599.0,556.0,589.0,16270718.37507406,9397224115.329435
2021-06-29 09:00:00,589.0,652.0,583.0,638.0,28573899.6301774,17820900484.35439
2021-06-30 09:00:00,638.0,678.0,595.0,675.0,27940235.55949494,17654607377.90162
2021-07-01 09:00:00,675.0,693.0,616.0,647.0,30862760.29360206,19973320476.801174
2021-07-02 09:00:00,646.0,658.0,600.0,629.0,19910780.26040571,12352750525.90055
2021-07-03 09:00:00,629.0,665.0,616.0,654.0,13116809.95223449,8361256643.4479475
2021-07-04 09:00:00,654.0,694.0,633.0,675.0,20948378.7690312,13942193170.894299
2021-07-05 09:00:00,675.0,675.0,621.0,640.0,28240592.35010294,18248002283.000713
2021-07-06 09:00:00,640.0,732.0,638.0,716.0,94172322.97898883,66314811673.43332
2021-07-07 09:00:00,716.0,919.0,706.0,847.0,289409035.8161839,240830198353.77512
2021-07-08 09:00:00,848.0,997.0,741.0,764.0,393143454.5407609,348825718256.8433
2021-07-09 09:00:00,764.0,850.0,705.0,819.0,107911034.16348597,82762595308.6674
2021-07-10 09:00:00,820.0,931.0,801.0,885.0,164585161.40720162,144073620068.9213
2021-07-11 09:00:00,888.0,923.0,845.0,876.0,74451510.99088483,65524766199.70246
2021-07-12 09:00:00,877.0,877.0,787.0,802.0,42353685.75483892,34928580876.383026
2021-07-13 09:00:00,801.0,837.0,761.0,771.0,58153072.65037758,46348065626.72978
2021-07-14 09:00:00,770.0,887.0,700.0,838.0,110456954.6425811,87525493389.83807
2021-07-15 09:00:00,838.0,893.0,763.0,781.0,164871177.30942166,139279331633.54358
2021-07-16 09:00:00,781.0,806.0,717.0,719.0,49322117.29057988,37527487535.723366
2021-07-17 09:00:00,719.0,729.0,693.0,714.0,24006962.40896717,17116821645.147963
2021-07-18 09:00:00,714.0,768.0,710.0,724.0,34340022.53374311,25452292440.225967
2021-07-19 09:00:00,725.0,730.0,666.0,668.0,21167780.81688041,14629969564.468605
2021-07-20 09:00:00,668.0,672.0,586.0,614.0,32418468.3593031,19962470140.020573
2021-07-21 09:00:00,614.0,689.0,594.0,685.0,43866509.7805894,28621573906.712906
2021-07-22 09:00:00,685.0,720.0,673.0,691.0,41196131.16977126,28591818710.46892
2021-07-23 09:00:00,692.0,798.0,682.0,786.0,87169080.7254091,64436152326.41783
2021-07-24 09:00:00,787.0,882.0,765.0,838.0,149172047.0197482,125079769464.7841
2021-07-25 09:00:00,837.0,858.0,788.0,823.0,53390092.18655916,43793844947.799225
2021-07-26 09:00:00,823.0,866.0,783.0,796.0,59626731.43672032,49615452856.46797
2021-07-27 09:00:00,797.0,841.0,740.0,804.0,44126329.38512955,34975391459.2082
2021-07-28 09:00:00,804.0,829.0,783.0,801.0,40398180.7037902,32488878774.824
2021-07-29 09:00:00,801.0,829.0,775.0,813.0,36658966.00063931,29500008421.712475
