,open,high,low,close,volume,value
2021-06-04 09:00:00,132.0,137.0,120.0,126.0,124178801.32043044,15956010388.425735
2021-06-05 09:00:00,126.0,134.0,121.0,124.0,83937323.67781459,10582233175.70022
2021-06-06 09:00:00,124.0,135.0,123.0,128.0,167711603.13056922,21631634042.06843
2021-06-07 09:00:00,128.0,134.0,113.0,115.0,137168149.39724228,17511867646.220135
2021-06-08 09:00:00,115.0,121.0,99.6,109.0,142761891.45148623,15739281585.720177
2021-06-09 09:00:00,109.0,114.0,102.0,112.0,90635038.93230487,9716525072.917704
2021-06-10 09:00:00,111.0,120.0,109.0,116.0,173616621.0431285,19914293644.125282
2021-06-11 09:00:00,116.0,124.0,103.0,105.0,222292110.90596536,25337433624.564785
2021-06-12 09:00:00,105.0,112.0,84.7,89.6,211636986.49678588,20342072146.00581
2021-06-13 09:00:00,89.6,97.0,77.3,90.0,130059143.68356784,11059643664.823967
2021-06-14 09:00:00,89.9,97.0,85.6,92.0,241382079.32433876,21864147259.80539
2021-06-15 09:00:00,92.2,94.4,88.2,94.2,118430568.0978366,10817940382.754026
2021-06-16 09:00:00,94.1,96.4,86.9,90.0,106804221.47689147,9823360293.152658
2021-06-17 09:00:00,90.0,90.0,82.6,83.8,78499826.88057859,6737609298.408015
2021-06-18 09:00:00,83.8,88.6,72.7,75.5,118125179.32527828,9291055231.072144
2021-06-19 09:00:00,75.5,75.5,67.5,70.2,100737446.22324094,7063016752.743824
2021-06-20 09:00:00,70.2,71.5,58.3,66.8,137172769.192501,8869071682.022842
2021-06-21 09:00:00,66.8,66.8,41.4,44.0,376387486.78002214,19748480440.270607
2021-06-22 09:00:00,44.0,44.8,32.1,38.4,391182263.27779615,15000412540.431805
2021-06-23 09:00:00,38.4,45.6,35.6,42.6,203570103.74760795,8336050643.473757
2021-06-24 09:00:00,42.6,65.4,41.6,58.3,1853554728.8355775,105889673216.41153
2021-06-25 09:00:00,58.9,65.6,50.5,52.6,448796253.4645321,26651630892.548046
2021-06-26 09:00:00,52.6,65.9,52.4,64.7,1264079255.6990917,77592193893.49702
2021-06-27 09:00:00,64.7,65.5,58.6,65.1,224447161.5163908,13771753936.969213
2021-06-28 09:00:00,65.1,124.0,61.7,109.0,3212845638.319282,313056625671.48676
2021-06-29 09:00:00,110.0,175.0,103.0,125.0,2515915345.259412,343618282768.10895
2021-06-30 09:00:00,125.0,125.0,100.0,113.0,470331293.3460023,51425833575.68796
2021-07-01 09:00:00,114.0,144.0,111.0,128.0,1106498236.8476284,140813369813.1235
2021-07-02 09:00:00,128.0,128.0,115.0,123.0,221110864.09391963,26531856311.05134
