,open,high,low,close,volume,value
2021-06-04 09:00:00,1695.0,1695.0,1505.0,1565.0,13957788.42926884,22127839592.306934
2021-06-05 09:00:00,1565.0,1630.0,1505.0,1535.0,6949766.97911445,10814642013.755692
2021-06-06 09:00:00,1535.0,1630.0,1515.0,1570.0,8732533.73062125,13639603923.27846
2021-06-07 09:00:00,1570.0,1600.0,1350.0,1465.0,10907618.2311969,16499314190.279894
2021-06-08 09:00:00,1465.0,1475.0,1205.0,1330.0,27485654.50851407,36138862739.534256
2021-06-09 09:00:00,1330.0,1580.0,1260.0,1420.0,75683342.24101539,108530174166.47404
2021-06-10 09:00:00,1425.0,1485.0,1365.0,1405.0,22958780.72886702,32708415666.00797
2021-06-11 09:00:00,1410.0,1485.0,1220.0,1225.0,25791572.20741375,34842233590.127495
2021-06-12 09:00:00,1225.0,1325.0,1000.0,1100.0,24575411.05335313,27536545575.548553
2021-06-13 09:00:00,1095.0,1125.0,1000.0,1105.0,15368946.42638112,16153013398.533978
2021-06-14 09:00:00,1105.0,1210.0,1050.0,1165.0,22669778.99595158,25369709352.29109
2021-06-15 09:00:00,1165.0,1240.0,1115.0,1190.0,21533005.45136689,25466702017.9559
2021-06-16 09:00:00,1195.0,1240.0,1105.0,1140.0,16128914.12860097,18859969038.207493
2021-06-17 09:00:00,1135.0,1175.0,1080.0,1100.0,13120894.42865587,14661734756.73655
2021-06-18 09:00:00,1105.0,1115.0,1000.0,1025.0,10560928.78575512,10938745751.757551
2021-06-19 09:00:00,1020.0,1085.0,1020.0,1035.0,9217644.75276354,9609305757.747631
2021-06-20 09:00:00,1035.0,1035.0,860.0,963.0,18853081.92053931,17749645200.754585
2021-06-21 09:00:00,962.0,968.0,620.0,673.0,31709161.56192017,24986421840.142735
2021-06-22 09:00:00,673.0,720.0,513.0,611.0,50768225.81436744,31523307175.262066
2021-06-23 09:00:00,611.0,669.0,565.0,652.0,20999992.06622634,13289250239.995136
2021-06-24 09:00:00,651.0,770.0,631.0,748.0,51383574.94716387,36535914724.74324
2021-06-25 09:00:00,746.0,788.0,662.0,680.0,27060821.42732526,19787999781.2795
2021-06-26 09:00:00,680.0,729.0,628.0,687.0,20551538.61311537,14138588116.971655
2021-06-27 09:00:00,687.0,710.0,648.0,706.0,9999819.79560529,6744668997.998036
2021-06-28 09:00:00,705.0,936.0,686.0,863.0,87258103.70780692,71353449372.09326
2021-06-29 09:00:00,863.0,1030.0,790.0,908.0,105937490.40411444,97460968557.02853
2021-06-30 09:00:00,908.0,949.0,830.0,934.0,44766416.78406272,40329394738.93517
2021-07-01 09:00:00,935.0,1020.0,902.0,987.0,58971940.28818471,56854192230.25269
2021-07-02 09:00:00,987.0,999.0,892.0,958.0,23092077.17632566,21625042983.26258
2021-07-03 09:00:00,957.0,988.0,935.0,977.0,37570054.89911484,36347553697.71884
2021-07-04 09:00:00,977.0,1015.0,956.0,1000.0,24246417.86231424,23920542663.51928
2021-07-05 09:00:00,1000.0,1090.0,911.0,1030.0,56455336.93096057,56900027943.20299
2021-07-06 09:00:00,1030.0,1090.0,1005.0,1055.0,37685236.1312309,39487722354.53117
2021-07-07 09:00:00,1055.0,1265.0,1020.0,1225.0,125966380.44029978,147950384110.10785
2021-07-08 09:00:00,1225.0,1275.0,1000.0,1060.0,77027117.66122834,87537462868.7005
2021-07-09 09:00:00,1050.0,1090.0,970.0,1070.0,44865461.55898971,45620686387.84449
2021-07-10 09:00:00,1070.0,1085.0,1005.0,1020.0,19988004.60528955,20771295074.86624
2021-07-11 09:00:00,1020.0,1065.0,975.0,1050.0,16068238.17912685,16371729303.952127
2021-07-12 09:00:00,1050.0,1170.0,1045.0,1135.0,67186595.51479033,74961059212.71501
2021-07-13 09:00:00,1135.0,1135.0,999.0,1065.0,25118036.60523811,26608711301.756756
2021-07-14 09:00:00,1065.0,1070.0,974.0,1020.0,24486583.17852766,24599412596.69207
2021-07-15 09:00:00,1015.0,1535.0,997.0,1490.0,493172273.40977746,670344451321.4463
2021-07-16 09:00:00,1490.0,1655.0,1325.0,1360.0,348838024.0551514,512978395551.09985
2021-07-17 09:00:00,1360.0,1395.0,1150.0,1185.0,87879618.00103687,106841437344.8802
2021-07-18 09:00:00,1185.0,1300.0,1120.0,1150.0,95058951.77107795,114625178367.38362
2021-07-19 09:00:00,1150.0,1195.0,1020.0,1055.0,51008818.0241035,55655436310.28582
2021-07-20 09:00:00,1055.0,1080.0,882.0,950.0,78662135.11141805,74755758717.81729
2021-07-21 09:00:00,950.0,1050.0,909.0,1040.0,58351598.59715686,57662760146.83651
