,open,high,low,close,volume,value
2021-06-04 09:00:00,138.0,138.0,125.0,131.0,41808819.24240846,5471681700.360806
2021-06-05 09:00:00,129.0,133.0,123.0,127.0,38091075.17029422,4877192156.575709
2021-06-06 09:00:00,127.0,137.0,125.0,134.0,86802308.91898091,11360295137.320127
2021-06-07 09:00:00,134.0,141.0,120.0,123.0,94175359.85869707,12547067093.614134
2021-06-08 09:00:00,123.0,169.0,106.0,116.0,631062521.2366836,86464581200.1463
2021-06-09 09:00:00,117.0,127.0,114.0,119.0,245374188.51906228,29165698076.449635
2021-06-10 09:00:00,119.0,123.0,115.0,120.0,92068590.91739482,10913540965.993715
2021-06-11 09:00:00,120.0,131.0,98.0,104.0,206924468.40499797,24447285478.363567
2021-06-12 09:00:00,103.0,108.0,79.7,83.6,113575347.45298652,9940813962.949528
2021-06-13 09:00:00,83.5,89.6,78.9,86.0,163927884.3124854,13946846313.043037
2021-06-14 09:00:00,86.0,96.0,83.0,90.6,539215648.374865,49438597314.08433
2021-06-15 09:00:00,90.8,92.1,86.1,90.8,60669013.63869064,5416013953.036729
2021-06-16 09:00:00,90.8,100.0,86.4,91.0,291847950.94062346,27439113299.217205
2021-06-17 09:00:00,91.0,92.5,84.9,84.9,38996109.08601601,3391269247.894791
2021-06-18 09:00:00,84.9,84.9,74.4,76.9,51255778.37217503,4006670411.0379095
2021-06-19 09:00:00,77.0,78.5,69.5,73.5,24669844.32020635,1815545311.6207004
2021-06-20 09:00:00,73.5,102.0,73.5,92.6,1711893187.8923016,157171900678.13016
2021-06-21 09:00:00,92.6,98.2,56.8,60.3,369560955.9749059,29188559332.574974
2021-06-22 09:00:00,60.6,72.1,45.1,53.6,549578632.6526314,32323814330.265995
2021-06-23 09:00:00,53.6,57.9,49.3,57.5,233120640.55185625,12658640012.243849
2021-06-24 09:00:00,57.4,62.5,54.6,62.2,120430405.19134907,7016028622.048812
2021-06-25 09:00:00,62.1,71.1,56.5,58.0,220828990.7092348,14120391161.114296
2021-06-26 09:00:00,58.0,64.6,53.3,60.3,152629622.76373655,9117482464.731302
2021-06-27 09:00:00,60.4,63.4,57.0,61.4,57097158.72332043,3391335692.025272
2021-06-28 09:00:00,61.2,70.0,58.8,69.7,233288006.8237576,15186301958.06618
2021-06-29 09:00:00,69.7,109.0,67.7,83.2,1362655960.9659762,117404915013.94424
2021-06-30 09:00:00,83.5,87.4,74.7,86.4,133067045.61894666,10618392495.729746
2021-07-01 09:00:00,86.4,93.9,78.5,87.2,223517537.0033419,19388868288.294098
2021-07-02 09:00:00,87.2,99.4,82.5,93.8,925271311.8317683,85781475061.81656
2021-07-03 09:00:00,93.9,97.4,87.2,94.8,181438395.06902555,16667729156.743414
2021-07-04 09:00:00,94.8,129.0,91.3,102.0,763568620.219335,83490177823.23267
2021-07-05 09:00:00,103.0,130.0,100.0,110.0,743379211.570186,84466426097.99496
