,open,high,low,close,volume,value
2021-06-04 09:00:00,2850.0,2855.0,2510.0,2635.0,2677059.72896168,7120473387.442292
2021-06-05 09:00:00,2640.0,2775.0,2535.0,2615.0,3306910.14483245,8836900242.882513
2021-06-06 09:00:00,2615.0,3415.0,2595.0,2855.0,61798027.27190161,185122942741.4259
2021-06-07 09:00:00,2855.0,4195.0,2855.0,3395.0,219346880.54093963,800358197477.4276
2021-06-08 09:00:00,3385.0,3390.0,2655.0,3075.0,33246460.03988984,100432392064.46904
2021-06-09 09:00:00,3075.0,3080.0,2715.0,2950.0,14668598.8135585,41648400186.05135
2021-06-10 09:00:00,2950.0,3160.0,2800.0,3065.0,14346291.82705347,42526464858.00238
2021-06-11 09:00:00,3060.0,3175.0,2600.0,2640.0,9867759.53707361,29089429976.299374
2021-06-12 09:00:00,2640.0,2800.0,2330.0,2450.0,4452032.64458038,11217623063.220568
2021-06-13 09:00:00,2450.0,2690.0,2360.0,2515.0,6646785.69234693,16526076593.026768
2021-06-14 09:00:00,2515.0,2590.0,2435.0,2585.0,4314029.34769758,10814213297.11349
2021-06-15 09:00:00,2585.0,2585.0,2470.0,2525.0,3504663.44453239,8863878667.302614
2021-06-16 09:00:00,2525.0,2555.0,2385.0,2450.0,3057683.52450246,7545818358.720753
2021-06-17 09:00:00,2450.0,2585.0,2370.0,2425.0,4105890.60163106,10166994976.251251
2021-06-18 09:00:00,2425.0,2485.0,2140.0,2190.0,4515487.30518014,10351652221.91398
2021-06-19 09:00:00,2190.0,2220.0,2060.0,2080.0,2561207.01738493,5454050765.288178
2021-06-20 09:00:00,2085.0,2160.0,1810.0,1995.0,4958754.71922079,9801683762.865047
2021-06-21 09:00:00,1985.0,2000.0,1350.0,1390.0,5538471.55414329,9219416732.212711
2021-06-22 09:00:00,1390.0,1485.0,1050.0,1220.0,8874655.43630847,11319903908.041368
2021-06-23 09:00:00,1225.0,1360.0,1150.0,1315.0,4263476.37253889,5525510405.867781
2021-06-24 09:00:00,1330.0,1680.0,1300.0,1510.0,26258536.61493609,39796316877.68653
2021-06-25 09:00:00,1515.0,1805.0,1475.0,1480.0,32613236.50031846,53992517378.50278
2021-06-26 09:00:00,1485.0,1515.0,1370.0,1465.0,4292562.25031316,6181847420.463595
2021-06-27 09:00:00,1465.0,1605.0,1445.0,1545.0,14194603.86229875,21820445308.083508
2021-06-28 09:00:00,1545.0,1725.0,1480.0,1690.0,7022688.23342083,11168861799.66506
2021-06-29 09:00:00,1695.0,1855.0,1660.0,1825.0,8290991.55096155,14622895266.342909
2021-06-30 09:00:00,1830.0,2235.0,1785.0,2045.0,29269606.40796986,59232546557.95475
2021-07-01 09:00:00,2040.0,2080.0,1795.0,1920.0,6673782.61497839,12755975284.782887
2021-07-02 09:00:00,1920.0,2140.0,1885.0,2035.0,24719952.58558678,50016819849.171196
2021-07-03 09:00:00,2035.0,2180.0,1960.0,2170.0,10368541.08128518,21585752941.971287
2021-07-04 09:00:00,2160.0,2205.0,2055.0,2185.0,6412146.53914999,13687176146.825764
2021-07-05 09:00:00,2180.0,2185.0,1950.0,2105.0,9348325.82783141,19443708898.793587
2021-07-06 09:00:00,2105.0,2140.0,2030.0,2105.0,5864938.62187711,12206260697.93929
2021-07-07 09:00:00,2110.0,2175.0,2045.0,2175.0,5120278.29816796,10710228900.610773
2021-07-08 09:00:00,2170.0,2170.0,1830.0,1900.0,6795604.77380667,13383067857.94531
2021-07-09 09:00:00,1895.0,1905.0,1710.0,1890.0,5622871.46281566,10100627327.484707
2021-07-10 09:00:00,1890.0,1930.0,1805.0,1850.0,2899717.16989429,5382232510.615965
2021-07-11 09:00:00,1855.0,2100.0,1845.0,1975.0,26048556.44322021,51586760001.74169
2021-07-12 09:00:00,1975.0,2555.0,1940.0,2435.0,74912455.40732352,171547490846.91675
2021-07-13 09:00:00,2440.0,2450.0,2085.0,2170.0,17730833.86695759,39145396382.22202
2021-07-14 09:00:00,2170.0,2285.0,1855.0,2010.0,13026682.04774145,26608915014.57898
2021-07-15 09:00:00,2005.0,2100.0,1870.0,1920.0,9339161.98171432,18300015292.157993
2021-07-16 09:00:00,1920.0,1920.0,1685.0,1720.0,5742395.07752967,10223029179.643719
2021-07-17 09:00:00,1720.0,1885.0,1700.0,1830.0,10927465.24393265,19695611361.800926
2021-07-18 09:00:00,1830.0,1880.0,1740.0,1785.0,4242858.79055546,7683936921.218648
2021-07-19 09:00:00,1785.0,1785.0,1635.0,1660.0,3553853.37001505,6008915559.792145
2021-07-20 09:00:00,1660.0,1690.0,1450.0,1540.0,7507535.0312907,11571591064.410793
2021-07-21 09:00:00,1535.0,1675.0,1480.0,1665.0,6621601.39645432,10554207196.008297
2021-07-22 09:00:00,1665.0,1870.0,1630.0,1740.0,21767435.56943039,38521893170.301994
2021-07-23 09:00:00,1740.0,1920.0,1730.0,1825.0,24866342.37148702,45775287839.51843
2021-07-24 09:00:00,1830.0,1970.0,1790.0,1890.0,18241325.73612169,34611429711.16067
2021-07-25 09:00:00,1895.0,1970.0,1815.0,1950.0,10426142.5485089,19845008054.37083
2021-07-26 09:00:00,1950.0,2090.0,1900.0,1955.0,12871676.25246486,25714527953.336697
2021-07-27 09:00:00,1960.0,2020.0,1820.0,2015.0,6617967.94585139,12640742821.439325
2021-07-28 09:00:00,2015.0,2050.0,1925.0,2005.0,6606925.02874206,13034175764.606056
2021-07-29 09:00:00,2005.0,2150.0,1925.0,2095.0,11405424.72142286,23278194183.82318
2021-07-30 09:00:00,2100.0,2475.0,2025.0,2250.0,31138853.47944755,69181461222.26044
2021-07-31 09:00:00,2245.0,2975.0,2245.0,2615.0,90331070.69931693,237060749620.90234
2021-08-01 09:00:00,2615.0,2645.0,2270.0,2320.0,15402656.92144959,37432198255.6944
2021-08-02 09:00:00,2320.0,2395.0,2205.0,2325.0,6962880.00733325,15943311056.59253
2021-08-03 09:00:00,2315.0,2370.0,2190.0,2290.0,5384573.97791334,12249207932.766878
2021-08-04 09:00:00,2285.0,2315.0,2190.0,2300.0,3486009.73757464,7859793845.29946
2021-08-05 09:00:00,2300.0,2380.0,2230.0,2370.0,5672474.74147521,12972982018.737219
2021-08-06 09:00:00,2370.0,2465.0,2290.0,2410.0,5284779.75387126,12521813127.873568
2021-08-07 09:00:00,2415.0,2600.0,2375.0,2520.0,17670622.74592439,44377574343.49559
2021-08-08 09:00:00,2515.0,2720.0,2410.0,2665.0,13257059.14484721,34080214575.402252
2021-08-09 09:00:00,2660.0,2775.0,2480.0,2690.0,10258198.55329601,26703793657.58642
2021-08-10 09:00:00,2690.0,2860.0,2640.0,2730.0,19671329.7806532,54340154090.5441
2021-08-11 09:00:00,2730.0,4060.0,2670.0,3415.0,134897192.9477379,477344959892.9831
2021-08-12 09:00:00,3415.0,3580.0,3150.0,3245.0,53733079.98440122,181167895669.60455
2021-08-13 09:00:00,3245.0,3580.0,3185.0,3380.0,37869294.28857975,128999652607.07951
2021-08-14 09:00:00,3375.0,4035.0,3335.0,3625.0,102307161.70911653,384975567375.4913
2021-08-15 09:00:00,3625.0,3815.0,3455.0,3660.0,29498206.75663041,108444927047.41608
