,open,high,low,close,volume,value
2021-10-15 09:00:00,314.0,10000.0,314.0,1815.0,2876818018.2561297,6737952746788.741
2021-10-16 09:00:00,1825.0,2760.0,1605.0,1930.0,1813858470.1734521,3779243717609.8164
2021-10-17 09:00:00,1930.0,2240.0,1750.0,1835.0,615213493.5924122,1235787134710.637
2021-10-18 09:00:00,1840.0,1865.0,1540.0,1625.0,388303406.9538227,650649665897.053
2021-10-19 09:00:00,1630.0,1735.0,1475.0,1500.0,211324436.17511162,337076547101.4266
2021-10-20 09:00:00,1495.0,1525.0,1335.0,1435.0,212117187.27428946,298495050984.60815
2021-10-21 09:00:00,1440.0,1510.0,1380.0,1410.0,176309262.54007962,253355956693.33322
2021-10-22 09:00:00,1415.0,1450.0,1345.0,1380.0,109373751.25580654,152536824198.23538
2021-10-23 09:00:00,1375.0,1445.0,1350.0,1410.0,94910227.3498613,132534656021.25798
2021-10-24 09:00:00,1410.0,1415.0,1340.0,1350.0,44677664.25001479,61287817220.44566
2021-10-25 09:00:00,1350.0,1365.0,1320.0,1355.0,46676812.09135631,62830802791.2217
2021-10-26 09:00:00,1355.0,1395.0,1330.0,1350.0,69208325.84547113,94213965338.48233
2021-10-27 09:00:00,1345.0,1395.0,1080.0,1155.0,245872879.45971936,297315753631.3694
2021-10-28 09:00:00,1150.0,1165.0,1065.0,1160.0,92429139.54217713,102993827348.34006
2021-10-29 09:00:00,1160.0,1175.0,1115.0,1130.0,61174984.1416659,69685287134.57574
2021-10-30 09:00:00,1135.0,1385.0,1125.0,1175.0,463584721.9893483,584496717486.427
2021-10-31 09:00:00,1175.0,1240.0,1060.0,1105.0,121885233.15248565,137842802404.6423
2021-11-01 09:00:00,1105.0,1115.0,1030.0,1080.0,49963213.25761921,53506988117.384
2021-11-02 09:00:00,1080.0,1115.0,1050.0,1100.0,59579434.66311753,64576170700.39397
2021-11-03 09:00:00,1095.0,1110.0,1040.0,1085.0,38066112.73058485,40945976563.43122
2021-11-04 09:00:00,1085.0,1160.0,1075.0,1140.0,86319538.64459468,96499997241.50964
2021-11-05 09:00:00,1140.0,1155.0,1100.0,1115.0,38434257.87671115,42933378659.617744
2021-11-06 09:00:00,1115.0,1170.0,1105.0,1130.0,43788193.20751792,49415077775.78006
2021-11-07 09:00:00,1135.0,1140.0,1105.0,1115.0,19314389.29273378,21573207020.81913
2021-11-08 09:00:00,1115.0,1120.0,1090.0,1100.0,20158758.84505031,22118090868.343082
2021-11-09 09:00:00,1100.0,1105.0,1075.0,1080.0,25332415.45039459,27591622032.766586
2021-11-10 09:00:00,1085.0,1110.0,1030.0,1055.0,38283965.31786681,41383254570.95093
