,open,high,low,close,volume,value
2021-06-04 09:00:00,7780.0,8015.0,6830.0,7205.0,4701016.53123617,34529340766.60873
2021-06-05 09:00:00,7205.0,7445.0,6780.0,6940.0,2630189.67925258,18655272258.19327
2021-06-06 09:00:00,6940.0,7120.0,6850.0,7035.0,2039999.61406354,14180878741.19303
2021-06-07 09:00:00,7030.0,7135.0,6160.0,6250.0,2825307.50568242,19202212985.33027
2021-06-08 09:00:00,6250.0,6405.0,5560.0,6180.0,2946381.60046459,17692200478.127266
2021-06-09 09:00:00,6180.0,6405.0,5815.0,6380.0,2871783.05289938,17590145798.636917
2021-06-10 09:00:00,6390.0,6530.0,5850.0,5945.0,3095855.6622024,19048978513.058147
2021-06-11 09:00:00,5950.0,6170.0,5465.0,5590.0,3993994.04809066,23492158166.64163
2021-06-12 09:00:00,5600.0,5645.0,5080.0,5390.0,2120919.59109746,11337354167.95346
2021-06-13 09:00:00,5390.0,5910.0,5215.0,5805.0,1533904.92871482,8377798352.750564
2021-06-14 09:00:00,5795.0,6045.0,5610.0,5965.0,1985087.05950806,11598485102.068054
2021-06-15 09:00:00,5970.0,6375.0,5870.0,6005.0,2274586.033761,13860915980.395802
2021-06-16 09:00:00,6005.0,6200.0,5775.0,5980.0,1613140.04850846,9651662282.717777
2021-06-17 09:00:00,5980.0,6285.0,5850.0,5950.0,1297977.81370086,7913598254.6360445
2021-06-18 09:00:00,5940.0,5985.0,5420.0,5490.0,1295542.32811545,7377963111.093369
2021-06-19 09:00:00,5495.0,5595.0,5305.0,5320.0,974536.97176246,5308799367.66823
2021-06-20 09:00:00,5320.0,5465.0,4905.0,5385.0,1208976.58208036,6283071769.951813
2021-06-21 09:00:00,5385.0,5420.0,4040.0,4100.0,2350854.04180522,10942299026.24889
2021-06-22 09:00:00,4100.0,4370.0,3400.0,3865.0,3063438.7889442,11747359886.166414
2021-06-23 09:00:00,3850.0,4445.0,3675.0,4310.0,1471837.15137886,6157850050.287856
2021-06-24 09:00:00,4315.0,4690.0,4105.0,4520.0,1456288.91141456,6519943564.1280365
2021-06-25 09:00:00,4520.0,4605.0,4095.0,4130.0,1737229.16240512,7586181440.608466
2021-06-26 09:00:00,4140.0,4295.0,3910.0,4155.0,1086067.43529287,4423149912.136163
2021-06-27 09:00:00,4145.0,4300.0,4000.0,4280.0,747392.29487949,3107020473.999298
2021-06-28 09:00:00,4280.0,4500.0,4175.0,4490.0,1275030.91005021,5497588661.332244
2021-06-29 09:00:00,4495.0,5045.0,4445.0,4885.0,3107455.7255022,14756579243.981716
2021-06-30 09:00:00,4900.0,5230.0,4760.0,5100.0,2704856.49764756,13414149346.893982
2021-07-01 09:00:00,5090.0,5190.0,4740.0,4875.0,1522051.03051284,7506507893.109354
2021-07-02 09:00:00,4870.0,4945.0,4545.0,4845.0,1389767.71440486,6537616936.548659
2021-07-03 09:00:00,4845.0,5400.0,4705.0,5340.0,1281592.40403844,6515845101.299142
2021-07-04 09:00:00,5340.0,5385.0,5085.0,5270.0,2131476.79938504,11189040842.466503
2021-07-05 09:00:00,5270.0,5685.0,5010.0,5180.0,3051730.99792123,16232361060.606869
2021-07-06 09:00:00,5170.0,5965.0,5155.0,5305.0,3791461.7264637,20723797997.20879
2021-07-07 09:00:00,5310.0,5500.0,5185.0,5295.0,1449654.17031098,7733705478.358571
2021-07-08 09:00:00,5295.0,5305.0,4755.0,4855.0,1539810.20730503,7678404533.9541025
2021-07-09 09:00:00,4860.0,4990.0,4505.0,4900.0,1322494.66844162,6293526795.971898
2021-07-10 09:00:00,4905.0,5045.0,4650.0,4800.0,721724.88782935,3505509216.483444
2021-07-11 09:00:00,4795.0,5035.0,4720.0,4895.0,1009338.85115398,4944276569.334093
2021-07-12 09:00:00,4905.0,5020.0,4735.0,4820.0,1245316.95912339,6102107374.518116
2021-07-13 09:00:00,4810.0,4840.0,4565.0,4625.0,902157.57192456,4248352248.7392845
2021-07-14 09:00:00,4625.0,4705.0,4300.0,4580.0,1184088.57355141,5316354398.729898
2021-07-15 09:00:00,4590.0,4665.0,4360.0,4445.0,983397.80348112,4417212381.051756
2021-07-16 09:00:00,4445.0,4595.0,4210.0,4275.0,1081894.79596631,4777933221.755206
2021-07-17 09:00:00,4275.0,4455.0,4230.0,4340.0,868560.52080707,3775300353.4306045
2021-07-18 09:00:00,4340.0,4605.0,4260.0,4340.0,1192170.58847415,5281744715.166423
2021-07-19 09:00:00,4340.0,4375.0,3970.0,3990.0,999889.96338399,4152537544.5910373
2021-07-20 09:00:00,4005.0,4095.0,3620.0,3765.0,1354981.67387402,5136242715.586394
2021-07-21 09:00:00,3785.0,4125.0,3655.0,4095.0,1045949.60333315,4126925043.269409
2021-07-22 09:00:00,4095.0,4260.0,4005.0,4200.0,1657143.68836867,6867416150.572416
2021-07-23 09:00:00,4200.0,4340.0,4085.0,4310.0,1769457.19027511,7503708572.3554535
2021-07-24 09:00:00,4310.0,4445.0,4250.0,4365.0,2003458.91855386,8673486352.665422
2021-07-25 09:00:00,4365.0,4415.0,4200.0,4385.0,1232310.65699746,5302455929.285679
2021-07-26 09:00:00,4380.0,4820.0,4380.0,4385.0,3570632.26538203,16393320780.996151
