,open,high,low,close,volume,value
2021-06-04 09:00:00,1425.0,1450.0,1255.0,1300.0,14091125.2359273,18715408784.770756
2021-06-05 09:00:00,1295.0,1335.0,1225.0,1250.0,9390286.97961857,12078088384.706514
2021-06-06 09:00:00,1255.0,1330.0,1230.0,1290.0,12437761.81048942,15911725581.523754
2021-06-07 09:00:00,1290.0,1310.0,1135.0,1150.0,9725262.31826384,12018006424.071663
2021-06-08 09:00:00,1150.0,1175.0,1015.0,1110.0,11490984.37692845,12513202079.634169
2021-06-09 09:00:00,1115.0,1170.0,1050.0,1170.0,9941758.61412133,11017521744.814363
2021-06-10 09:00:00,1170.0,1215.0,1125.0,1135.0,9922957.36359365,11598808674.87224
2021-06-11 09:00:00,1135.0,1155.0,1065.0,1085.0,7123664.34224235,7982609475.038613
2021-06-12 09:00:00,1085.0,1090.0,991.0,1045.0,5921388.38626343,6089036807.3436165
2021-06-13 09:00:00,1045.0,1100.0,1005.0,1090.0,5001088.5564484,5238561053.306207
2021-06-14 09:00:00,1095.0,1120.0,1065.0,1105.0,6261102.64161554,6822170266.299074
2021-06-15 09:00:00,1105.0,1135.0,1075.0,1120.0,4545544.67487039,5013195424.392571
2021-06-16 09:00:00,1120.0,1120.0,1050.0,1080.0,4635489.13000711,5002788820.217192
2021-06-17 09:00:00,1085.0,1115.0,1055.0,1075.0,3664941.51834399,3989193313.641316
2021-06-18 09:00:00,1070.0,1070.0,989.0,1010.0,5974759.01232208,6105441656.536184
2021-06-19 09:00:00,1010.0,1025.0,987.0,992.0,5670317.14448895,5699333132.473778
2021-06-20 09:00:00,992.0,1000.0,917.0,977.0,6894186.21770464,6614000186.107871
2021-06-21 09:00:00,979.0,985.0,732.0,740.0,10717209.78021133,9161329312.799984
2021-06-22 09:00:00,736.0,781.0,599.0,678.0,12723977.62799079,8717489115.297966
2021-06-23 09:00:00,680.0,755.0,643.0,726.0,5689846.4700871,4091669518.974172
2021-06-24 09:00:00,729.0,780.0,703.0,763.0,7161929.194229,5325722709.4169
2021-06-25 09:00:00,763.0,780.0,691.0,702.0,6726660.53363367,4950862918.48298
2021-06-26 09:00:00,701.0,738.0,670.0,715.0,8009782.41526159,5645962344.717083
2021-06-27 09:00:00,715.0,728.0,689.0,725.0,3448216.21486848,2442570359.9841366
2021-06-28 09:00:00,725.0,764.0,715.0,763.0,6532860.33442145,4839387706.307301
2021-06-29 09:00:00,764.0,845.0,758.0,831.0,13948549.08342113,11217578990.829271
2021-06-30 09:00:00,832.0,900.0,795.0,870.0,30747642.15285228,26219519204.99518
2021-07-01 09:00:00,870.0,870.0,801.0,826.0,9149950.78179021,7583578243.915679
2021-07-02 09:00:00,826.0,839.0,781.0,829.0,7247134.41082451,5847801453.338709
2021-07-03 09:00:00,829.0,844.0,808.0,833.0,6911140.4538654,5724692291.220931
2021-07-04 09:00:00,832.0,857.0,811.0,838.0,7692767.03104167,6434180180.276014
2021-07-05 09:00:00,837.0,847.0,790.0,839.0,10363570.9109484,8535569002.71767
2021-07-06 09:00:00,840.0,861.0,832.0,853.0,10856625.5650972,9180178446.810934
2021-07-07 09:00:00,851.0,917.0,847.0,898.0,22717906.17827261,20073241301.40869
2021-07-08 09:00:00,899.0,902.0,808.0,835.0,15335652.02226212,12963630300.617392
2021-07-09 09:00:00,835.0,836.0,778.0,825.0,9890767.92407604,8008418631.615583
2021-07-10 09:00:00,823.0,840.0,797.0,814.0,5820290.98283272,4757521909.521615
2021-07-11 09:00:00,813.0,842.0,794.0,827.0,4941776.60624288,4040804513.677567
2021-07-12 09:00:00,827.0,846.0,803.0,821.0,8642103.52311768,7165862697.715163
2021-07-13 09:00:00,820.0,855.0,799.0,848.0,20805645.96590435,17337335200.067383
2021-07-14 09:00:00,848.0,850.0,770.0,814.0,10584302.0997662,8519192134.102788
2021-07-15 09:00:00,814.0,823.0,763.0,772.0,6802790.97170821,5357730310.119836
2021-07-16 09:00:00,773.0,785.0,728.0,740.0,8317978.57180463,6286733671.173324
2021-07-17 09:00:00,740.0,761.0,721.0,750.0,3936052.65384866,2918547397.154935
2021-07-18 09:00:00,750.0,789.0,735.0,785.0,6572607.37071744,5022869336.386475
2021-07-19 09:00:00,782.0,791.0,711.0,724.0,12229205.51253537,9223291222.446829
