,open,high,low,close,volume,value
2021-06-04 09:00:00,99.2,101.0,91.8,93.5,65426420.97171115,6260589339.0670805
2021-06-05 09:00:00,94.0,104.0,93.0,103.0,573076401.3587552,57315551509.61069
2021-06-06 09:00:00,103.0,103.0,98.2,103.0,158604535.08947304,15829043111.289518
2021-06-07 09:00:00,103.0,103.0,90.1,92.7,101496471.17098714,9946953032.270554
2021-06-08 09:00:00,93.1,98.8,78.9,86.4,152964721.72729948,13433410426.433578
2021-06-09 09:00:00,86.7,88.2,80.1,87.8,59262795.11164266,4973540112.20083
2021-06-10 09:00:00,87.8,103.0,85.4,89.9,359380423.0678688,33836730056.28085
2021-06-11 09:00:00,90.2,101.0,82.0,84.4,544981375.1754622,51489391031.541565
2021-06-12 09:00:00,84.4,90.7,74.0,76.5,123646656.09337951,10084276662.73211
2021-06-13 09:00:00,76.5,80.0,73.9,78.2,69709276.09417897,5299243636.692085
2021-06-14 09:00:00,78.3,86.5,76.0,81.3,143047573.87995893,11580517912.181904
2021-06-15 09:00:00,81.3,84.0,79.9,81.7,65456923.30391236,5335402133.638937
2021-06-16 09:00:00,81.7,82.3,76.8,79.9,59417885.99365809,4754713434.819675
2021-06-17 09:00:00,80.0,80.5,75.9,77.3,40019148.92688843,3128033442.4226193
2021-06-18 09:00:00,77.3,77.3,68.3,69.2,69704923.70017266,5021247533.141265
2021-06-19 09:00:00,69.4,70.1,64.0,66.1,38196837.87094748,2558018509.85424
2021-06-20 09:00:00,66.1,70.3,58.8,64.3,65511618.52809878,4173479117.8532834
2021-06-21 09:00:00,64.3,64.6,46.1,50.1,85663645.22668593,4820167543.122673
2021-06-22 09:00:00,48.3,63.6,38.0,45.0,189229149.38738167,8895103856.383818
2021-06-23 09:00:00,44.4,56.1,42.5,52.0,151165455.03985158,7745080029.500695
2021-06-24 09:00:00,52.2,58.3,49.8,56.0,101074081.29664575,5518083426.086015
2021-06-25 09:00:00,56.2,64.6,55.7,57.1,247995666.03751683,14807224436.938383
2021-06-26 09:00:00,57.1,59.3,52.3,57.8,39010843.85338498,2201314051.9297185
2021-06-27 09:00:00,57.8,59.5,55.9,58.6,32925249.50217714,1892644681.578668
