,open,high,low,close,volume,value
2021-06-04 09:00:00,314.0,324.0,290.0,304.0,32016049.10778657,9832893584.271984
2021-06-05 09:00:00,304.0,305.0,290.0,297.0,9311027.53269152,2775678315.4288635
2021-06-06 09:00:00,297.0,324.0,291.0,301.0,24264291.46192348,7379617794.203049
2021-06-07 09:00:00,302.0,319.0,281.0,287.0,19291612.2944753,5880087072.629688
2021-06-08 09:00:00,287.0,296.0,250.0,270.0,15504934.35615859,4159845572.029624
2021-06-09 09:00:00,271.0,282.0,256.0,282.0,12735900.51164406,3405917068.4332194
2021-06-10 09:00:00,293.0,295.0,268.0,288.0,34724553.76457399,9808972547.664883
2021-06-11 09:00:00,287.0,292.0,230.0,247.0,37647732.04128786,9923751001.2907
2021-06-12 09:00:00,245.0,263.0,190.0,201.0,28172878.61846199,5965697484.027571
2021-06-13 09:00:00,202.0,205.0,174.0,204.0,21200874.48613087,4021845835.2700996
2021-06-14 09:00:00,203.0,252.0,197.0,221.0,224214145.82386866,50737206449.915085
2021-06-15 09:00:00,221.0,231.0,210.0,223.0,34629715.82647527,7628147476.741806
2021-06-16 09:00:00,223.0,226.0,207.0,216.0,17328021.33316264,3794761804.0382066
2021-06-17 09:00:00,215.0,222.0,206.0,212.0,7674331.12471761,1619087718.9505124
2021-06-18 09:00:00,213.0,238.0,187.0,193.0,68622000.01977673,14465274516.103004
2021-06-19 09:00:00,193.0,201.0,176.0,184.0,17272703.43546216,3220436067.7415347
2021-06-20 09:00:00,183.0,188.0,163.0,180.0,15741197.08128351,2765073159.673073
2021-06-21 09:00:00,180.0,219.0,134.0,142.0,172751160.12009692,31731600702.494293
2021-06-22 09:00:00,142.0,144.0,104.0,124.0,65336373.598402,8076930815.4486685
2021-06-23 09:00:00,124.0,136.0,114.0,132.0,52705858.54951087,6772365427.283844
2021-06-24 09:00:00,131.0,147.0,128.0,144.0,27928154.30313832,3822058679.045509
2021-06-25 09:00:00,145.0,167.0,139.0,142.0,91673486.34558196,14167136141.968718
2021-06-26 09:00:00,142.0,151.0,130.0,143.0,24160458.91735316,3372415800.0546236
2021-06-27 09:00:00,143.0,207.0,142.0,159.0,375039392.31833434,64028932801.74604
