,open,high,low,close,volume,value
2021-06-04 09:00:00,301.0,303.0,271.0,282.0,13716548.14716465,3915737709.4956207
2021-06-05 09:00:00,280.0,310.0,271.0,277.0,35101771.61925386,10154098927.324944
2021-06-06 09:00:00,277.0,286.0,270.0,284.0,17768622.9718189,4952965341.340082
2021-06-07 09:00:00,283.0,291.0,252.0,257.0,17483376.83459747,4846500363.145031
2021-06-08 09:00:00,257.0,312.0,245.0,261.0,325588755.26412827,90231813564.13625
2021-06-09 09:00:00,261.0,264.0,236.0,261.0,37069790.01122336,9239018546.334768
2021-06-10 09:00:00,262.0,344.0,262.0,291.0,451130734.58139676,132045624835.67961
2021-06-11 09:00:00,290.0,290.0,247.0,253.0,48707834.09150678,13020584189.437366
2021-06-12 09:00:00,254.0,288.0,225.0,235.0,97713498.0098544,25460164427.247295
2021-06-13 09:00:00,234.0,310.0,228.0,255.0,380908959.18239915,101718584386.1144
2021-06-14 09:00:00,255.0,257.0,241.0,252.0,36608046.636502,9047707526.36243
2021-06-15 09:00:00,252.0,253.0,243.0,248.0,20483774.8602001,5052360059.472686
2021-06-16 09:00:00,247.0,251.0,231.0,241.0,14102326.34430167,3395723308.8188305
2021-06-17 09:00:00,241.0,243.0,233.0,235.0,9912673.76416194,2365376881.985401
2021-06-18 09:00:00,235.0,252.0,229.0,236.0,71749715.54329549,17219457190.72654
2021-06-19 09:00:00,236.0,238.0,220.0,223.0,17825636.56521815,4034789104.683254
2021-06-20 09:00:00,223.0,295.0,217.0,226.0,331040819.92665285,81610510773.96646
2021-06-21 09:00:00,226.0,235.0,154.0,159.0,52517248.83935091,10574567010.082518
2021-06-22 09:00:00,158.0,164.0,116.0,137.0,35364410.68856082,4900291168.384786
2021-06-23 09:00:00,136.0,154.0,128.0,147.0,20403339.26269712,2940272764.700058
2021-06-24 09:00:00,147.0,170.0,147.0,160.0,53489531.13132311,8504562064.383733
2021-06-25 09:00:00,160.0,225.0,157.0,169.0,224470658.81995377,42506866300.31034
2021-06-26 09:00:00,169.0,170.0,150.0,162.0,20438561.95400109,3257811487.201619
2021-06-27 09:00:00,164.0,192.0,159.0,167.0,95229942.6209807,16375424083.04932
2021-06-28 09:00:00,167.0,181.0,161.0,180.0,34708429.06142411,5877325717.429777
2021-06-29 09:00:00,180.0,217.0,173.0,191.0,131341081.81995758,25537425645.333275
2021-06-30 09:00:00,191.0,218.0,186.0,210.0,111353501.95961396,22481307915.590195
2021-07-01 09:00:00,210.0,248.0,203.0,242.0,161708008.46660173,36082812840.11602
2021-07-02 09:00:00,241.0,243.0,198.0,217.0,55296706.29948078,11758889162.020529
2021-07-03 09:00:00,218.0,230.0,207.0,228.0,45454247.49010815,9959389569.210047
2021-07-04 09:00:00,228.0,239.0,220.0,234.0,36273301.76144871,8233881303.340829
2021-07-05 09:00:00,234.0,237.0,213.0,235.0,48886089.1801461,11096787326.771355
2021-07-06 09:00:00,236.0,307.0,228.0,236.0,153151145.96827716,38662730956.00997
2021-07-07 09:00:00,237.0,252.0,233.0,247.0,86961354.02409863,21181008237.826603
2021-07-08 09:00:00,246.0,248.0,206.0,216.0,31495416.68537606,7065467726.401282
2021-07-09 09:00:00,216.0,219.0,196.0,218.0,21909582.13425086,4533258691.412788
2021-07-10 09:00:00,218.0,222.0,210.0,220.0,15340408.76854239,3310183082.060799
2021-07-11 09:00:00,220.0,240.0,215.0,226.0,62581850.51125693,14072612098.140472
2021-07-12 09:00:00,226.0,237.0,221.0,236.0,29504516.16327292,6701724763.548268
2021-07-13 09:00:00,236.0,239.0,221.0,233.0,25402978.03996858,5814741903.584946
2021-07-14 09:00:00,231.0,239.0,203.0,224.0,37377111.52201954,8141140374.897078
2021-07-15 09:00:00,222.0,223.0,207.0,212.0,20334367.88328295,4363438093.588207
2021-07-16 09:00:00,211.0,212.0,190.0,198.0,15515225.3326764,3128853931.8449173
2021-07-17 09:00:00,199.0,218.0,186.0,199.0,22618469.95604211,4442951803.197405
2021-07-18 09:00:00,203.0,239.0,198.0,206.0,197818044.4964377,42392260820.34925
2021-07-19 09:00:00,207.0,207.0,189.0,196.0,20857241.29627707,4115514790.9478607
2021-07-20 09:00:00,194.0,239.0,171.0,206.0,95302264.21856047,19914652758.802803
2021-07-21 09:00:00,206.0,232.0,193.0,221.0,36565820.54398705,7717569876.008587
2021-07-22 09:00:00,222.0,242.0,213.0,221.0,45856523.88665714,10343782602.692392
2021-07-23 09:00:00,222.0,228.0,213.0,224.0,20921644.28799919,4583743999.643497
2021-07-24 09:00:00,224.0,228.0,218.0,227.0,17657635.59458838,3926258728.642235
2021-07-25 09:00:00,226.0,263.0,220.0,258.0,39956429.65201437,9533735120.740982
2021-07-26 09:00:00,258.0,327.0,246.0,277.0,119029997.69049974,34500693012.93141
2021-07-27 09:00:00,277.0,312.0,260.0,280.0,166810485.46720526,47466770992.52674
2021-07-28 09:00:00,280.0,287.0,263.0,274.0,56065936.20302919,15440435954.299334
2021-07-29 09:00:00,273.0,292.0,267.0,289.0,61708267.9174476,17287046788.839916
2021-07-30 09:00:00,289.0,395.0,282.0,317.0,407245839.717539,135207165944.5007
2021-07-31 09:00:00,318.0,322.0,301.0,316.0,31861060.46815934,9841656791.926744
2021-08-01 09:00:00,318.0,370.0,300.0,308.0,142624900.34576347,47630647206.54961
2021-08-02 09:00:00,319.0,331.0,300.0,317.0,79683917.0550087,24848188764.501568
2021-08-03 09:00:00,317.0,317.0,296.0,305.0,22407680.64905492,6837562987.219278
2021-08-04 09:00:00,306.0,335.0,291.0,309.0,89109531.5506594,27835443825.135384
2021-08-05 09:00:00,309.0,316.0,300.0,314.0,40586343.89064581,12476282372.21435
2021-08-06 09:00:00,313.0,325.0,307.0,324.0,31089600.28105891,9730623733.274725
2021-08-07 09:00:00,324.0,335.0,316.0,334.0,37483091.38602507,12160518357.835629
2021-08-08 09:00:00,333.0,333.0,315.0,323.0,23760190.45178809,7673378505.933709
2021-08-09 09:00:00,322.0,325.0,299.0,323.0,25632700.362526,8047554433.145664
2021-08-10 09:00:00,323.0,386.0,315.0,345.0,138205574.6207068,48732394347.83697
2021-08-11 09:00:00,345.0,380.0,335.0,355.0,90973349.65982041,32430361012.055622
2021-08-12 09:00:00,355.0,362.0,330.0,339.0,26931084.69639151,9362618919.700886
2021-08-13 09:00:00,339.0,356.0,334.0,355.0,19905899.32268001,6893491877.22529
2021-08-14 09:00:00,355.0,361.0,341.0,360.0,18141992.78165717,6355074878.115606
2021-08-15 09:00:00,361.0,392.0,355.0,362.0,66593410.5792406,24780950250.59459
2021-08-16 09:00:00,362.0,390.0,358.0,365.0,83092299.13294685,31136532411.41834
2021-08-17 09:00:00,365.0,373.0,350.0,354.0,15786383.69744439,5668918041.64227
2021-08-18 09:00:00,354.0,374.0,336.0,346.0,12823984.69087114,4468726362.595004
2021-08-19 09:00:00,348.0,364.0,334.0,357.0,29240906.63820547,10181794562.88594
2021-08-20 09:00:00,357.0,426.0,353.0,380.0,168151399.95399615,66951993414.93445
2021-08-21 09:00:00,380.0,386.0,370.0,377.0,25156700.21240232,9506847846.429583
2021-08-22 09:00:00,378.0,383.0,371.0,379.0,11459991.14534382,4324387938.617344
2021-08-23 09:00:00,379.0,417.0,373.0,397.0,52422509.62895517,20746155920.529484
2021-08-24 09:00:00,397.0,412.0,376.0,395.0,37107262.1010314,14627431758.632847
2021-08-25 09:00:00,395.0,426.0,381.0,422.0,88616577.56525302,35671892803.74427
2021-08-26 09:00:00,422.0,423.0,387.0,414.0,25036492.07552407,10088388078.469648
2021-08-27 09:00:00,414.0,428.0,386.0,428.0,26427805.8145569,10681387620.594439
2021-08-28 09:00:00,428.0,428.0,414.0,419.0,15384588.49056272,6438368640.258812
2021-08-29 09:00:00,420.0,436.0,403.0,423.0,26343081.87502395,11061028031.669943
2021-08-30 09:00:00,422.0,424.0,409.0,414.0,11099612.28960426,4603827530.843249
2021-08-31 09:00:00,414.0,433.0,400.0,420.0,30731107.58887719,12827323897.291107
2021-09-01 09:00:00,420.0,437.0,405.0,431.0,27027286.09449153,11474309550.690878
2021-09-02 09:00:00,431.0,454.0,422.0,450.0,21629732.92709326,9471107782.370096
2021-09-03 09:00:00,449.0,808.0,438.0,786.0,1138875780.931225,725830736376.7881
2021-09-04 09:00:00,783.0,1800.0,759.0,1045.0,1173475443.9628441,1453347273298.7312
2021-09-05 09:00:00,1045.0,1105.0,831.0,857.0,134978405.7824672,122526351511.85358
2021-09-06 09:00:00,855.0,1005.0,815.0,875.0,185209329.25286597,169669504329.78073
2021-09-07 09:00:00,875.0,1040.0,741.0,921.0,385688938.84813446,362610236172.1268
2021-09-08 09:00:00,923.0,997.0,831.0,897.0,216288100.59765378,194963604807.16705
2021-09-09 09:00:00,897.0,938.0,852.0,898.0,98522478.4318429,88111876107.91072
2021-09-10 09:00:00,899.0,937.0,790.0,814.0,49594669.32520458,42907279029.38029
2021-09-11 09:00:00,815.0,830.0,761.0,784.0,21008976.89293338,16685652276.727215
2021-09-12 09:00:00,783.0,784.0,746.0,772.0,12921175.20764886,9873897995.709982
2021-09-13 09:00:00,772.0,1005.0,766.0,968.0,587995198.9225596,534225179999.9664
2021-09-14 09:00:00,969.0,974.0,847.0,873.0,97059214.3826343,86041342334.64365
2021-09-15 09:00:00,873.0,874.0,818.0,843.0,38625570.98603628,32325669099.652515
2021-09-16 09:00:00,843.0,847.0,807.0,819.0,19792398.79885378,16280830428.08144
2021-09-17 09:00:00,819.0,980.0,810.0,896.0,312166090.9188862,278088636712.7354
2021-09-18 09:00:00,896.0,945.0,860.0,867.0,61863146.43527839,54906809397.41802
2021-09-19 09:00:00,867.0,868.0,822.0,833.0,20987920.83585256,17688400278.57496
2021-09-20 09:00:00,836.0,882.0,688.0,744.0,133442146.1832371,108117587608.30511
2021-09-21 09:00:00,744.0,762.0,651.0,659.0,31874444.10865957,22831635563.80008
2021-09-22 09:00:00,660.0,770.0,621.0,762.0,44014810.12378739,30361822022.18055
2021-09-23 09:00:00,762.0,810.0,704.0,796.0,35191551.22336487,26517645167.18987
2021-09-24 09:00:00,796.0,796.0,696.0,732.0,24565816.25613967,18191302843.549156
2021-09-25 09:00:00,732.0,773.0,707.0,740.0,44620785.924401,33246209489.8048
2021-09-26 09:00:00,741.0,754.0,673.0,707.0,17865448.99610459,12732006898.725725
2021-09-27 09:00:00,706.0,736.0,685.0,686.0,16104816.03004197,11433238396.795088
2021-09-28 09:00:00,686.0,694.0,629.0,631.0,12326442.86416562,8096211446.252189
2021-09-29 09:00:00,633.0,694.0,620.0,652.0,21543078.70649106,14290422202.31676
2021-09-30 09:00:00,651.0,947.0,646.0,825.0,609931041.3184739,522157987331.496
2021-10-01 09:00:00,823.0,957.0,823.0,893.0,295523505.9870423,262669187503.6365
2021-10-02 09:00:00,893.0,929.0,849.0,912.0,79435334.08512387,70500717542.99298
2021-10-03 09:00:00,911.0,1040.0,867.0,1015.0,195211711.88743702,189590637981.4853
2021-10-04 09:00:00,1010.0,1295.0,992.0,1120.0,337963118.943712,392873734965.49335
2021-10-05 09:00:00,1115.0,1150.0,998.0,1035.0,121199995.89359309,128642278760.61911
2021-10-06 09:00:00,1040.0,1345.0,1000.0,1080.0,224976571.6183309,251610828697.65536
2021-10-07 09:00:00,1080.0,1080.0,1010.0,1030.0,42229074.74562013,43481250382.34276
2021-10-08 09:00:00,1035.0,1065.0,954.0,999.0,59026912.36824527,58635217880.28171
2021-10-09 09:00:00,998.0,999.0,930.0,962.0,33127006.98767092,31779224451.003242
2021-10-10 09:00:00,963.0,1060.0,950.0,976.0,55989014.27278163,55639745982.33107
2021-10-11 09:00:00,979.0,1015.0,926.0,950.0,27929941.46205398,27138106665.95645
2021-10-12 09:00:00,952.0,956.0,859.0,894.0,30420997.52571906,27435321048.417255
2021-10-13 09:00:00,894.0,921.0,867.0,919.0,42557351.77480047,38255806482.14381
2021-10-14 09:00:00,919.0,984.0,892.0,935.0,85102631.58135116,79752863386.94286
2021-10-15 09:00:00,935.0,990.0,829.0,870.0,82578944.60316107,75959098600.16951
2021-10-16 09:00:00,869.0,900.0,854.0,871.0,14973845.69763616,13060898122.633911
2021-10-17 09:00:00,871.0,916.0,840.0,856.0,22767731.52488939,20030800807.99194
2021-10-18 09:00:00,856.0,856.0,810.0,845.0,8652462.76639258,7220983348.487016
2021-10-19 09:00:00,858.0,980.0,845.0,907.0,332473745.587693,308805658823.9797
2021-10-20 09:00:00,908.0,909.0,858.0,891.0,35390975.0173141,30862998293.289516
2021-10-21 09:00:00,892.0,892.0,860.0,865.0,15140804.28464728,13228093429.759846
2021-10-22 09:00:00,863.0,882.0,850.0,872.0,15642142.77089716,13533406166.094042
2021-10-23 09:00:00,871.0,873.0,853.0,869.0,6523284.51042406,5631233260.849099
2021-10-24 09:00:00,868.0,869.0,840.0,860.0,7358559.57610695,6283500213.660518
2021-10-25 09:00:00,861.0,940.0,855.0,876.0,53144042.68328269,47319379143.75932
2021-10-26 09:00:00,876.0,876.0,850.0,854.0,13557032.05252364,11630673712.673471
2021-10-27 09:00:00,865.0,867.0,720.0,763.0,28789534.79558593,22841196214.63372
2021-10-28 09:00:00,763.0,856.0,742.0,838.0,24442489.79983362,19622507589.12286
2021-10-29 09:00:00,838.0,838.0,804.0,836.0,21613241.78179122,17710360248.547844
2021-10-30 09:00:00,850.0,916.0,806.0,847.0,84455776.9851458,72454721920.61366
2021-10-31 09:00:00,845.0,849.0,794.0,835.0,30118298.71510573,24670796218.176495
2021-11-01 09:00:00,836.0,920.0,794.0,837.0,57956822.85700997,49046987671.70399
2021-11-02 09:00:00,838.0,839.0,808.0,835.0,24157108.99393304,19830178980.604374
2021-11-03 09:00:00,834.0,836.0,800.0,821.0,19884792.86674839,16223346048.015251
2021-11-04 09:00:00,821.0,870.0,813.0,848.0,70896133.96929836,59762467590.77656
2021-11-05 09:00:00,847.0,847.0,828.0,841.0,14303879.23451442,11950694334.420982
2021-11-06 09:00:00,842.0,842.0,822.0,833.0,9640118.98471329,8002315683.258521
