,open,high,low,close,volume,value
2021-06-04 09:00:00,320.0,320.0,285.0,298.0,9474638.44276476,2844882671.9367766
2021-06-05 09:00:00,298.0,308.0,286.0,292.0,10864753.42720591,3225685701.589083
2021-06-06 09:00:00,292.0,320.0,287.0,297.0,23981784.66854952,7252534058.299868
2021-06-07 09:00:00,297.0,330.0,294.0,305.0,86185271.98270763,26784071583.74005
2021-06-08 09:00:00,305.0,305.0,255.0,277.0,26657547.50171063,7468297264.495237
2021-06-09 09:00:00,277.0,283.0,258.0,277.0,18464926.01256281,4975447699.911749
2021-06-10 09:00:00,277.0,282.0,268.0,279.0,19796394.13194585,5452503392.075538
2021-06-11 09:00:00,279.0,283.0,247.0,250.0,19542986.9099909,5221267430.967344
2021-06-12 09:00:00,249.0,257.0,212.0,226.0,18280754.88217871,4206525288.279046
2021-06-13 09:00:00,226.0,251.0,220.0,235.0,18916028.75291971,4363002693.798836
2021-06-14 09:00:00,236.0,243.0,225.0,238.0,14668416.51849688,3432703990.559776
2021-06-15 09:00:00,238.0,240.0,231.0,240.0,6080462.61388249,1431653472.9824016
2021-06-16 09:00:00,240.0,240.0,226.0,231.0,7599702.69279899,1757389745.5701828
2021-06-17 09:00:00,231.0,236.0,222.0,226.0,6173461.88559793,1408231941.1274407
2021-06-18 09:00:00,226.0,227.0,201.0,212.0,10038058.51016465,2133745040.3694406
2021-06-19 09:00:00,213.0,235.0,200.0,202.0,16182396.48384282,3436181581.1242657
2021-06-20 09:00:00,201.0,204.0,177.0,188.0,14054529.65800729,2662336348.9842005
2021-06-21 09:00:00,189.0,189.0,140.0,146.0,16695740.54233057,2746745360.044372
2021-06-22 09:00:00,145.0,158.0,114.0,132.0,29167770.12167687,3965118945.796714
2021-06-23 09:00:00,133.0,145.0,124.0,143.0,8607388.07422369,1193249350.4981828
2021-06-24 09:00:00,143.0,162.0,140.0,158.0,18134044.85444806,2715119252.1455417
2021-06-25 09:00:00,159.0,171.0,143.0,146.0,24274997.68781756,3903486632.0740633
2021-06-26 09:00:00,148.0,151.0,135.0,149.0,8366971.71285015,1205658286.5746295
2021-06-27 09:00:00,148.0,154.0,143.0,153.0,7506266.31661592,1113010464.3641703
2021-06-28 09:00:00,153.0,170.0,148.0,169.0,18163419.29185752,2891627779.6944466
2021-06-29 09:00:00,170.0,187.0,166.0,185.0,26197226.9996694,4653446727.418208
2021-06-30 09:00:00,184.0,236.0,179.0,211.0,125013552.37599435,25850555929.45632
2021-07-01 09:00:00,212.0,339.0,194.0,339.0,139805847.95561948,34516162224.82015
2021-07-02 09:00:00,338.0,340.0,231.0,241.0,118731268.57515307,30051235801.642406
2021-07-03 09:00:00,240.0,248.0,225.0,248.0,31505633.55614517,7397781513.306447
2021-07-04 09:00:00,248.0,263.0,238.0,253.0,73490630.55802625,18373374008.450424
2021-07-05 09:00:00,253.0,254.0,230.0,242.0,28663385.3723299,6927736883.111656
2021-07-06 09:00:00,242.0,250.0,236.0,242.0,18932880.82616707,4571343314.472923
2021-07-07 09:00:00,243.0,249.0,237.0,246.0,26707129.06241442,6510513039.121918
2021-07-08 09:00:00,246.0,246.0,206.0,213.0,25181850.34515297,5643404527.705581
2021-07-09 09:00:00,213.0,223.0,197.0,217.0,21790216.66820361,4626779725.692074
2021-07-10 09:00:00,217.0,226.0,205.0,218.0,11705591.60999295,2543114326.5135756
2021-07-11 09:00:00,234.0,248.0,218.0,227.0,98114392.46474066,22712370718.0685
2021-07-12 09:00:00,228.0,233.0,221.0,230.0,21763642.17830825,4946266490.485941
2021-07-13 09:00:00,228.0,250.0,223.0,248.0,63807843.58557112,15168718536.354858
2021-07-14 09:00:00,248.0,249.0,213.0,228.0,30873251.72371839,7010737904.474263
2021-07-15 09:00:00,228.0,228.0,208.0,213.0,22460729.06762885,4862843290.95733
2021-07-16 09:00:00,213.0,213.0,190.0,196.0,15968950.99800187,3212611678.470349
2021-07-17 09:00:00,196.0,200.0,190.0,198.0,8487809.24700153,1655111228.6095262
2021-07-18 09:00:00,199.0,218.0,195.0,209.0,33886918.13613276,7109914784.236274
2021-07-19 09:00:00,209.0,237.0,189.0,197.0,67621765.07579358,14435953694.434004
2021-07-20 09:00:00,197.0,223.0,172.0,181.0,77402896.15621893,15467300376.054346
2021-07-21 09:00:00,181.0,197.0,172.0,195.0,19227573.1413701,3584418918.540604
2021-07-22 09:00:00,196.0,201.0,190.0,200.0,10196341.76813649,1984160103.206735
2021-07-23 09:00:00,200.0,213.0,196.0,207.0,32297301.25719658,6593728549.403781
2021-07-24 09:00:00,207.0,211.0,198.0,210.0,14320282.71902294,2927750408.0831757
2021-07-25 09:00:00,211.0,211.0,199.0,208.0,11181469.54119675,2287852486.054073
2021-07-26 09:00:00,208.0,227.0,204.0,214.0,30189278.69594505,6508920160.601352
2021-07-27 09:00:00,215.0,229.0,210.0,229.0,26746325.57044506,5882088179.327768
2021-07-28 09:00:00,229.0,265.0,220.0,249.0,64824986.38053213,15700578540.791477
2021-07-29 09:00:00,251.0,295.0,239.0,265.0,259040938.99943972,68126832009.0962
2021-07-30 09:00:00,278.0,487.0,264.0,373.0,1836916257.6902359,766891967200.6694
2021-07-31 09:00:00,374.0,419.0,341.0,348.0,201749644.08751655,74017398207.79109
