,open,high,low,close,volume,value
2021-06-04 09:00:00,2025.0,2050.0,1790.0,1860.0,6874693.46362844,13119799752.054354
2021-06-05 09:00:00,1855.0,1895.0,1790.0,1840.0,2849707.83592625,5244982952.157368
2021-06-06 09:00:00,1840.0,2090.0,1805.0,1895.0,31387357.67370564,61745597686.50337
2021-06-07 09:00:00,1895.0,2005.0,1695.0,1715.0,8630973.82712426,16231127232.559662
2021-06-08 09:00:00,1715.0,1755.0,1500.0,1635.0,6579767.30768493,10648247945.473661
2021-06-09 09:00:00,1635.0,1825.0,1505.0,1760.0,17013437.85029394,29227248695.92979
2021-06-10 09:00:00,1750.0,1780.0,1665.0,1760.0,5566473.00607009,9566513514.60586
2021-06-11 09:00:00,1760.0,2210.0,1565.0,1610.0,30468239.78227427,56588337639.95422
2021-06-12 09:00:00,1605.0,1610.0,1385.0,1460.0,4768300.97529163,7019519252.705839
2021-06-13 09:00:00,1460.0,1555.0,1420.0,1505.0,4603429.45580314,6830083705.068119
2021-06-14 09:00:00,1505.0,1535.0,1455.0,1530.0,3974517.77403574,5945866812.839099
2021-06-15 09:00:00,1530.0,1530.0,1480.0,1505.0,3009678.23719314,4527159841.741046
2021-06-16 09:00:00,1510.0,1625.0,1455.0,1505.0,12276077.12951848,18992792614.045086
2021-06-17 09:00:00,1500.0,1505.0,1450.0,1470.0,2494024.29158827,3680392242.675495
2021-06-18 09:00:00,1465.0,1465.0,1320.0,1340.0,3147244.66203473,4370001187.721719
2021-06-19 09:00:00,1345.0,1350.0,1285.0,1300.0,1939311.8786036,2551336304.707666
2021-06-20 09:00:00,1295.0,1300.0,1150.0,1245.0,3874123.82662061,4737821830.003733
2021-06-21 09:00:00,1245.0,1245.0,909.0,922.0,6750486.3147229,7191441810.636606
2021-06-22 09:00:00,923.0,939.0,686.0,796.0,8966775.97199199,7269385415.878599
2021-06-23 09:00:00,796.0,906.0,779.0,878.0,6764522.13738454,5731378133.43407
2021-06-24 09:00:00,878.0,951.0,843.0,941.0,4014242.59064064,3610412604.1067104
2021-06-25 09:00:00,941.0,983.0,851.0,865.0,5471960.18427,5034659522.6388445
2021-06-26 09:00:00,866.0,892.0,811.0,871.0,2572700.10061477,2173458162.982209
2021-06-27 09:00:00,873.0,1005.0,857.0,953.0,32205525.73786942,30536383101.74455
2021-06-28 09:00:00,954.0,1075.0,912.0,1055.0,11537522.26068046,11356559607.661528
2021-06-29 09:00:00,1055.0,1255.0,1030.0,1170.0,15089291.0272899,17344132408.020325
2021-06-30 09:00:00,1175.0,1390.0,1120.0,1360.0,16455171.18056134,20382624839.136074
2021-07-01 09:00:00,1360.0,1440.0,1195.0,1290.0,9611192.68590896,12272119748.10742
2021-07-02 09:00:00,1295.0,1300.0,1160.0,1255.0,5326858.53400645,6478339441.890193
2021-07-03 09:00:00,1250.0,1305.0,1200.0,1300.0,3933579.22499142,4933112964.813109
