,open,high,low,close,volume,value
2021-06-04 09:00:00,30350.0,31500.0,27120.0,27850.0,393970.26958145,11611249794.496826
2021-06-05 09:00:00,27840.0,29690.0,27210.0,28000.0,421597.22346969,12054606055.106762
2021-06-06 09:00:00,27940.0,29500.0,27430.0,28740.0,296592.36482144,8435088241.039844
2021-06-07 09:00:00,28750.0,29300.0,25610.0,25730.0,207937.09537619,5832593176.663076
2021-06-08 09:00:00,25840.0,27390.0,22400.0,24190.0,274140.78058808,6756060126.024511
2021-06-09 09:00:00,24290.0,26940.0,23160.0,26260.0,670952.77165165,16789139658.884577
2021-06-10 09:00:00,26300.0,27280.0,24780.0,25280.0,259587.44798327,6644175944.752473
2021-06-11 09:00:00,25410.0,29200.0,22890.0,23200.0,1275512.33559549,33771121719.768215
2021-06-12 09:00:00,23200.0,23670.0,20550.0,21640.0,183445.47071936,3987274512.6289706
2021-06-13 09:00:00,21640.0,23150.0,20700.0,22150.0,264605.2692087,5716381413.072952
2021-06-14 09:00:00,22150.0,22480.0,21030.0,22390.0,195692.76289016,4285736490.423351
2021-06-15 09:00:00,22390.0,23860.0,21960.0,23030.0,518673.05985518,11871856147.005249
2021-06-16 09:00:00,23010.0,23220.0,21350.0,21940.0,187388.69443046,4154779148.592962
2021-06-17 09:00:00,21940.0,22570.0,21160.0,21630.0,193619.99177676,4260935057.4683976
2021-06-18 09:00:00,21610.0,21700.0,19510.0,19810.0,164600.76809385,3371052834.2757773
2021-06-19 09:00:00,19900.0,21200.0,19460.0,19840.0,292695.42400633,5933356799.973517
2021-06-20 09:00:00,19920.0,20470.0,17730.0,18930.0,221109.06426627,4177234027.807797
2021-06-21 09:00:00,18940.0,18940.0,13800.0,13930.0,308339.74462731,4994490176.72381
2021-06-22 09:00:00,13850.0,14490.0,11130.0,12690.0,310073.73385864,3980932340.6373825
2021-06-23 09:00:00,12770.0,13970.0,12290.0,13650.0,185878.79465841,2509065485.9459796
2021-06-24 09:00:00,13600.0,15440.0,13040.0,15050.0,398341.75591066,5746042662.734717
2021-06-25 09:00:00,15050.0,15870.0,13300.0,13820.0,230780.95648116,3371950522.916573
2021-06-26 09:00:00,13880.0,14070.0,12780.0,13650.0,125299.42031384,1668645155.336353
2021-06-27 09:00:00,13640.0,14400.0,13330.0,14350.0,243139.38639371,3373380923.20193
2021-06-28 09:00:00,14390.0,15650.0,14050.0,15570.0,239212.4719124,3512839612.4848022
2021-06-29 09:00:00,15680.0,18300.0,15450.0,17590.0,490817.84866168,8293496985.534164
2021-06-30 09:00:00,17590.0,18880.0,16590.0,18790.0,387041.81900765,6894111114.243646
2021-07-01 09:00:00,18710.0,18880.0,17300.0,18390.0,214076.81779507,3856659234.487116
2021-07-02 09:00:00,18410.0,19290.0,17150.0,18600.0,223611.67601026,4008730966.6815195
2021-07-03 09:00:00,18570.0,19070.0,17730.0,19070.0,152898.82130837,2819316772.6911206
2021-07-04 09:00:00,18940.0,19700.0,18540.0,19500.0,167456.23110752,3199210671.242819
2021-07-05 09:00:00,19500.0,20150.0,18340.0,18970.0,300160.76835491,5721815505.948418
2021-07-06 09:00:00,18980.0,19700.0,18510.0,19050.0,191625.4676177,3639547963.450965
2021-07-07 09:00:00,19090.0,21600.0,18720.0,21490.0,379718.62635363,7623644850.988012
2021-07-08 09:00:00,21540.0,23230.0,17840.0,18330.0,1278982.02245093,25860425622.215923
2021-07-09 09:00:00,18370.0,18390.0,16750.0,18070.0,233635.76057345,4102034291.872618
2021-07-10 09:00:00,18010.0,18310.0,17470.0,17610.0,98753.5523331,1764631245.0790052
2021-07-11 09:00:00,17590.0,18210.0,17110.0,18120.0,111817.01092977,1984597997.8855574
2021-07-12 09:00:00,18120.0,18750.0,17750.0,18520.0,202828.18113264,3701841543.8719926
2021-07-13 09:00:00,18510.0,18600.0,17510.0,18110.0,138385.79998915,2480377191.231104
2021-07-14 09:00:00,18240.0,25280.0,17950.0,20600.0,19026559.11092713,436610846647.9582
2021-07-15 09:00:00,20600.0,24720.0,19520.0,20600.0,7278142.51561188,163811395511.5224
2021-07-16 09:00:00,20610.0,27150.0,19750.0,24890.0,19003779.2954172,466746103251.24304
2021-07-17 09:00:00,24980.0,30300.0,21840.0,22680.0,11517177.21253954,312520439035.2689
2021-07-18 09:00:00,22650.0,23340.0,20710.0,21510.0,1534315.12376431,33169783949.492504
2021-07-19 09:00:00,21510.0,21540.0,18800.0,19570.0,824779.2468775,16216249803.200974
2021-07-20 09:00:00,19570.0,21830.0,16940.0,17710.0,4823675.35995332,97092110640.41995
2021-07-21 09:00:00,17740.0,19190.0,16360.0,19050.0,1508858.29042734,27179624427.051228
2021-07-22 09:00:00,19080.0,20450.0,18170.0,19420.0,1499547.13904151,28599995903.511684
2021-07-23 09:00:00,19410.0,19750.0,18420.0,19710.0,1297986.84466505,24821935137.085518
2021-07-24 09:00:00,19710.0,33470.0,19630.0,29940.0,26458127.10586,743691158874.2832
2021-07-25 09:00:00,29940.0,42450.0,28150.0,36460.0,27786290.7300576,1028013931383.9779
2021-07-26 09:00:00,36460.0,40190.0,29890.0,31480.0,5416190.88392671,183917159796.4368
2021-07-27 09:00:00,31480.0,32700.0,27500.0,32030.0,2670113.08158664,81856955912.60919
2021-07-28 09:00:00,32030.0,32500.0,29500.0,31370.0,1822467.16464636,56255539325.52954
2021-07-29 09:00:00,31380.0,31380.0,29300.0,30000.0,1011016.70082508,30266231454.635426
2021-07-30 09:00:00,30000.0,32000.0,28070.0,30600.0,1832722.05470937,54621583113.50014
2021-07-31 09:00:00,30600.0,31970.0,29770.0,30590.0,1097603.65991726,33508226607.521244
2021-08-01 09:00:00,30630.0,30630.0,27700.0,27840.0,634933.59996173,18550696431.830063
2021-08-02 09:00:00,27840.0,35050.0,27530.0,29900.0,10362891.04430997,325343559651.99243
2021-08-03 09:00:00,29980.0,29990.0,27890.0,28680.0,673062.65766277,19345443412.614803
2021-08-04 09:00:00,28680.0,32340.0,28500.0,29950.0,4149226.52402855,125830209669.99184
2021-08-05 09:00:00,29930.0,30260.0,28910.0,30010.0,841868.70596988,24778097319.228783
2021-08-06 09:00:00,30010.0,30160.0,29060.0,30090.0,652227.5486245,19291389803.336052
2021-08-07 09:00:00,30010.0,30850.0,29520.0,30420.0,926443.6836069,27908337687.58494
