,open,high,low,close,volume,value
2021-06-04 09:00:00,10030.0,10050.0,8820.0,9105.0,2686613.08880788,25321066171.844612
2021-06-05 09:00:00,9105.0,9700.0,8910.0,9340.0,2902644.62903165,26875681881.64671
2021-06-06 09:00:00,9335.0,10100.0,9020.0,9285.0,7391873.31311628,70349158926.80602
2021-06-07 09:00:00,9300.0,10780.0,8820.0,9645.0,18257371.1747891,181837050317.92813
2021-06-08 09:00:00,9795.0,10230.0,7705.0,8965.0,4986755.27938341,43989771218.05535
2021-06-09 09:00:00,8965.0,9050.0,8070.0,8820.0,3225978.86538526,27470055692.764683
2021-06-10 09:00:00,8820.0,8870.0,8360.0,8525.0,2355565.01470041,20128166148.3377
2021-06-11 09:00:00,8525.0,8525.0,7495.0,7500.0,1906588.56848295,15169490698.897467
2021-06-12 09:00:00,7490.0,7750.0,6175.0,6605.0,1693332.72921607,11345431125.857502
2021-06-13 09:00:00,6605.0,8500.0,6570.0,7805.0,19017614.72568393,145336817966.95816
2021-06-14 09:00:00,7800.0,8975.0,7420.0,8155.0,12821401.07741689,105840746532.86555
2021-06-15 09:00:00,8115.0,8175.0,7655.0,7830.0,2123272.75340876,16585594451.61697
2021-06-16 09:00:00,7805.0,7900.0,7180.0,7500.0,2014308.25797866,15308697048.757088
2021-06-17 09:00:00,7495.0,7505.0,7250.0,7340.0,793494.23490961,5831461305.0692835
2021-06-18 09:00:00,7325.0,7325.0,6615.0,6925.0,938176.06025029,6480308863.6787195
2021-06-19 09:00:00,6925.0,8040.0,6925.0,7435.0,10444007.69411116,77966174621.13336
2021-06-20 09:00:00,7435.0,7460.0,6615.0,7005.0,1641752.98120358,11423152752.52921
2021-06-21 09:00:00,7015.0,7020.0,4435.0,4985.0,1652817.61797731,9785802451.23578
2021-06-22 09:00:00,4890.0,6100.0,3840.0,4460.0,3329011.28958929,16095314545.396725
2021-06-23 09:00:00,4455.0,5000.0,4175.0,4955.0,2130622.79156547,9816116643.621817
2021-06-24 09:00:00,4955.0,5520.0,4555.0,5480.0,1593198.38249152,8017411904.738861
2021-06-25 09:00:00,5480.0,5955.0,5005.0,5265.0,3180644.34411822,17633512115.18168
2021-06-26 09:00:00,5225.0,5755.0,4830.0,5400.0,1731474.02916953,9130030078.921614
2021-06-27 09:00:00,5400.0,5755.0,5120.0,5525.0,2706566.88422763,14748316461.938644
2021-06-28 09:00:00,5530.0,5950.0,5275.0,5920.0,2365481.66667008,13138714682.805172
2021-06-29 09:00:00,5920.0,6520.0,5710.0,6490.0,3683867.78884657,22579126827.892265
2021-06-30 09:00:00,6470.0,11330.0,6355.0,7715.0,32440400.33286138,262213001427.73163
2021-07-01 09:00:00,7705.0,7715.0,6630.0,7020.0,3236944.65270834,22785138345.571075
2021-07-02 09:00:00,6970.0,7045.0,6345.0,6780.0,1496293.75205709,9917129810.121258
2021-07-03 09:00:00,6785.0,7280.0,6660.0,7080.0,4136291.77271892,29159360510.017197
2021-07-04 09:00:00,7090.0,7170.0,6860.0,7140.0,1389109.37029982,9779381325.39012
2021-07-05 09:00:00,7135.0,7375.0,6555.0,7150.0,3113836.57950887,21976631869.474068
2021-07-06 09:00:00,7150.0,7700.0,6900.0,7200.0,3428573.38180161,24787335761.16765
2021-07-07 09:00:00,7200.0,7735.0,7080.0,7390.0,6535303.29095636,48897958303.236046
