,open,high,low,close,volume,value
2021-06-04 09:00:00,682.0,682.0,605.0,629.0,9625019.49768194,6113643742.610407
2021-06-05 09:00:00,629.0,650.0,610.0,628.0,5713830.53319509,3598377913.8686185
2021-06-06 09:00:00,628.0,699.0,615.0,648.0,19720799.14140142,12951295438.6716
2021-06-07 09:00:00,649.0,696.0,591.0,604.0,25397121.5505906,16837251581.656204
2021-06-08 09:00:00,604.0,614.0,521.0,565.0,11850419.9197621,6708538527.3597555
2021-06-09 09:00:00,568.0,587.0,524.0,582.0,8580847.65316546,4775447881.291874
2021-06-10 09:00:00,582.0,590.0,560.0,581.0,7859097.93430396,4539014161.176517
2021-06-11 09:00:00,581.0,599.0,526.0,528.0,13683209.1670595,7668883668.38592
2021-06-12 09:00:00,530.0,570.0,441.0,464.0,23712737.64941762,11775598938.829954
2021-06-13 09:00:00,464.0,537.0,434.0,511.0,55128531.83010413,26251658745.834587
2021-06-14 09:00:00,511.0,529.0,482.0,510.0,17651763.7220833,8892337998.714808
2021-06-15 09:00:00,510.0,511.0,489.0,502.0,7483487.06224753,3731472185.7201037
2021-06-16 09:00:00,502.0,502.0,465.0,487.0,6629600.63564409,3202290476.071656
2021-06-17 09:00:00,486.0,490.0,468.0,477.0,4379065.75212922,2097826899.8456194
2021-06-18 09:00:00,476.0,477.0,420.0,433.0,6374892.15051354,2838611882.014274
2021-06-19 09:00:00,434.0,455.0,397.0,408.0,15021061.52127281,6364628414.902639
2021-06-20 09:00:00,408.0,408.0,364.0,390.0,11839493.31003555,4569224109.85726
2021-06-21 09:00:00,389.0,391.0,280.0,285.0,16199209.43593318,5397296486.838196
2021-06-22 09:00:00,285.0,315.0,207.0,250.0,31918942.45446546,8328848473.363237
2021-06-23 09:00:00,250.0,285.0,233.0,275.0,13439382.38375031,3538329337.459053
2021-06-24 09:00:00,275.0,305.0,270.0,305.0,13094085.51805088,3767415128.137107
2021-06-25 09:00:00,304.0,319.0,272.0,277.0,15626655.80067843,4667749137.114196
2021-06-26 09:00:00,278.0,289.0,258.0,283.0,9570123.38383107,2642431836.343898
2021-06-27 09:00:00,283.0,290.0,275.0,289.0,7017859.50222351,1981247268.9001482
2021-06-28 09:00:00,288.0,338.0,281.0,331.0,17219119.2441948,5311488810.464253
2021-06-29 09:00:00,333.0,391.0,330.0,377.0,24765605.26552442,8822748881.46703
2021-06-30 09:00:00,376.0,599.0,365.0,456.0,340599886.5720556,160949739219.41483
2021-07-01 09:00:00,457.0,459.0,390.0,416.0,24331101.16233497,10085553579.95905
2021-07-02 09:00:00,416.0,432.0,398.0,422.0,13165700.53651546,5453356659.576468
2021-07-03 09:00:00,424.0,456.0,411.0,438.0,31233738.79865928,13680279633.989826
2021-07-04 09:00:00,438.0,454.0,428.0,448.0,8363943.01802285,3667780732.325774
2021-07-05 09:00:00,448.0,452.0,405.0,447.0,12398246.50209589,5372759994.112599
2021-07-06 09:00:00,447.0,455.0,433.0,448.0,12023303.888965,5321771850.758615
2021-07-07 09:00:00,448.0,572.0,446.0,488.0,248617573.1874125,131239478499.35387
2021-07-08 09:00:00,487.0,488.0,425.0,434.0,18556808.80362977,8392258366.144618
2021-07-09 09:00:00,434.0,438.0,397.0,436.0,8546259.81326175,3571998430.2631516
2021-07-10 09:00:00,436.0,515.0,434.0,467.0,108025688.09124456,51253768743.85544
2021-07-11 09:00:00,472.0,545.0,466.0,501.0,131441174.77283776,66470408047.98497
2021-07-12 09:00:00,501.0,502.0,471.0,494.0,22554142.94257561,10865739751.026152
2021-07-13 09:00:00,489.0,553.0,474.0,496.0,114533536.21268572,58371211378.19551
2021-07-14 09:00:00,497.0,500.0,431.0,467.0,18175604.36317719,8308499622.5972
2021-07-15 09:00:00,469.0,540.0,451.0,471.0,67447201.56296372,32989095700.02072
2021-07-16 09:00:00,474.0,474.0,413.0,435.0,11711975.82229713,5162424688.791033
2021-07-17 09:00:00,436.0,443.0,409.0,438.0,6556954.28250821,2773570180.1878576
2021-07-18 09:00:00,438.0,484.0,417.0,426.0,29105638.39060584,12939626525.149397
2021-07-19 09:00:00,427.0,474.0,394.0,410.0,42707000.66158687,18813685293.559647
2021-07-20 09:00:00,411.0,412.0,346.0,386.0,24490814.72848925,9144898209.679989
2021-07-21 09:00:00,386.0,433.0,360.0,420.0,75004741.41399807,29764076026.085884
2021-07-22 09:00:00,420.0,465.0,403.0,440.0,56865750.78795798,24523558382.7986
2021-07-23 09:00:00,440.0,445.0,419.0,443.0,24747436.41824977,10640862689.710648
2021-07-24 09:00:00,443.0,456.0,429.0,451.0,17890444.6697086,7851032490.433892
2021-07-25 09:00:00,451.0,458.0,430.0,451.0,20321691.73802076,9014927181.430225
2021-07-26 09:00:00,451.0,510.0,442.0,466.0,60248751.78463937,28534665011.31502
2021-07-27 09:00:00,470.0,527.0,466.0,507.0,107529994.78961718,52982915911.448204
2021-07-28 09:00:00,507.0,521.0,486.0,510.0,26657536.47509563,13219259911.449804
2021-07-29 09:00:00,510.0,555.0,487.0,550.0,137023332.42649207,72519526354.89742
2021-07-30 09:00:00,551.0,583.0,500.0,563.0,62022966.16523293,34017006286.547386
2021-07-31 09:00:00,563.0,592.0,541.0,591.0,23112374.01084625,12974020166.36702
2021-08-01 09:00:00,591.0,592.0,542.0,566.0,31410653.20514922,17948399334.689888
2021-08-02 09:00:00,567.0,589.0,547.0,576.0,24990558.5647856,13996104400.626833
2021-08-03 09:00:00,576.0,581.0,535.0,555.0,18403249.03653448,10260994601.875685
2021-08-04 09:00:00,555.0,570.0,535.0,564.0,16822489.54245654,9286079396.355375
2021-08-05 09:00:00,563.0,578.0,549.0,578.0,24247422.07066796,13742288374.071539
2021-08-06 09:00:00,578.0,598.0,565.0,598.0,16349750.6697176,9475355230.276
2021-08-07 09:00:00,599.0,631.0,598.0,624.0,37581752.25604063,22931557359.390644
2021-08-08 09:00:00,623.0,657.0,597.0,608.0,26607126.22780774,16592440566.359232
2021-08-09 09:00:00,607.0,617.0,569.0,612.0,13198549.37358379,7856652218.102214
2021-08-10 09:00:00,612.0,618.0,600.0,616.0,14976618.41220988,9079826113.116531
2021-08-11 09:00:00,614.0,648.0,609.0,647.0,22783050.08165406,14379490297.921022
2021-08-12 09:00:00,647.0,670.0,598.0,622.0,27793301.67569772,17602377134.818363
2021-08-13 09:00:00,622.0,658.0,610.0,656.0,15407267.44071491,9762583741.825893
2021-08-14 09:00:00,656.0,739.0,647.0,692.0,108570581.60889097,75579809225.44151
2021-08-15 09:00:00,692.0,711.0,657.0,693.0,22428625.91092904,15483815597.943052
2021-08-16 09:00:00,693.0,700.0,680.0,687.0,13715824.00346832,9460450495.668098
2021-08-17 09:00:00,686.0,703.0,631.0,638.0,15924024.38641852,10620845080.042095
2021-08-18 09:00:00,637.0,651.0,601.0,625.0,17467730.33941598,10947813373.073284
2021-08-19 09:00:00,625.0,642.0,604.0,641.0,9258982.07576565,5753000248.098236
2021-08-20 09:00:00,641.0,671.0,631.0,664.0,23239626.41081511,15286297645.957424
2021-08-21 09:00:00,664.0,688.0,645.0,669.0,19189667.56316485,12848598764.644861
2021-08-22 09:00:00,669.0,682.0,642.0,663.0,16496076.93169748,11020432045.391655
2021-08-23 09:00:00,664.0,754.0,653.0,689.0,55023806.90676491,38835655233.104164
2021-08-24 09:00:00,689.0,800.0,680.0,699.0,99853094.34079833,73019621730.3368
2021-08-25 09:00:00,699.0,712.0,647.0,706.0,17427692.74949712,11807440221.412228
2021-08-26 09:00:00,705.0,734.0,653.0,664.0,14239449.66313543,9784751822.455122
2021-08-27 09:00:00,664.0,689.0,640.0,688.0,9593225.7845552,6353006450.87303
2021-08-28 09:00:00,688.0,693.0,671.0,677.0,7681595.54276015,5228328530.946295
2021-08-29 09:00:00,677.0,708.0,662.0,689.0,14110682.61052833,9565746163.17426
2021-08-30 09:00:00,689.0,689.0,664.0,670.0,7105597.66934257,4779194691.794582
2021-08-31 09:00:00,669.0,727.0,669.0,683.0,44715896.03110667,30909214885.06992
2021-09-01 09:00:00,682.0,730.0,664.0,711.0,39278814.8355886,27534476019.657177
2021-09-02 09:00:00,710.0,718.0,700.0,712.0,14481406.58886728,10252230471.348019
2021-09-03 09:00:00,711.0,772.0,700.0,757.0,46209247.86270334,33934605267.734802
2021-09-04 09:00:00,757.0,975.0,753.0,886.0,298790716.25427526,259625363915.3575
2021-09-05 09:00:00,885.0,887.0,761.0,806.0,53354110.4150875,43580443655.38427
2021-09-06 09:00:00,805.0,831.0,790.0,830.0,32551369.05737193,26478047198.590485
2021-09-07 09:00:00,830.0,860.0,679.0,724.0,42262355.38086122,33747894272.708416
2021-09-08 09:00:00,723.0,742.0,622.0,713.0,19151235.7145344,13045418822.717415
2021-09-09 09:00:00,714.0,748.0,698.0,746.0,12196603.88100382,8783636611.213326
2021-09-10 09:00:00,749.0,805.0,703.0,798.0,35807970.40089405,27207347546.70736
2021-09-11 09:00:00,799.0,800.0,731.0,761.0,17739572.96689061,13464912436.218113
2021-09-12 09:00:00,761.0,773.0,731.0,765.0,12907578.24867126,9740482518.841791
2021-09-13 09:00:00,763.0,795.0,690.0,721.0,22832294.99535671,17110623936.789585
2021-09-14 09:00:00,721.0,736.0,700.0,736.0,7253591.69337641,5209712420.471658
2021-09-15 09:00:00,735.0,812.0,735.0,774.0,166232201.67661345,129840401668.7672
2021-09-16 09:00:00,774.0,774.0,749.0,755.0,21504083.74443472,16283578079.895039
2021-09-17 09:00:00,756.0,787.0,747.0,776.0,30224614.08312503,23206541506.26335
2021-09-18 09:00:00,776.0,778.0,759.0,768.0,9602769.44365332,7366669718.003951
2021-09-19 09:00:00,768.0,768.0,735.0,743.0,7292520.23284468,5466251397.212977
2021-09-20 09:00:00,739.0,762.0,619.0,635.0,25914697.31212148,18069688877.376186
2021-09-21 09:00:00,630.0,670.0,575.0,580.0,15630248.5303822,9690545013.13732
2021-09-22 09:00:00,580.0,644.0,544.0,637.0,12091811.69602852,7202020813.424767
2021-09-23 09:00:00,637.0,651.0,599.0,638.0,8553656.86700161,5371573903.478341
2021-09-24 09:00:00,638.0,641.0,562.0,603.0,9320924.55812447,5601414399.118775
2021-09-25 09:00:00,602.0,608.0,570.0,595.0,5800678.60973752,3438931396.398255
2021-09-26 09:00:00,595.0,624.0,567.0,592.0,23100682.99922524,13918963918.692156
2021-09-27 09:00:00,594.0,608.0,569.0,570.0,7644491.03572001,4512650559.114414
2021-09-28 09:00:00,571.0,574.0,521.0,524.0,8139374.78564751,4403813423.828764
2021-09-29 09:00:00,525.0,544.0,513.0,529.0,5027220.15347972,2664544295.598154
2021-09-30 09:00:00,532.0,584.0,525.0,571.0,20617749.38107308,11477804894.885445
2021-10-01 09:00:00,571.0,629.0,564.0,622.0,14014360.45042693,8396697095.941696
2021-10-02 09:00:00,620.0,654.0,617.0,642.0,15126275.9810966,9609069901.444757
2021-10-03 09:00:00,642.0,705.0,640.0,660.0,35619195.94453376,23954663662.545296
2021-10-04 09:00:00,660.0,727.0,640.0,676.0,60321328.09644817,41747653277.273384
2021-10-05 09:00:00,675.0,712.0,650.0,691.0,21028647.87509721,14267576521.615828
2021-10-06 09:00:00,691.0,966.0,680.0,798.0,747582005.7190428,615217265170.6766
2021-10-07 09:00:00,797.0,823.0,759.0,770.0,57934103.69798713,45088834360.637085
2021-10-08 09:00:00,770.0,797.0,731.0,785.0,41610821.11296213,31721350676.525547
2021-10-09 09:00:00,785.0,788.0,741.0,765.0,24770259.08849385,18925157406.918247
2021-10-10 09:00:00,763.0,800.0,744.0,757.0,23284228.13152778,17882719043.536575
2021-10-11 09:00:00,757.0,770.0,740.0,770.0,11508945.66953185,8667996786.00943
2021-10-12 09:00:00,768.0,770.0,701.0,727.0,12035496.84753198,8711850808.526768
2021-10-13 09:00:00,727.0,763.0,716.0,758.0,13418882.63793342,9960239433.079361
2021-10-14 09:00:00,758.0,783.0,742.0,773.0,23291145.52322783,17912837177.11577
2021-10-15 09:00:00,774.0,787.0,681.0,718.0,26732524.2195198,19747786203.17316
2021-10-16 09:00:00,718.0,728.0,700.0,717.0,6153327.90097343,4394941141.513485
2021-10-17 09:00:00,718.0,723.0,700.0,708.0,3956751.66135908,2805243443.2653155
2021-10-18 09:00:00,712.0,713.0,665.0,688.0,7010165.34911198,4796574039.785148
2021-10-19 09:00:00,687.0,720.0,683.0,703.0,9640400.1359586,6734158105.6830225
2021-10-20 09:00:00,703.0,713.0,677.0,709.0,6628196.34113777,4603173628.955435
2021-10-21 09:00:00,708.0,714.0,691.0,703.0,6247005.94351378,4402660810.4568
2021-10-22 09:00:00,701.0,723.0,694.0,714.0,8481205.33763349,6032083564.0545
2021-10-23 09:00:00,714.0,770.0,713.0,727.0,89018126.83883561,66141307963.410614
2021-10-24 09:00:00,727.0,728.0,698.0,707.0,8378056.93684525,5952068896.686444
2021-10-25 09:00:00,707.0,710.0,701.0,708.0,3778162.78741843,2661679529.2608805
2021-10-26 09:00:00,708.0,716.0,700.0,701.0,4953945.19025957,3495654365.270748
2021-10-27 09:00:00,702.0,704.0,617.0,648.0,10555188.67094084,7023348671.126644
2021-10-28 09:00:00,647.0,678.0,622.0,677.0,5062245.9647118,3320246007.7901998
2021-10-29 09:00:00,677.0,698.0,670.0,693.0,7154180.47627192,4897996769.864525
2021-10-30 09:00:00,693.0,709.0,675.0,704.0,9096684.51076763,6301774626.607093
2021-10-31 09:00:00,705.0,736.0,685.0,735.0,20756884.42778428,14738599712.99707
2021-11-01 09:00:00,733.0,735.0,691.0,721.0,10405218.43299672,7405735598.687547
2021-11-02 09:00:00,721.0,755.0,702.0,750.0,14930823.49733334,10915118613.066017
2021-11-03 09:00:00,751.0,751.0,705.0,739.0,10979123.08150497,7985853577.035286
2021-11-04 09:00:00,739.0,856.0,731.0,755.0,127350638.38623007,101333671704.99182
2021-11-05 09:00:00,755.0,762.0,731.0,750.0,18018869.68509884,13425918517.14377
2021-11-06 09:00:00,750.0,750.0,730.0,738.0,6527049.31456254,4814333127.333003
2021-11-07 09:00:00,737.0,749.0,732.0,742.0,5678258.52595107,4192163259.867921
2021-11-08 09:00:00,742.0,762.0,730.0,746.0,15697943.62532425,11662973103.990044
2021-11-09 09:00:00,746.0,746.0,725.0,737.0,7498488.9264708,5526376518.9054985
2021-11-10 09:00:00,740.0,809.0,707.0,722.0,54384405.14414297,41229875254.00113
2021-11-11 09:00:00,722.0,734.0,710.0,727.0,5947486.91586689,4283571239.5656924
2021-11-12 09:00:00,726.0,727.0,702.0,712.0,4873841.0611531,3465087544.9064198
2021-11-13 09:00:00,711.0,719.0,706.0,717.0,3046889.42111871,2167541718.4953513
2021-11-14 09:00:00,715.0,729.0,707.0,714.0,4939004.21711498,3528407104.4473143
2021-11-15 09:00:00,715.0,738.0,709.0,732.0,10531071.33663127,7582137700.614951
2021-11-16 09:00:00,732.0,781.0,707.0,751.0,91344208.14611916,68266282686.74539
2021-11-17 09:00:00,751.0,784.0,712.0,782.0,33753550.14322589,25147288608.52664
2021-11-18 09:00:00,783.0,794.0,700.0,713.0,27180805.65427142,20283102548.38025
2021-11-19 09:00:00,715.0,735.0,699.0,730.0,12239320.98159562,8783682960.14903
2021-11-20 09:00:00,730.0,770.0,722.0,760.0,17234987.77926063,12832779512.228186
2021-11-21 09:00:00,760.0,776.0,744.0,746.0,14827744.73514656,11264364684.289661
2021-11-22 09:00:00,746.0,757.0,719.0,726.0,14565339.17286313,10732188042.861393
2021-11-23 09:00:00,727.0,779.0,714.0,754.0,35788382.29005654,26743455941.693737
2021-11-24 09:00:00,754.0,815.0,732.0,778.0,40907803.78130094,31525102104.815063
2021-11-25 09:00:00,776.0,843.0,749.0,830.0,44769868.98098283,35199628428.33923
2021-11-26 09:00:00,827.0,990.0,811.0,858.0,215199953.31878406,194925960718.0237
2021-11-27 09:00:00,858.0,897.0,816.0,871.0,32663407.40189619,28046841412.986534
2021-11-28 09:00:00,886.0,1020.0,871.0,921.0,213175102.62752908,202311451378.85272
2021-11-29 09:00:00,921.0,935.0,853.0,881.0,32575144.12884773,28660045881.350235
2021-11-30 09:00:00,881.0,881.0,800.0,805.0,24094521.11855852,19950845460.5663
2021-12-01 09:00:00,804.0,830.0,788.0,814.0,13495694.85454168,10889464622.122742
2021-12-02 09:00:00,815.0,849.0,762.0,786.0,25031467.3977892,20032204193.25574
2021-12-03 09:00:00,787.0,788.0,715.0,733.0,17981655.47409698,13642437301.418425
2021-12-04 09:00:00,733.0,735.0,501.0,625.0,24629684.39183997,15256598051.767857
2021-12-05 09:00:00,623.0,655.0,543.0,585.0,12335672.4681508,7389561989.184497
2021-12-06 09:00:00,587.0,629.0,523.0,609.0,19256033.66143795,11111181584.364586
2021-12-07 09:00:00,609.0,628.0,596.0,617.0,9163381.41605548,5628803474.179442
2021-12-08 09:00:00,617.0,645.0,581.0,637.0,10872799.8775969,6699637479.025989
2021-12-09 09:00:00,637.0,641.0,575.0,581.0,8485237.54668731,5150218449.097464
2021-12-10 09:00:00,580.0,593.0,554.0,561.0,9688704.08467775,5572689809.844102
2021-12-11 09:00:00,560.0,578.0,547.0,577.0,3674828.16108482,2070242876.9435906
2021-12-12 09:00:00,574.0,588.0,561.0,575.0,3391983.84963132,1947508334.3296754
2021-12-13 09:00:00,576.0,582.0,512.0,526.0,6731047.07956015,3638744619.544983
2021-12-14 09:00:00,525.0,532.0,481.0,519.0,9560134.6760401,4871682428.610849
2021-12-15 09:00:00,518.0,543.0,481.0,538.0,8050495.50463064,4114794486.0535417
2021-12-16 09:00:00,537.0,548.0,522.0,528.0,5884771.24396973,3152107453.8553467
2021-12-17 09:00:00,527.0,569.0,519.0,534.0,11627993.31204601,6285933804.131742
2021-12-18 09:00:00,533.0,539.0,516.0,539.0,4207081.28439161,2226151359.8080087
2021-12-19 09:00:00,539.0,543.0,529.0,532.0,3276670.80280901,1753664177.970056
2021-12-20 09:00:00,530.0,532.0,493.0,507.0,4898209.64575474,2494974294.8621144
2021-12-21 09:00:00,507.0,526.0,497.0,521.0,4287779.84286394,2204412582.4366603
2021-12-22 09:00:00,520.0,542.0,515.0,532.0,6878399.67394247,3642394564.667814
2021-12-23 09:00:00,531.0,592.0,526.0,559.0,39207609.54223326,22046630012.078033
2021-12-24 09:00:00,559.0,567.0,546.0,551.0,7791448.50105038,4357025908.31256
2021-12-25 09:00:00,551.0,563.0,546.0,556.0,3595986.20221158,1992704313.5093555
2021-12-26 09:00:00,557.0,573.0,544.0,565.0,8650499.19555108,4825056437.734898
2021-12-27 09:00:00,565.0,569.0,550.0,562.0,5487135.96613505,3072816677.4157953
2021-12-28 09:00:00,562.0,588.0,518.0,525.0,12927702.70240134,7187731990.796824
2021-12-29 09:00:00,525.0,531.0,500.0,506.0,4448429.70151819,2298137883.9503984
2021-12-30 09:00:00,507.0,542.0,503.0,519.0,11479559.22484806,6012492457.861055
2021-12-31 09:00:00,519.0,528.0,509.0,522.0,3470553.67470825,1794639173.9807427
2022-01-01 09:00:00,522.0,534.0,518.0,527.0,3611983.69481914,1897718006.2797968
2022-01-02 09:00:00,526.0,583.0,525.0,572.0,20796745.01043493,11574287330.311974
2022-01-03 09:00:00,572.0,580.0,546.0,554.0,9891805.18410996,5541459867.255807
2022-01-04 09:00:00,556.0,557.0,527.0,538.0,5325334.03945056,2875783585.5074124
2022-01-05 09:00:00,538.0,548.0,493.0,509.0,5466563.38950785,2888179953.1782646
2022-01-06 09:00:00,509.0,518.0,483.0,504.0,6880589.92797526,3410867150.114078
2022-01-07 09:00:00,517.0,521.0,465.0,482.0,12696904.14426112,6277111838.85593
2022-01-08 09:00:00,481.0,493.0,461.0,477.0,3312778.81590907,1583040271.762138
