,open,high,low,close,volume,value
2021-06-04 09:00:00,1410.0,1420.0,1225.0,1300.0,3058168.43037611,4045804682.9564605
2021-06-05 09:00:00,1300.0,1355.0,1215.0,1260.0,2403912.43476994,3078848554.041607
2021-06-06 09:00:00,1255.0,1440.0,1255.0,1350.0,20701615.17951321,27506236772.699028
2021-06-07 09:00:00,1345.0,1350.0,1185.0,1195.0,4323200.80306333,5600419163.097961
2021-06-08 09:00:00,1190.0,1230.0,1060.0,1155.0,2815810.73657848,3222508116.005183
2021-06-09 09:00:00,1155.0,1200.0,1085.0,1185.0,2372457.05821074,2711139994.1355166
2021-06-10 09:00:00,1185.0,1220.0,1120.0,1155.0,3545406.56125879,4154491612.907884
2021-06-11 09:00:00,1155.0,1245.0,1085.0,1095.0,7056908.50695476,8290232629.374077
2021-06-12 09:00:00,1095.0,1105.0,991.0,1040.0,2300411.89314726,2393029188.1938972
2021-06-13 09:00:00,1035.0,1105.0,1020.0,1090.0,3506994.51801785,3717873971.8131647
2021-06-14 09:00:00,1090.0,1125.0,1055.0,1115.0,1750911.66209186,1904688299.518766
2021-06-15 09:00:00,1120.0,1170.0,1085.0,1120.0,2472733.87427843,2775393304.9675155
2021-06-16 09:00:00,1120.0,1125.0,1050.0,1075.0,1916275.78651961,2069163386.98558
2021-06-17 09:00:00,1065.0,1100.0,1035.0,1055.0,1586218.30853632,1696300760.696158
2021-06-18 09:00:00,1055.0,1060.0,962.0,990.0,1973232.74328879,1992197943.2191632
2021-06-19 09:00:00,989.0,1045.0,953.0,982.0,1473291.94999994,1469260916.1654422
2021-06-20 09:00:00,981.0,1020.0,921.0,967.0,2254404.71791239,2192489228.9876137
2021-06-21 09:00:00,970.0,975.0,731.0,739.0,3336291.94081233,2855813174.9425406
2021-06-22 09:00:00,739.0,788.0,593.0,669.0,2712605.00581623,1847111666.2313633
2021-06-23 09:00:00,675.0,802.0,642.0,765.0,13587073.17949098,10413325516.273415
2021-06-24 09:00:00,765.0,794.0,714.0,789.0,5065531.40549872,3844907368.9007072
2021-06-25 09:00:00,789.0,801.0,710.0,721.0,2920824.55262588,2241618877.701624
2021-06-26 09:00:00,720.0,748.0,683.0,734.0,1297524.15312253,926184328.0122372
2021-06-27 09:00:00,732.0,755.0,710.0,755.0,1108873.6002696,813497904.2408466
2021-06-28 09:00:00,753.0,825.0,747.0,825.0,2890741.29501087,2243010609.8448906
