,open,high,low,close,volume,value
2021-06-04 09:00:00,62.6,62.6,56.8,58.4,69111442.9327117,4070575694.442358
2021-06-05 09:00:00,58.2,62.5,57.1,57.9,222591117.2963414,13298246589.61522
2021-06-06 09:00:00,57.9,76.5,57.2,59.0,1243185884.1193163,81570280678.3739
2021-06-07 09:00:00,58.8,64.7,55.0,55.3,434362039.12360936,26401261441.883892
2021-06-08 09:00:00,55.3,58.0,47.3,51.8,72472709.97316302,3788727625.799789
2021-06-09 09:00:00,51.8,53.5,48.5,53.5,51196709.55138992,2615203862.782976
2021-06-10 09:00:00,53.5,65.8,51.9,57.0,2065608368.6110172,125119019539.91283
2021-06-11 09:00:00,57.1,101.0,55.0,74.5,12579979469.39274,1016517688051.086
2021-06-12 09:00:00,74.3,74.6,54.7,55.5,626269682.9506646,38072419954.39142
2021-06-13 09:00:00,55.5,55.8,50.0,54.4,167052784.2408641,8673925366.384007
2021-06-14 09:00:00,54.5,54.9,50.9,54.1,163303206.4750354,8585492168.612735
2021-06-15 09:00:00,54.1,64.3,54.1,57.1,1220489627.8492835,72104613472.84996
2021-06-16 09:00:00,57.1,57.1,52.0,54.2,156378662.79079485,8526929342.077712
2021-06-17 09:00:00,54.2,55.0,52.4,54.7,70004559.75713637,3740318140.1533074
2021-06-18 09:00:00,54.7,55.0,49.8,50.9,68744823.0512572,3548413955.6406693
2021-06-19 09:00:00,50.9,51.1,43.0,47.8,136520406.60061827,6363691052.414112
2021-06-20 09:00:00,48.0,48.1,41.9,45.9,84065020.9652644,3781798412.3209734
2021-06-21 09:00:00,45.9,45.9,31.6,32.7,100539055.93443048,3911063435.0566683
2021-06-22 09:00:00,32.8,35.4,25.8,30.7,105674719.76446661,3213791353.881947
2021-06-23 09:00:00,30.7,34.1,29.4,33.9,47273270.27763304,1514074277.5550792
2021-06-24 09:00:00,33.9,39.4,33.2,37.0,198613112.67474562,7291037432.2937765
2021-06-25 09:00:00,37.6,52.4,37.0,42.1,2841261594.2943063,134276886970.43916
2021-06-26 09:00:00,42.2,42.3,35.9,40.5,317117473.4201928,12346310705.844524
2021-06-27 09:00:00,40.5,47.7,38.8,41.9,644559483.8287982,27423681297.482693
2021-06-28 09:00:00,41.8,46.1,39.5,45.6,334573848.6740608,14066409381.625715
2021-06-29 09:00:00,45.6,60.0,43.2,49.0,1208510434.9737768,61578246120.72673
2021-06-30 09:00:00,49.1,50.3,43.9,50.2,174115525.840045,8098474434.198264
2021-07-01 09:00:00,50.1,62.0,47.6,52.0,1257218701.078861,68184238683.82643
2021-07-02 09:00:00,52.0,53.5,46.0,53.4,257367232.182394,12736049734.825163
2021-07-03 09:00:00,53.3,54.5,49.2,54.0,177220914.41200307,9172784905.235193
2021-07-04 09:00:00,53.7,62.2,52.3,55.0,523528208.5426689,29121546947.32008
2021-07-05 09:00:00,55.0,57.5,50.9,55.8,335508072.26341265,18178407814.822975
2021-07-06 09:00:00,56.0,58.9,53.6,58.0,236601376.80692154,13192525201.713097
2021-07-07 09:00:00,58.0,58.1,55.3,56.7,173571480.92059746,9753903883.007936
2021-07-08 09:00:00,56.7,56.7,47.9,50.2,168988484.05419773,8752430620.448793
2021-07-09 09:00:00,50.1,53.5,46.5,50.6,312378841.19618666,15579468688.854216
2021-07-10 09:00:00,50.6,65.6,50.3,54.9,2419874328.693161,141650376672.64996
2021-07-11 09:00:00,55.0,55.6,50.3,55.2,299588586.7092448,15877694614.13241
2021-07-12 09:00:00,55.2,55.3,52.8,54.2,147824763.52370548,7907795802.710725
2021-07-13 09:00:00,54.0,55.9,52.5,55.4,282908577.26857454,15435267927.460447
2021-07-14 09:00:00,55.4,55.5,50.2,53.5,147948400.55584255,7761161314.971641
2021-07-15 09:00:00,53.4,53.6,50.2,51.0,77646257.3769667,3994818300.4642396
2021-07-16 09:00:00,50.9,50.9,45.5,47.9,72410513.92726284,3504591987.969414
2021-07-17 09:00:00,48.0,57.7,46.6,48.0,655830283.9930121,33908123645.64989
2021-07-18 09:00:00,47.9,49.4,46.9,47.9,74284510.48667893,3550391351.590889
2021-07-19 09:00:00,47.9,48.0,43.1,45.2,72517250.19468413,3291318123.6083407
2021-07-20 09:00:00,45.2,45.2,38.7,42.2,79409878.83316068,3264206488.9109397
2021-07-21 09:00:00,42.2,45.8,39.6,45.8,118817530.87505393,5136941760.303713
2021-07-22 09:00:00,45.6,46.8,44.1,46.7,71629404.22663333,3239353315.5361495
2021-07-23 09:00:00,46.7,47.5,45.0,47.5,80722781.9161255,3734659125.143145
2021-07-24 09:00:00,47.5,49.1,45.8,48.6,79775862.17508069,3757594271.2033687
2021-07-25 09:00:00,48.6,50.9,47.6,50.9,204276567.3619065,10019076970.653044
2021-07-26 09:00:00,50.9,54.5,49.3,51.5,175665161.91769227,9041031700.765844
2021-07-27 09:00:00,51.5,53.9,49.6,53.0,192252027.12704673,10003075660.117548
2021-07-28 09:00:00,53.0,53.4,51.5,53.3,74106499.27735505,3876366143.891681
2021-07-29 09:00:00,53.3,73.0,52.0,58.5,2989442810.6729636,181864170655.94565
2021-07-30 09:00:00,58.4,61.8,54.1,59.2,557971620.23592,32558812813.779186
2021-07-31 09:00:00,59.3,60.6,57.6,60.6,140355088.2200355,8224976045.442355
2021-08-01 09:00:00,60.7,63.3,58.1,58.7,435177508.45070153,26392379935.910034
2021-08-02 09:00:00,59.1,59.2,55.5,58.1,132141213.4227232,7559110406.745057
2021-08-03 09:00:00,58.2,61.3,56.1,59.6,361729293.3563767,21290275966.65689
2021-08-04 09:00:00,59.6,59.7,57.1,59.1,78467931.49808732,4581211254.795758
2021-08-05 09:00:00,59.2,61.8,58.2,60.9,277771230.11135757,16729938540.14264
2021-08-06 09:00:00,60.9,66.7,60.4,64.1,398663882.6122128,25363769776.715607
2021-08-07 09:00:00,64.1,66.1,63.0,64.4,230113381.5049809,14860650085.45844
2021-08-08 09:00:00,64.5,71.0,63.0,63.4,458482569.9980097,30495085446.65571
2021-08-09 09:00:00,63.3,72.9,63.0,64.5,2055060571.8089314,141524957088.8232
2021-08-10 09:00:00,64.4,72.2,64.4,68.3,1134970564.6066935,78289273019.51167
2021-08-11 09:00:00,68.2,70.8,66.5,68.2,344175874.5597615,23562159122.174103
2021-08-12 09:00:00,68.2,87.6,68.2,74.2,2092554054.3866496,164879227756.8584
2021-08-13 09:00:00,74.2,86.8,73.5,81.6,1636025495.497063,131237346609.65518
2021-08-14 09:00:00,81.5,84.8,77.0,80.4,452091520.4909808,36156527632.17705
2021-08-15 09:00:00,80.4,80.6,76.5,78.4,171789626.00117058,13393258483.942047
2021-08-16 09:00:00,78.3,80.0,76.1,76.5,173649748.32565728,13452309595.699196
2021-08-17 09:00:00,76.5,77.0,71.9,72.7,175435923.113702,13093322500.33983
2021-08-18 09:00:00,72.6,73.2,68.1,71.8,89739395.97913422,6322325658.468653
2021-08-19 09:00:00,71.8,74.0,69.6,74.0,62812104.04269154,4475378699.301489
2021-08-20 09:00:00,74.0,75.5,72.2,75.3,83892961.28446668,6193020552.68895
2021-08-21 09:00:00,75.3,75.4,73.2,74.4,111114268.71999778,8249803423.373315
2021-08-22 09:00:00,74.4,74.6,71.5,73.4,106838327.15841857,7828361534.029022
2021-08-23 09:00:00,73.3,79.3,72.1,76.2,586876094.5241222,44844344481.0191
2021-08-24 09:00:00,75.5,85.2,74.1,74.9,614399511.9731498,48441487939.83319
2021-08-25 09:00:00,75.0,77.5,70.2,77.2,194175805.80923685,14462866345.30386
2021-08-26 09:00:00,77.2,77.2,70.9,72.9,100877434.57612547,7412059991.918101
2021-08-27 09:00:00,72.9,76.3,69.8,75.7,95595797.07515681,6903204304.488818
2021-08-28 09:00:00,75.6,76.3,73.2,75.5,80646887.58794884,5987683125.591941
2021-08-29 09:00:00,75.5,75.8,71.9,74.0,86199428.4906956,6312222611.076619
2021-08-30 09:00:00,73.8,74.0,71.6,72.0,71299106.87537783,5163569782.824846
2021-08-31 09:00:00,72.1,73.8,70.1,73.5,93658729.08417848,6711755582.121107
2021-09-01 09:00:00,73.4,75.3,70.8,75.3,145773766.8983693,10684796357.411808
2021-09-02 09:00:00,75.3,76.8,74.0,76.5,129996587.52959406,9782730570.235073
2021-09-03 09:00:00,76.4,80.5,74.4,79.9,205736434.22097138,15866706353.697147
2021-09-04 09:00:00,80.0,85.4,78.9,85.4,405201380.6821376,33243023586.134865
2021-09-05 09:00:00,85.4,102.0,76.3,81.7,1623205416.0842497,150848048918.4133
2021-09-06 09:00:00,81.8,84.7,78.5,82.7,207037624.44328222,16956025140.90437
2021-09-07 09:00:00,82.9,83.4,68.6,71.4,178472857.15515932,13720457621.77015
