,open,high,low,close,volume,value
2021-06-04 09:00:00,3025.0,3025.0,2750.0,2880.0,980455.75147038,2833834451.4062304
2021-06-05 09:00:00,2855.0,2910.0,2775.0,2825.0,638167.27615147,1819386720.9771707
2021-06-06 09:00:00,2815.0,4995.0,2765.0,3295.0,111496475.60730235,421242321704.1261
2021-06-07 09:00:00,3300.0,4950.0,3215.0,3430.0,93091838.7243469,371185233067.7942
2021-06-08 09:00:00,3430.0,3925.0,2720.0,3500.0,23153377.51203909,76134352699.02704
2021-06-09 09:00:00,3495.0,3500.0,2900.0,3210.0,12945140.82843107,40403372578.05856
2021-06-10 09:00:00,3205.0,3250.0,2960.0,3005.0,4538371.94700192,13734680794.159037
2021-06-11 09:00:00,3005.0,3055.0,2595.0,2630.0,3649253.51925062,10162606642.291538
2021-06-12 09:00:00,2635.0,2665.0,2170.0,2380.0,1953235.64435217,4575532777.700068
2021-06-13 09:00:00,2370.0,2790.0,2310.0,2575.0,15654709.59328432,40512891720.96667
2021-06-14 09:00:00,2570.0,2685.0,2420.0,2565.0,4049259.55996008,10241490750.292704
2021-06-15 09:00:00,2565.0,2565.0,2465.0,2545.0,1392598.09852192,3496749271.2970176
2021-06-16 09:00:00,2540.0,2690.0,2380.0,2530.0,3398167.30943436,8643773207.242046
2021-06-17 09:00:00,2535.0,2540.0,2385.0,2450.0,1092030.04589685,2677776160.5420947
2021-06-18 09:00:00,2445.0,2460.0,2255.0,2355.0,1602513.87920207,3716702010.9570446
2021-06-19 09:00:00,2380.0,2460.0,2195.0,2265.0,966514.04185657,2202226716.707561
2021-06-20 09:00:00,2265.0,2265.0,1905.0,2135.0,1334952.32125241,2811322528.7789097
2021-06-21 09:00:00,2140.0,2140.0,1385.0,1445.0,3627594.93538533,6334328415.223709
2021-06-22 09:00:00,1435.0,1700.0,1145.0,1300.0,12170557.96108775,17777105612.643555
2021-06-23 09:00:00,1300.0,1420.0,1235.0,1375.0,4636443.03657276,6256023911.650896
2021-06-24 09:00:00,1360.0,1670.0,1360.0,1525.0,22398691.13168768,34272112504.924847
2021-06-25 09:00:00,1525.0,1585.0,1360.0,1405.0,4305360.49851125,6435943185.457771
