,open,high,low,close,volume,value
2021-06-04 09:00:00,1210.0,1280.0,1130.0,1190.0,27361792.04083774,33094766580.65565
2021-06-05 09:00:00,1190.0,1240.0,1130.0,1165.0,7348173.58827179,8707821045.54495
2021-06-06 09:00:00,1165.0,1210.0,1130.0,1180.0,11954421.40687377,13976904712.635633
2021-06-07 09:00:00,1180.0,1195.0,1060.0,1075.0,8611114.28133774,9926495780.984844
2021-06-08 09:00:00,1075.0,1105.0,961.0,1055.0,8285175.05611679,8505619938.315346
2021-06-09 09:00:00,1050.0,1090.0,981.0,1075.0,6302718.44525477,6520389936.517421
2021-06-10 09:00:00,1085.0,1090.0,1040.0,1080.0,5388172.97758171,5761448935.784395
2021-06-11 09:00:00,1070.0,1175.0,1025.0,1040.0,16842900.5454259,18383250593.716164
2021-06-12 09:00:00,1040.0,1050.0,946.0,978.0,6033717.55859028,5963124706.969997
2021-06-13 09:00:00,973.0,1055.0,958.0,1025.0,7021542.96324308,6988746104.3094225
2021-06-14 09:00:00,1025.0,1040.0,993.0,1030.0,4917100.13033753,4989263526.48038
2021-06-15 09:00:00,1030.0,1040.0,1005.0,1025.0,4168861.06214175,4258305627.641244
2021-06-16 09:00:00,1030.0,1250.0,1030.0,1100.0,55639966.25555298,63215093941.32756
2021-06-17 09:00:00,1105.0,1150.0,1040.0,1065.0,7923479.66784681,8529536209.244945
2021-06-18 09:00:00,1060.0,1060.0,963.0,988.0,5618840.43179661,5654747484.063245
2021-06-19 09:00:00,984.0,994.0,952.0,970.0,2968043.90973358,2885315052.2234545
2021-06-20 09:00:00,971.0,986.0,879.0,937.0,5759709.37897303,5359105854.279152
2021-06-21 09:00:00,937.0,939.0,671.0,695.0,9769189.89199458,7841520969.370359
2021-06-22 09:00:00,695.0,763.0,592.0,704.0,11648620.82397664,7966850120.405474
2021-06-23 09:00:00,705.0,767.0,665.0,752.0,8171445.96597953,5959571418.371572
2021-06-24 09:00:00,756.0,849.0,704.0,833.0,9295427.6347812,7112470869.785119
2021-06-25 09:00:00,832.0,888.0,751.0,754.0,8427930.0976488,6825178354.881434
2021-06-26 09:00:00,754.0,802.0,705.0,754.0,4179468.761626,3095543786.31972
2021-06-27 09:00:00,754.0,809.0,732.0,795.0,5010549.45682599,3833595010.307823
2021-06-28 09:00:00,795.0,838.0,763.0,823.0,11580070.02513004,9327285870.436506
2021-06-29 09:00:00,824.0,877.0,806.0,875.0,11317695.84895449,9635735232.163713
2021-06-30 09:00:00,875.0,940.0,841.0,930.0,12520733.37147899,11073043163.082123
2021-07-01 09:00:00,930.0,937.0,851.0,914.0,5449888.07938259,4854156018.357964
2021-07-02 09:00:00,913.0,1130.0,903.0,942.0,38778082.02955345,37328570665.25299
2021-07-03 09:00:00,942.0,990.0,905.0,985.0,8205612.48369511,7743379332.059472
2021-07-04 09:00:00,986.0,1030.0,947.0,997.0,11626578.52680109,11518021617.129961
2021-07-05 09:00:00,997.0,1030.0,917.0,954.0,14189748.4871132,13720001611.70716
2021-07-06 09:00:00,954.0,1030.0,949.0,1025.0,20529677.67286365,20245609632.574078
2021-07-07 09:00:00,1030.0,1260.0,1030.0,1145.0,67811171.91245648,76458996997.81944
2021-07-08 09:00:00,1145.0,1515.0,1135.0,1440.0,185234178.03905764,251153685214.79987
2021-07-09 09:00:00,1455.0,1545.0,1180.0,1405.0,80484876.65811189,104713229658.19623
2021-07-10 09:00:00,1400.0,1580.0,1300.0,1465.0,98278246.7222623,141996196871.2963
2021-07-11 09:00:00,1465.0,1750.0,1435.0,1615.0,129911644.59065588,212918173717.74695
2021-07-12 09:00:00,1610.0,1620.0,1395.0,1395.0,30070557.30603913,44749939351.10371
2021-07-13 09:00:00,1395.0,1475.0,1320.0,1390.0,41867349.92816724,58804242347.289894
2021-07-14 09:00:00,1385.0,1565.0,1345.0,1455.0,78694173.3785003,113489413185.70114
2021-07-15 09:00:00,1455.0,1650.0,1390.0,1475.0,67197632.30412889,101792677678.30974
2021-07-16 09:00:00,1475.0,1575.0,1275.0,1300.0,36177979.16870859,51337341164.14961
2021-07-17 09:00:00,1295.0,1310.0,1165.0,1205.0,14645560.20367669,17863638077.893543
2021-07-18 09:00:00,1205.0,1325.0,1140.0,1220.0,22026901.02238944,27616594860.461334
2021-07-19 09:00:00,1220.0,1220.0,1025.0,1080.0,16483385.7416003,18023437881.953773
2021-07-20 09:00:00,1085.0,1085.0,913.0,963.0,15612784.82328487,15142399998.314497
2021-07-21 09:00:00,964.0,1170.0,934.0,1125.0,33439361.09116043,35055548579.897736
2021-07-22 09:00:00,1130.0,1310.0,1120.0,1220.0,53010683.21298646,65486962633.496056
2021-07-23 09:00:00,1225.0,1420.0,1190.0,1360.0,50674742.08371248,65959435464.73151
2021-07-24 09:00:00,1360.0,1515.0,1355.0,1425.0,55461855.06095047,79818946612.23653
2021-07-25 09:00:00,1420.0,1465.0,1305.0,1385.0,26539643.98867587,36492751283.398026
2021-07-26 09:00:00,1385.0,1405.0,1265.0,1330.0,19880294.49926166,26538230085.596832
2021-07-27 09:00:00,1330.0,1365.0,1210.0,1340.0,20930258.78119338,27157326974.7743
2021-07-28 09:00:00,1340.0,1355.0,1275.0,1305.0,11734279.15467503,15400746987.158371
2021-07-29 09:00:00,1300.0,1325.0,1270.0,1315.0,9951305.61839524,12854849646.760546
