,open,high,low,close,volume,value
2021-06-04 09:00:00,2690.0,2715.0,2315.0,2430.0,11647635.10457409,28845200285.619194
2021-06-05 09:00:00,2425.0,2545.0,2320.0,2375.0,6372312.29223666,15541546226.617647
2021-06-06 09:00:00,2385.0,2530.0,2340.0,2500.0,8023240.32933355,19522491660.804947
2021-06-07 09:00:00,2500.0,2580.0,2200.0,2240.0,7795708.48221367,18923395038.183178
2021-06-08 09:00:00,2240.0,2300.0,2000.0,2195.0,9783219.61469067,21117948815.641426
2021-06-09 09:00:00,2195.0,2340.0,2065.0,2335.0,6655822.77790073,14717754019.598269
2021-06-10 09:00:00,2335.0,2370.0,2140.0,2190.0,6622130.50205474,14904760724.132982
2021-06-11 09:00:00,2190.0,2210.0,2010.0,2045.0,6733110.20927024,14394824099.798737
2021-06-12 09:00:00,2045.0,2055.0,1855.0,1970.0,5815392.15056315,11362010130.696781
2021-06-13 09:00:00,1975.0,2235.0,1945.0,2190.0,4703388.288572,9766369307.784124
2021-06-14 09:00:00,2195.0,2400.0,2155.0,2375.0,4876992.8907898,11100805413.700516
2021-06-15 09:00:00,2380.0,2570.0,2315.0,2530.0,5065036.53520412,12402146656.905209
2021-06-16 09:00:00,2530.0,2825.0,2450.0,2740.0,11598002.45410595,31055890262.42468
2021-06-17 09:00:00,2745.0,2795.0,2545.0,2625.0,5194705.17474518,13898453283.325172
2021-06-18 09:00:00,2625.0,2625.0,2325.0,2450.0,6321947.79316892,15683659746.559622
2021-06-19 09:00:00,2450.0,2685.0,2375.0,2455.0,6269110.23929609,16019652221.985155
2021-06-20 09:00:00,2455.0,2645.0,2320.0,2585.0,8054456.12457119,19878529937.50431
2021-06-21 09:00:00,2585.0,2625.0,2125.0,2165.0,13527510.34694804,32723931435.532627
2021-06-22 09:00:00,2165.0,2290.0,1710.0,1960.0,15095321.67802719,30182210528.971504
2021-06-23 09:00:00,1960.0,2280.0,1870.0,2175.0,8517242.50539216,18167159833.152313
2021-06-24 09:00:00,2175.0,2260.0,2075.0,2215.0,5860192.1496291,12781106629.648157
2021-06-25 09:00:00,2215.0,2255.0,1985.0,2005.0,6210654.25506525,13170981261.909916
2021-06-26 09:00:00,2005.0,2085.0,1920.0,2040.0,3541087.88929239,7087772493.556728
2021-06-27 09:00:00,2030.0,2155.0,1990.0,2150.0,3620410.10395824,7488369760.504149
2021-06-28 09:00:00,2155.0,2230.0,2105.0,2205.0,5593238.53428809,12080628306.572582
2021-06-29 09:00:00,2205.0,2400.0,2185.0,2340.0,8796415.58263313,20223300877.373722
2021-06-30 09:00:00,2335.0,2435.0,2215.0,2360.0,8442176.53522504,19554051612.417633
2021-07-01 09:00:00,2360.0,2365.0,2170.0,2230.0,6842480.71561964,15365736781.704956
2021-07-02 09:00:00,2230.0,2265.0,2095.0,2210.0,5079656.54339835,11016060550.853289
2021-07-03 09:00:00,2215.0,2280.0,2160.0,2255.0,3090091.34773727,6901596985.475251
2021-07-04 09:00:00,2255.0,2400.0,2225.0,2350.0,3709936.4145205,8620057099.211103
2021-07-05 09:00:00,2350.0,2380.0,2220.0,2285.0,5487577.02887986,12586582710.503418
2021-07-06 09:00:00,2285.0,2470.0,2280.0,2440.0,7625204.8818473,18285904581.996998
2021-07-07 09:00:00,2445.0,2580.0,2390.0,2470.0,7447704.70207788,18581661588.464066
2021-07-08 09:00:00,2470.0,2480.0,2265.0,2305.0,6248360.08799962,14800403970.446262
2021-07-09 09:00:00,2305.0,2360.0,2165.0,2295.0,4875093.31012903,10990295724.467361
2021-07-10 09:00:00,2295.0,2335.0,2230.0,2255.0,2044354.47976986,4663554698.777554
2021-07-11 09:00:00,2255.0,2305.0,2205.0,2290.0,2216736.35928617,5026170905.832053
2021-07-12 09:00:00,2290.0,2315.0,2210.0,2255.0,4396630.11419671,9995158479.388403
2021-07-13 09:00:00,2255.0,2270.0,2135.0,2180.0,3438267.36137057,7546718912.434041
2021-07-14 09:00:00,2175.0,2185.0,2050.0,2150.0,3400488.21181834,7201790228.043088
2021-07-15 09:00:00,2150.0,2180.0,2015.0,2045.0,3568540.01176632,7469028426.612119
2021-07-16 09:00:00,2050.0,2085.0,1935.0,1965.0,3469384.90736982,6945199398.538555
2021-07-17 09:00:00,1960.0,2025.0,1920.0,1980.0,2901964.85156011,5716527541.050254
2021-07-18 09:00:00,1980.0,2060.0,1975.0,2030.0,2655702.90205951,5376983133.600369
2021-07-19 09:00:00,2030.0,2035.0,1850.0,1860.0,3574060.27055254,6874967738.119814
2021-07-20 09:00:00,1860.0,1875.0,1670.0,1695.0,6141035.39213847,10582956574.104952
2021-07-21 09:00:00,1700.0,1855.0,1620.0,1815.0,6788931.25739623,11916909179.09887
2021-07-22 09:00:00,1810.0,1850.0,1770.0,1830.0,6179095.27203655,11167187313.298616
2021-07-23 09:00:00,1825.0,1870.0,1765.0,1845.0,8288983.19893883,15121295918.03128
2021-07-24 09:00:00,1850.0,1960.0,1830.0,1915.0,7440107.17514751,14049370998.927073
2021-07-25 09:00:00,1915.0,1920.0,1820.0,1905.0,6038107.68782736,11315394427.32709
2021-07-26 09:00:00,1905.0,2130.0,1870.0,1935.0,16346616.6562303,33010270141.325222
2021-07-27 09:00:00,1940.0,2055.0,1880.0,2030.0,8715101.45247809,17204571364.79611
2021-07-28 09:00:00,2035.0,2145.0,2000.0,2105.0,7472063.2863111,15435724806.117743
2021-07-29 09:00:00,2105.0,2355.0,2050.0,2285.0,9903029.0200913,21644399748.755253
2021-07-30 09:00:00,2290.0,2375.0,2155.0,2360.0,7301486.31936174,16479583422.6898
2021-07-31 09:00:00,2360.0,2545.0,2315.0,2495.0,7199904.01254072,17330114172.2732
2021-08-01 09:00:00,2495.0,2645.0,2410.0,2445.0,10521991.1025425,26757851441.76959
2021-08-02 09:00:00,2605.0,3390.0,2445.0,2585.0,66823499.87318005,184293680680.84064
2021-08-03 09:00:00,2590.0,2610.0,2430.0,2545.0,5934158.63812774,14982603641.153685
2021-08-04 09:00:00,2550.0,2675.0,2495.0,2630.0,5928531.89359172,15413448290.977318
2021-08-05 09:00:00,2630.0,2745.0,2585.0,2705.0,6078146.67730788,16198845064.485264
2021-08-06 09:00:00,2705.0,3030.0,2660.0,2965.0,8609787.86343106,24740758004.998478
2021-08-07 09:00:00,2970.0,3090.0,2905.0,2995.0,6156458.21853984,18365404628.766018
2021-08-08 09:00:00,2995.0,3035.0,2800.0,2870.0,3790213.25184547,11117364428.94735
2021-08-09 09:00:00,2870.0,3520.0,2810.0,3395.0,28016836.07811219,91226079280.07635
2021-08-10 09:00:00,3395.0,3615.0,3330.0,3510.0,9373396.65605686,32332117787.364925
2021-08-11 09:00:00,3510.0,3880.0,3510.0,3725.0,7584764.66984775,28242221398.714664
2021-08-12 09:00:00,3725.0,3880.0,3510.0,3865.0,5250838.89398631,19527461042.554016
2021-08-13 09:00:00,3865.0,4145.0,3790.0,4120.0,6044103.11917374,24309977085.91014
2021-08-14 09:00:00,4120.0,4155.0,3935.0,4045.0,3653950.71669754,14812241440.111933
2021-08-15 09:00:00,4045.0,4065.0,3875.0,4030.0,3768014.82532632,14887383212.195293
2021-08-16 09:00:00,4030.0,4140.0,3760.0,3825.0,4075025.24600834,16314584780.598597
2021-08-17 09:00:00,3820.0,3915.0,3525.0,3560.0,4009310.62633762,15103470834.625662
2021-08-18 09:00:00,3565.0,3830.0,3290.0,3715.0,5786778.26109104,21035570499.36257
