,open,high,low,close,volume,value
2022-03-02 09:00:00,211.0,317.0,211.0,232.0,2203108276.2054167,581309075161.0684
2022-03-03 09:00:00,232.0,233.0,200.0,208.0,576565818.2417954,122655940844.91478
2022-03-04 09:00:00,208.0,208.0,188.0,192.0,566199560.1209675,110989489543.15228
2022-03-05 09:00:00,192.0,204.0,189.0,195.0,294768635.6583901,57894460329.60545
2022-03-06 09:00:00,195.0,195.0,180.0,181.0,158225061.11231133,29410578488.06623
2022-03-07 09:00:00,180.0,182.0,167.0,172.0,214113931.2372289,36755601656.73964
2022-03-08 09:00:00,171.0,177.0,168.0,171.0,179351327.3788436,30683999525.67544
2022-03-09 09:00:00,171.0,176.0,166.0,171.0,151866134.99690875,25838643088.158955
2022-03-10 09:00:00,172.0,172.0,159.0,161.0,144994680.73781532,23662661997.887802
2022-03-11 09:00:00,161.0,162.0,153.0,155.0,96386412.96554823,15034471596.161915
2022-03-12 09:00:00,155.0,156.0,153.0,154.0,37983853.69767896,5865125562.996004
2022-03-13 09:00:00,153.0,154.0,146.0,147.0,64166567.54562825,9600274270.524826
2022-03-14 09:00:00,146.0,169.0,143.0,153.0,469501004.4688816,73877841137.17572
2022-03-15 09:00:00,154.0,154.0,146.0,148.0,82418195.15630664,12320430940.502632
2022-03-16 09:00:00,149.0,151.0,144.0,150.0,57538904.5918723,8485049885.688197
2022-03-17 09:00:00,151.0,167.0,147.0,154.0,416673437.7762673,65783945225.394775
2022-03-18 09:00:00,154.0,162.0,150.0,158.0,232553892.9873905,36468948034.20224
2022-03-19 09:00:00,157.0,159.0,154.0,157.0,92547905.90927054,14486556668.272474
2022-03-20 09:00:00,157.0,160.0,152.0,154.0,91376063.60975812,14299516455.938175
2022-03-21 09:00:00,154.0,157.0,150.0,152.0,125024740.5247596,19084041707.21334
2022-03-22 09:00:00,151.0,154.0,150.0,152.0,61720508.54779143,9392850363.550756
2022-03-23 09:00:00,152.0,153.0,150.0,152.0,57597048.13005046,8713497220.575678
2022-03-24 09:00:00,152.0,156.0,150.0,153.0,132503103.41684543,20275663740.264664
2022-03-25 09:00:00,154.0,154.0,151.0,153.0,51286749.65233443,7828383774.981075
2022-03-26 09:00:00,152.0,155.0,151.0,155.0,49059315.67825155,7485801855.291802
2022-03-27 09:00:00,155.0,161.0,153.0,158.0,170035980.83136743,26657324673.676823
2022-03-28 09:00:00,159.0,161.0,156.0,159.0,103761603.88034146,16463989948.450865
2022-03-29 09:00:00,159.0,169.0,155.0,159.0,178084861.72408772,28715366083.7448
2022-03-30 09:00:00,159.0,168.0,158.0,162.0,90554728.0266037,14759763398.635876
