,open,high,low,close,volume,value
2021-06-04 09:00:00,484.0,527.0,413.0,486.0,327435694.32462364,157790220229.5488
2021-06-05 09:00:00,485.0,554.0,480.0,517.0,437283922.2938826,229546040874.88013
2021-06-06 09:00:00,517.0,540.0,481.0,512.0,151462440.29423288,77503421636.79155
2021-06-07 09:00:00,513.0,652.0,497.0,530.0,512755610.4704099,298965673418.71124
2021-06-08 09:00:00,531.0,711.0,516.0,655.0,2084520841.6390367,1319622850607.9097
2021-06-09 09:00:00,655.0,777.0,630.0,669.0,1388204854.7616332,997452526703.802
2021-06-10 09:00:00,669.0,727.0,608.0,622.0,379045541.82728696,254370147876.98877
2021-06-11 09:00:00,621.0,623.0,530.0,538.0,173114178.3708675,98041565179.89874
2021-06-12 09:00:00,539.0,601.0,462.0,492.0,194915814.9667029,102860177665.93234
2021-06-13 09:00:00,492.0,661.0,476.0,651.0,697212506.035167,411606288206.6724
2021-06-14 09:00:00,651.0,695.0,597.0,654.0,509588810.8198034,326401947440.42993
2021-06-15 09:00:00,655.0,665.0,599.0,605.0,133053448.05159752,82549107473.2975
2021-06-16 09:00:00,605.0,622.0,562.0,597.0,139585560.1085455,82196963858.80472
2021-06-17 09:00:00,597.0,652.0,584.0,644.0,214797781.377181,134242773566.16504
2021-06-18 09:00:00,645.0,755.0,639.0,680.0,667876735.5263315,468218974753.4625
2021-06-19 09:00:00,679.0,728.0,668.0,706.0,269640062.0759647,191242828536.2782
2021-06-20 09:00:00,705.0,720.0,640.0,692.0,225811592.90693724,152822792429.17462
2021-06-21 09:00:00,691.0,722.0,522.0,542.0,508082735.62051404,326000013711.8407
2021-06-22 09:00:00,543.0,599.0,409.0,528.0,941346476.5765148,471381444183.31165
2021-06-23 09:00:00,527.0,563.0,488.0,555.0,509869940.8157151,273531857613.9536
2021-06-24 09:00:00,555.0,569.0,516.0,564.0,293390895.6584707,158668783910.82672
2021-06-25 09:00:00,564.0,564.0,490.0,501.0,224391068.1762381,118067993187.50717
2021-06-26 09:00:00,501.0,504.0,453.0,495.0,153390007.44991887,73136222709.77911
2021-06-27 09:00:00,494.0,500.0,463.0,496.0,111021193.64803407,53299700492.658295
2021-06-28 09:00:00,496.0,512.0,470.0,499.0,207311459.40165982,101591741990.95856
2021-06-29 09:00:00,499.0,523.0,487.0,507.0,241712142.9668796,121006931282.10286
2021-06-30 09:00:00,506.0,510.0,457.0,487.0,159170860.42148447,76400178657.26157
2021-07-01 09:00:00,487.0,489.0,434.0,448.0,126669939.70774078,57405288378.44158
2021-07-02 09:00:00,447.0,452.0,408.0,432.0,106628443.16000383,45201784769.05561
2021-07-03 09:00:00,430.0,448.0,414.0,438.0,90370225.60664444,38862841094.678955
2021-07-04 09:00:00,438.0,445.0,424.0,436.0,76140964.68467845,33100118357.024193
2021-07-05 09:00:00,437.0,437.0,405.0,415.0,90056365.51682164,37835466033.27027
2021-07-06 09:00:00,414.0,420.0,400.0,412.0,84987903.01252683,35004675406.62006
2021-07-07 09:00:00,412.0,428.0,402.0,416.0,100879849.72447485,41796281674.00485
2021-07-08 09:00:00,416.0,477.0,397.0,455.0,591663755.4841999,262896551778.2458
