,open,high,low,close,volume,value
2021-06-04 09:00:00,9100.0,9355.0,8210.0,8570.0,1750651.14959046,15249912954.322414
2021-06-05 09:00:00,8570.0,8635.0,8250.0,8375.0,497099.67035929,4207284440.5839114
2021-06-06 09:00:00,8360.0,10890.0,8255.0,8930.0,22000064.70247237,208385588899.91336
2021-06-07 09:00:00,8940.0,10430.0,8500.0,8865.0,21075849.49556177,201897340218.32968
2021-06-08 09:00:00,8865.0,8990.0,7280.0,8090.0,3770349.7346572,30557208713.024334
2021-06-09 09:00:00,8095.0,8165.0,7360.0,8125.0,2879778.69256211,22245939676.956036
2021-06-10 09:00:00,8125.0,8650.0,7770.0,8145.0,3681913.03911791,29829044061.83038
2021-06-11 09:00:00,8145.0,8485.0,7195.0,7275.0,3156494.17453119,24971735973.82913
2021-06-12 09:00:00,7320.0,8100.0,6010.0,6625.0,2555252.9621606,17845158068.023434
2021-06-13 09:00:00,6620.0,6780.0,6265.0,6760.0,856638.30435365,5559453808.550536
2021-06-14 09:00:00,6760.0,7085.0,6420.0,6990.0,1654148.71536704,11195896849.624634
2021-06-15 09:00:00,6995.0,7090.0,6755.0,6970.0,1338882.85360175,9276992226.012838
2021-06-16 09:00:00,6955.0,7065.0,6390.0,6650.0,1226123.65132708,8224856370.78884
2021-06-17 09:00:00,6630.0,6680.0,6300.0,6390.0,773814.57841849,4984736483.591095
2021-06-18 09:00:00,6390.0,6510.0,5800.0,5960.0,1013843.3846882,6053915711.30255
2021-06-19 09:00:00,5925.0,5985.0,5460.0,5680.0,618414.32711016,3532565612.548214
2021-06-20 09:00:00,5680.0,5790.0,4750.0,5285.0,1326868.07698126,6919192567.9502535
2021-06-21 09:00:00,5300.0,5300.0,3640.0,3790.0,1548893.18801629,6932833899.086937
2021-06-22 09:00:00,3790.0,4005.0,3030.0,3355.0,1549393.68522924,5382098292.584118
2021-06-23 09:00:00,3340.0,3990.0,3335.0,3715.0,5780295.64228172,21035703149.094078
2021-06-24 09:00:00,3730.0,4580.0,3600.0,4165.0,8907768.32620288,36766703360.34114
2021-06-25 09:00:00,4155.0,5460.0,4070.0,4370.0,17417315.96655552,83158612836.57513
2021-06-26 09:00:00,4365.0,4480.0,3860.0,4290.0,1704690.71851763,7225430887.8544445
2021-06-27 09:00:00,4290.0,4430.0,4060.0,4380.0,916375.94558743,3882248918.776793
2021-06-28 09:00:00,4375.0,4940.0,4210.0,4895.0,2998403.46681833,13813514762.345634
2021-06-29 09:00:00,4890.0,5960.0,4520.0,5275.0,7518657.11673062,39699117337.15721
2021-06-30 09:00:00,5295.0,6740.0,5050.0,6410.0,13437788.61130912,77921625493.64145
2021-07-01 09:00:00,6410.0,6690.0,5640.0,6195.0,3118364.16467265,18859518226.729126
2021-07-02 09:00:00,6210.0,6245.0,5725.0,6160.0,1509379.26057286,8941426119.031576
2021-07-03 09:00:00,6150.0,6925.0,6045.0,6825.0,5293400.03166431,33847158124.744576
2021-07-04 09:00:00,6830.0,7020.0,6455.0,6965.0,2885802.60312385,19332449612.75505
2021-07-05 09:00:00,6965.0,7085.0,6280.0,6910.0,3557252.52025852,23958638845.07132
