,open,high,low,close,volume,value
2021-06-04 09:00:00,125.0,126.0,110.0,115.0,104824556.9141243,12202015381.12448
2021-06-05 09:00:00,116.0,123.0,112.0,117.0,148573485.00885493,17422531948.104652
2021-06-06 09:00:00,117.0,128.0,114.0,122.0,234985636.49721998,28381180358.725037
2021-06-07 09:00:00,122.0,131.0,110.0,113.0,215160603.39732638,26365957101.681923
2021-06-08 09:00:00,113.0,117.0,99.3,109.0,170375405.73082516,18440934505.99203
2021-06-09 09:00:00,109.0,112.0,101.0,110.0,80244675.39893363,8515653801.536678
2021-06-10 09:00:00,110.0,117.0,107.0,113.0,129637655.0803097,14497284656.96301
2021-06-11 09:00:00,113.0,123.0,100.0,103.0,230319186.8789021,25707584956.851128
2021-06-12 09:00:00,103.0,106.0,78.5,84.5,134012866.49635367,11865819402.881958
2021-06-13 09:00:00,84.2,88.8,74.0,84.9,87420718.43788417,7118198897.407273
2021-06-14 09:00:00,85.0,110.0,82.0,96.3,965215570.1947191,93974148264.70972
2021-06-15 09:00:00,96.3,98.2,91.6,95.1,111121158.3393806,10384062990.37853
2021-06-16 09:00:00,95.1,129.0,92.6,105.0,1075958466.3032825,118553463095.28293
2021-06-17 09:00:00,105.0,106.0,94.4,97.1,153006098.48971418,15002152544.436512
2021-06-18 09:00:00,97.0,97.1,86.0,87.4,83256387.3408274,7499062687.497214
2021-06-19 09:00:00,87.3,87.4,80.3,85.1,32552449.74816898,2729795241.619677
2021-06-20 09:00:00,85.0,98.3,79.1,90.0,531252390.1265903,48371543201.98936
2021-06-21 09:00:00,90.0,92.6,62.0,64.1,111174694.22708774,8560475740.004441
2021-06-22 09:00:00,64.1,92.0,64.1,73.8,1588393125.2375863,117200761033.62263
2021-06-23 09:00:00,73.7,77.9,64.1,77.5,524602542.1687381,38304883029.22854
2021-06-24 09:00:00,77.5,80.9,72.3,79.8,190866865.99887782,14601493283.857355
2021-06-25 09:00:00,80.0,84.5,72.3,73.4,148162791.38902202,11544413543.06668
2021-06-26 09:00:00,73.4,75.6,66.9,73.2,70072872.25782935,5052014897.690405
2021-06-27 09:00:00,73.1,77.7,70.2,74.5,67579865.89563318,4946264460.844945
2021-06-28 09:00:00,74.5,85.0,72.2,84.4,305915014.69144475,24038410916.377792
2021-06-29 09:00:00,84.0,189.0,79.9,118.0,2851416330.397651,369625565182.58795
2021-06-30 09:00:00,118.0,125.0,99.1,110.0,473423318.1866663,50134174246.60486
2021-07-01 09:00:00,110.0,124.0,102.0,118.0,424956264.068648,47920128761.875824
2021-07-02 09:00:00,119.0,150.0,108.0,121.0,794462780.2095281,98942072916.55298
2021-07-03 09:00:00,121.0,127.0,112.0,121.0,292366152.9529647,35199974950.307304
2021-07-04 09:00:00,122.0,134.0,121.0,128.0,536021145.275376,68477186454.809395
2021-07-05 09:00:00,128.0,380.0,127.0,175.0,4985628208.700253,1017572204153.5762
2021-07-06 09:00:00,173.0,188.0,152.0,183.0,729255953.6253374,121418190322.9807
2021-07-07 09:00:00,182.0,193.0,167.0,182.0,751365637.853549,133917784361.92377
2021-07-08 09:00:00,182.0,185.0,152.0,160.0,424775037.0266503,71128210322.95378
2021-07-09 09:00:00,160.0,185.0,157.0,169.0,606520818.133565,102649698836.87535
2021-07-10 09:00:00,170.0,173.0,164.0,173.0,181794473.34393126,30639595303.226204
2021-07-11 09:00:00,173.0,178.0,160.0,174.0,190329701.3146802,32216382950.65865
2021-07-12 09:00:00,174.0,174.0,166.0,171.0,155670597.47359854,26269739897.9571
2021-07-13 09:00:00,171.0,200.0,165.0,196.0,483974368.0061187,86488631321.65027
2021-07-14 09:00:00,196.0,197.0,161.0,179.0,342732642.97398984,59926524031.42907
2021-07-15 09:00:00,180.0,180.0,166.0,171.0,177101230.09221837,30305482913.95149
2021-07-16 09:00:00,170.0,170.0,140.0,153.0,163661458.44218925,25594023800.883064
2021-07-17 09:00:00,152.0,161.0,146.0,158.0,117062493.87244032,18077995833.83006
2021-07-18 09:00:00,158.0,160.0,150.0,157.0,76873386.2856303,11975830582.696148
2021-07-19 09:00:00,157.0,162.0,143.0,151.0,136629967.0819987,20898856856.858814
2021-07-20 09:00:00,151.0,159.0,127.0,138.0,191269839.87255162,26508047142.46336
2021-07-21 09:00:00,138.0,159.0,131.0,154.0,363990840.4189601,53853280960.76326
2021-07-22 09:00:00,155.0,168.0,150.0,164.0,272503108.15128,43700390103.321014
2021-07-23 09:00:00,164.0,166.0,156.0,166.0,147174380.88591185,23721894774.081238
2021-07-24 09:00:00,165.0,183.0,162.0,173.0,383989822.54517895,66439870953.862656
2021-07-25 09:00:00,172.0,182.0,164.0,174.0,302966671.2033281,52416335599.17044
2021-07-26 09:00:00,174.0,195.0,168.0,188.0,303287128.57642263,53931812092.72811
2021-07-27 09:00:00,187.0,226.0,175.0,188.0,599215220.4279572,115120983091.34872
2021-07-28 09:00:00,188.0,192.0,177.0,182.0,209162360.01967114,38176491701.45654
2021-07-29 09:00:00,181.0,202.0,178.0,193.0,344491757.81552553,64934742944.4815
2021-07-30 09:00:00,193.0,212.0,177.0,201.0,458371383.7861054,89760443115.54056
2021-07-31 09:00:00,201.0,203.0,190.0,200.0,172178218.56122717,33714817851.497894
