,open,high,low,close,volume,value
2021-06-04 09:00:00,17760.0,17850.0,15520.0,16160.0,1956474.07715785,32203698165.55905
2021-06-05 09:00:00,16160.0,18070.0,15970.0,16670.0,3257081.29071336,55738481169.40342
2021-06-06 09:00:00,16690.0,19700.0,16300.0,18950.0,7523532.49700709,138195661387.52988
2021-06-07 09:00:00,18950.0,19740.0,16220.0,16520.0,1869971.13653185,33938602112.445866
2021-06-08 09:00:00,16520.0,16860.0,15020.0,16690.0,948303.28794431,15195844711.781578
2021-06-09 09:00:00,16690.0,17000.0,15440.0,16910.0,967502.30595435,15812568435.983631
2021-06-10 09:00:00,16880.0,17020.0,16080.0,16430.0,508008.7212802,8373217792.259934
2021-06-11 09:00:00,16430.0,18410.0,15950.0,16520.0,1796598.55178927,30781026913.758884
2021-06-12 09:00:00,16520.0,18060.0,15360.0,17060.0,4164678.31609746,71735038729.16309
2021-06-13 09:00:00,17060.0,17720.0,16390.0,17470.0,988914.96722119,16837974253.609589
2021-06-14 09:00:00,17440.0,18750.0,17030.0,17970.0,1052590.64820382,18876613510.302883
2021-06-15 09:00:00,17980.0,19500.0,17670.0,19170.0,935896.52274981,17421821963.93754
2021-06-16 09:00:00,19170.0,20450.0,18570.0,20040.0,2047109.72065307,40206216807.62448
2021-06-17 09:00:00,20030.0,22350.0,19750.0,21600.0,2716568.80745521,58204526720.47096
2021-06-18 09:00:00,21600.0,21620.0,18940.0,19550.0,1387972.77969565,28175480284.184296
2021-06-19 09:00:00,19550.0,19650.0,18230.0,18830.0,543033.06202874,10323686662.351322
2021-06-20 09:00:00,18830.0,21790.0,18500.0,21120.0,2707355.09061378,55277835713.33055
2021-06-21 09:00:00,21100.0,21210.0,16090.0,16610.0,1620704.77454729,30978861201.958813
2021-06-22 09:00:00,16600.0,17170.0,13330.0,14570.0,1257680.37307379,19560461264.578804
2021-06-23 09:00:00,14580.0,15880.0,13830.0,15240.0,1185132.96167177,17829464817.18018
2021-06-24 09:00:00,15240.0,15730.0,14570.0,15710.0,1391229.68550264,21165288630.42662
2021-06-25 09:00:00,15710.0,16800.0,14660.0,15260.0,2173068.3558637,34190561903.36041
2021-06-26 09:00:00,15230.0,16200.0,15070.0,15850.0,823399.64076534,12865810591.051924
2021-06-27 09:00:00,15860.0,16050.0,15320.0,15990.0,389208.40839176,6097968109.693557
2021-06-28 09:00:00,15980.0,16580.0,15600.0,16400.0,688207.24992397,11029458692.210943
2021-06-29 09:00:00,16400.0,18320.0,16270.0,17820.0,1005879.41806409,17114475979.03983
2021-06-30 09:00:00,17800.0,21000.0,17450.0,18940.0,2407095.54538428,46683838979.99891
2021-07-01 09:00:00,18920.0,18960.0,17400.0,18610.0,575551.08758337,10448536175.412815
2021-07-02 09:00:00,18610.0,19190.0,17730.0,18810.0,583831.40858069,10884691448.08105
2021-07-03 09:00:00,18780.0,19200.0,18420.0,18780.0,282283.86444573,5316655868.5781355
2021-07-04 09:00:00,18800.0,20790.0,18310.0,19600.0,757996.27171168,14984170551.44173
2021-07-05 09:00:00,19600.0,20120.0,18430.0,18790.0,533668.06059851,10359701573.314022
2021-07-06 09:00:00,18730.0,19450.0,18620.0,18890.0,414797.58674184,7894113369.681723
2021-07-07 09:00:00,18890.0,20300.0,18740.0,19410.0,587215.69626501,11321070995.135399
2021-07-08 09:00:00,19410.0,19500.0,17460.0,17650.0,408246.59278846,7547684657.818041
2021-07-09 09:00:00,17650.0,17880.0,16710.0,17660.0,336684.23749697,5828705168.369658
2021-07-10 09:00:00,17660.0,17970.0,16600.0,16830.0,605669.10210204,10288224962.921259
2021-07-11 09:00:00,16810.0,17050.0,16330.0,16850.0,617405.18095241,10301470258.381678
2021-07-12 09:00:00,16850.0,16960.0,16230.0,16480.0,545378.15615002,9098772634.85285
2021-07-13 09:00:00,16540.0,16550.0,15900.0,16030.0,339664.76976671,5505126559.094652
2021-07-14 09:00:00,16090.0,16470.0,15250.0,16000.0,585363.41990967,9244081421.953976
2021-07-15 09:00:00,16000.0,17160.0,15210.0,15460.0,1272175.56438353,20615406177.139988
2021-07-16 09:00:00,15460.0,16930.0,15010.0,15950.0,3431348.57654645,55242665835.09098
2021-07-17 09:00:00,15960.0,15960.0,14950.0,15610.0,645279.55173971,9955405099.210026
2021-07-18 09:00:00,15610.0,16150.0,15170.0,15640.0,878975.07633537,13796886273.528378
2021-07-19 09:00:00,15630.0,16270.0,15120.0,15330.0,649904.6853562,10162706225.211256
2021-07-20 09:00:00,15280.0,15480.0,13820.0,14090.0,491049.09204267,7056165280.307314
2021-07-21 09:00:00,14130.0,15150.0,13820.0,15070.0,525817.16595271,7652336514.770795
2021-07-22 09:00:00,15080.0,17580.0,14860.0,16540.0,3764725.9578311,63135027178.68555
2021-07-23 09:00:00,16550.0,17060.0,16230.0,16700.0,1654950.92725599,27568287263.338524
2021-07-24 09:00:00,16700.0,20860.0,16440.0,17540.0,6883549.47972558,126757358668.0419
2021-07-25 09:00:00,17550.0,19200.0,16920.0,17900.0,4281234.47422677,77219666959.06195
2021-07-26 09:00:00,17910.0,18940.0,17270.0,17290.0,2135979.56297336,38901100649.7277
2021-07-27 09:00:00,17300.0,17550.0,16500.0,17400.0,997745.46129965,17091936112.62202
2021-07-28 09:00:00,17400.0,19800.0,17010.0,18110.0,4028495.51922374,75301111073.59927
2021-07-29 09:00:00,18080.0,18450.0,17580.0,18080.0,732966.52549268,13152315766.893559
2021-07-30 09:00:00,18090.0,20500.0,17770.0,18760.0,2454817.23085915,46762865322.90779
2021-07-31 09:00:00,18750.0,19380.0,18400.0,19240.0,707686.89146044,13346516227.768585
2021-08-01 09:00:00,19250.0,19680.0,18100.0,18350.0,971824.85519828,18653159052.965736
2021-08-02 09:00:00,18350.0,18770.0,17900.0,18670.0,614643.17001275,11315468106.245901
2021-08-03 09:00:00,18680.0,19360.0,18070.0,18960.0,1354760.8638601,25340492925.30621
2021-08-04 09:00:00,18970.0,18970.0,18120.0,18740.0,404455.48881837,7497793447.351469
2021-08-05 09:00:00,18740.0,19180.0,18220.0,18880.0,467672.14690068,8692715672.391407
2021-08-06 09:00:00,18880.0,19380.0,18520.0,19170.0,368002.59708171,6954786654.627813
2021-08-07 09:00:00,19170.0,19970.0,18900.0,19840.0,702303.18239499,13749327513.490181
2021-08-08 09:00:00,19840.0,20250.0,18800.0,18870.0,609116.57621714,11880786736.246729
2021-08-09 09:00:00,18870.0,21040.0,18360.0,19780.0,1979247.35408023,39719491191.31262
2021-08-10 09:00:00,19780.0,20570.0,19500.0,20210.0,1354583.11157488,27221492605.756557
2021-08-11 09:00:00,20210.0,23310.0,20030.0,21460.0,2395583.17530774,52219301463.579605
2021-08-12 09:00:00,21450.0,23450.0,20580.0,23280.0,1192490.37799702,26141544435.69666
2021-08-13 09:00:00,23240.0,24990.0,22460.0,23900.0,1583999.7648404,37801248340.37785
2021-08-14 09:00:00,23900.0,33500.0,23450.0,30780.0,18809117.01196421,567787384140.4829
2021-08-15 09:00:00,31040.0,32070.0,28110.0,28950.0,4208872.22301696,124715403696.63567
2021-08-16 09:00:00,28980.0,29070.0,27300.0,27570.0,1202095.67651806,33892418264.840725
2021-08-17 09:00:00,27590.0,30000.0,26020.0,26180.0,3588845.49804668,102240005286.67189
2021-08-18 09:00:00,26220.0,29280.0,24860.0,27530.0,3632188.77511405,101508145029.21355
2021-08-19 09:00:00,27530.0,28080.0,26440.0,28050.0,663013.62011859,18030183179.713776
2021-08-20 09:00:00,28040.0,29810.0,27580.0,28560.0,1017509.56226327,29132275877.329407
2021-08-21 09:00:00,28580.0,33000.0,27870.0,29370.0,3086587.02793152,93153722595.66866
2021-08-22 09:00:00,29380.0,32860.0,29150.0,30430.0,5417695.5626282,167845623280.4628
2021-08-23 09:00:00,30430.0,30750.0,29430.0,30300.0,1233096.82782958,37071292807.00446
2021-08-24 09:00:00,30260.0,30340.0,27600.0,27990.0,643658.0379532,18762773356.223385
2021-08-25 09:00:00,27990.0,28860.0,26500.0,28310.0,501374.24779593,13932741202.362305
2021-08-26 09:00:00,28310.0,30300.0,26830.0,27100.0,1757029.17990656,50203301547.684616
2021-08-27 09:00:00,27110.0,29260.0,26270.0,28820.0,505405.37977606,13902720882.021059
2021-08-28 09:00:00,28800.0,31620.0,28520.0,29790.0,2634385.90563556,79232278258.38185
2021-08-29 09:00:00,29820.0,29970.0,28560.0,29080.0,457973.33440358,13410749549.00076
2021-08-30 09:00:00,29090.0,34660.0,29000.0,31540.0,4629016.95275663,148462564976.41626
2021-08-31 09:00:00,31580.0,34540.0,30180.0,33050.0,1481995.47658915,48031343680.31081
2021-09-01 09:00:00,33030.0,36950.0,31790.0,33610.0,1543171.31752334,53394271083.224884
2021-09-02 09:00:00,33610.0,35760.0,32600.0,34500.0,944376.28460833,32492880926.637054
2021-09-03 09:00:00,34500.0,38200.0,34500.0,35640.0,1669163.57539385,59974340362.01075
2021-09-04 09:00:00,35510.0,36050.0,34420.0,35400.0,893581.08266114,31546484019.874176
2021-09-05 09:00:00,35410.0,35440.0,33100.0,33720.0,941044.23234327,32132203889.359947
2021-09-06 09:00:00,33830.0,34550.0,32640.0,33750.0,537891.28399289,18133998225.03523
2021-09-07 09:00:00,33760.0,35490.0,27120.0,32880.0,2686171.36416223,88512559321.12561
2021-09-08 09:00:00,32950.0,34900.0,28750.0,33190.0,1195881.0785898,39091505122.060486
2021-09-09 09:00:00,33240.0,41430.0,32400.0,37630.0,4148142.40416022,157846147751.36188
2021-09-10 09:00:00,37630.0,39640.0,34330.0,35780.0,963394.99641992,35597956749.712425
2021-09-11 09:00:00,35780.0,41690.0,35500.0,36990.0,3289556.24678763,128724108782.34564
2021-09-12 09:00:00,37030.0,39520.0,35680.0,38440.0,1211238.29523854,45814144651.64024
2021-09-13 09:00:00,38490.0,42050.0,34470.0,36280.0,2192136.72533638,85115063648.61067
2021-09-14 09:00:00,36290.0,36480.0,34640.0,35800.0,501667.4156827,17785236899.964615
2021-09-15 09:00:00,35810.0,36540.0,34500.0,36200.0,464550.9054464,16454150360.258968
2021-09-16 09:00:00,36210.0,40110.0,35060.0,37120.0,2165320.95750287,82935329187.88556
2021-09-17 09:00:00,37130.0,37410.0,34850.0,35180.0,362167.29419812,12991163380.563782
2021-09-18 09:00:00,35170.0,36000.0,34660.0,35310.0,324438.98876312,11495010680.72257
2021-09-19 09:00:00,35300.0,35540.0,33350.0,33710.0,373316.23986258,12862617488.536287
2021-09-20 09:00:00,33720.0,33770.0,28480.0,28790.0,530969.5160249,16274147846.890366
2021-09-21 09:00:00,28790.0,31660.0,26690.0,27860.0,1479181.74732084,44115549720.09299
2021-09-22 09:00:00,27860.0,31010.0,26460.0,30520.0,809342.02305997,23883827509.31493
2021-09-23 09:00:00,30520.0,31050.0,28780.0,30470.0,427536.41122127,12897339089.763117
2021-09-24 09:00:00,30470.0,33430.0,29000.0,31180.0,3436687.82240079,108895749656.44946
2021-09-25 09:00:00,31180.0,31400.0,29070.0,29830.0,534977.22625539,16100675544.168379
2021-09-26 09:00:00,29830.0,29840.0,27430.0,28850.0,343084.17778693,9886826534.453583
2021-09-27 09:00:00,28950.0,29830.0,27910.0,27960.0,288066.45123358,8394356174.764653
2021-09-28 09:00:00,27990.0,31520.0,27600.0,28110.0,1547739.38893988,45773917692.379555
2021-09-29 09:00:00,28190.0,29420.0,27510.0,28380.0,390287.52142063,11158679643.886791
2021-09-30 09:00:00,28360.0,29670.0,28240.0,29650.0,419492.77735628,12187396507.042025
2021-10-01 09:00:00,29650.0,31830.0,29210.0,31650.0,498276.41419356,15270383274.627388
2021-10-02 09:00:00,31650.0,33300.0,31190.0,32190.0,637630.493431,20593172948.809593
2021-10-03 09:00:00,32190.0,34980.0,31250.0,32870.0,882884.09194369,29547326623.187855
2021-10-04 09:00:00,32870.0,33180.0,31010.0,31800.0,399428.45838041,12744539902.001314
2021-10-05 09:00:00,31800.0,34690.0,31280.0,33100.0,1631014.1368993,54533368734.55374
2021-10-06 09:00:00,33200.0,35310.0,31310.0,33030.0,659397.64485866,21897340874.351852
2021-10-07 09:00:00,33030.0,34480.0,32470.0,33470.0,526979.72882894,17666830115.54964
2021-10-08 09:00:00,33470.0,35310.0,32660.0,33280.0,587128.20397748,19892108794.343773
2021-10-09 09:00:00,33280.0,35500.0,33170.0,35440.0,558470.84702856,18981873138.10771
2021-10-10 09:00:00,35440.0,35500.0,32570.0,32680.0,392026.33523748,13254838794.992847
2021-10-11 09:00:00,32800.0,34310.0,32000.0,33310.0,381845.59681303,12619326273.002403
2021-10-12 09:00:00,33310.0,39090.0,32080.0,36530.0,3413062.3123223,124770703798.40724
2021-10-13 09:00:00,36460.0,41080.0,34960.0,38940.0,1725274.32178757,66100597676.559456
2021-10-14 09:00:00,38940.0,42490.0,38780.0,39360.0,1586363.28327976,64636631698.58737
2021-10-15 09:00:00,39360.0,40790.0,36730.0,37010.0,679915.52167046,26182491034.745262
2021-10-16 09:00:00,37010.0,37760.0,35800.0,35950.0,242783.0194857,8924591188.600958
2021-10-17 09:00:00,35950.0,37600.0,34730.0,35600.0,352535.37576149,12752654317.766245
2021-10-18 09:00:00,35600.0,35990.0,34240.0,34810.0,138452.61528991,4858422138.865571
2021-10-19 09:00:00,34810.0,36430.0,34370.0,34960.0,218299.88896407,7730844103.473704
2021-10-20 09:00:00,34950.0,35640.0,34580.0,35540.0,170155.54857029,5974581310.087682
2021-10-21 09:00:00,35490.0,36250.0,34250.0,34290.0,247144.91006621,8742919306.070803
2021-10-22 09:00:00,34270.0,35390.0,33810.0,34300.0,180226.09355531,6236021004.745725
2021-10-23 09:00:00,34290.0,34760.0,33900.0,34630.0,95062.77301308,3273122508.4289937
2021-10-24 09:00:00,34660.0,35920.0,33600.0,34360.0,159314.25242802,5518266728.257312
2021-10-25 09:00:00,34300.0,34760.0,34120.0,34600.0,76141.62390434,2623873553.4590387
2021-10-26 09:00:00,34590.0,35340.0,34150.0,34770.0,150658.17477024,5213802647.376861
2021-10-27 09:00:00,34780.0,39400.0,29870.0,35050.0,940216.67360668,33101958496.064335
2021-10-28 09:00:00,35000.0,35550.0,33270.0,33470.0,581528.8402211,19893010655.294895
2021-10-29 09:00:00,33470.0,33500.0,32510.0,32980.0,873437.62493021,28791615370.041756
2021-10-30 09:00:00,32990.0,32990.0,31530.0,31740.0,785591.72062917,25240366572.71155
2021-10-31 09:00:00,31740.0,31900.0,31000.0,31240.0,749197.90118378,23490559727.272583
2021-11-01 09:00:00,31250.0,32690.0,30860.0,31520.0,1117788.58897078,35515296626.594055
2021-11-02 09:00:00,31520.0,31520.0,30950.0,31190.0,689891.61266534,21499980194.81502
2021-11-03 09:00:00,31190.0,31360.0,29750.0,31160.0,701602.36633566,21569791190.37271
2021-11-04 09:00:00,31150.0,31630.0,30600.0,31280.0,543893.45749997,16898132768.29632
2021-11-05 09:00:00,31280.0,31300.0,30700.0,30860.0,391916.82695774,12131146768.308552
2021-11-06 09:00:00,30860.0,31090.0,30300.0,30580.0,404407.10221105,12412675814.819807
