,open,high,low,close,volume,value
2021-06-04 09:00:00,191.0,217.0,168.0,181.0,66036646.92125259,12609843706.749521
2021-06-05 09:00:00,180.0,184.0,172.0,176.0,13010403.30327126,2311295111.6537523
2021-06-06 09:00:00,176.0,187.0,174.0,180.0,37212800.3964573,6677164300.490665
2021-06-07 09:00:00,180.0,190.0,164.0,171.0,30960420.3848893,5633587853.847341
2021-06-08 09:00:00,171.0,172.0,144.0,159.0,22944578.69355802,3594019354.527597
2021-06-09 09:00:00,158.0,165.0,147.0,163.0,22681282.62569873,3586137960.594841
2021-06-10 09:00:00,164.0,166.0,157.0,166.0,18960297.50004208,3061931743.8663473
2021-06-11 09:00:00,166.0,178.0,147.0,153.0,60839299.23365016,10189941648.568638
2021-06-12 09:00:00,153.0,154.0,129.0,141.0,11603148.81617542,1596061208.7814844
2021-06-13 09:00:00,140.0,177.0,129.0,146.0,60939305.3320087,9222455361.893047
2021-06-14 09:00:00,146.0,149.0,137.0,146.0,17348771.16488623,2468700870.925702
2021-06-15 09:00:00,145.0,155.0,142.0,150.0,31445833.80600408,4693116566.068499
2021-06-16 09:00:00,151.0,152.0,138.0,146.0,12155512.53563943,1774901259.46178
2021-06-17 09:00:00,145.0,156.0,141.0,142.0,33180410.7084878,4919946345.887012
2021-06-18 09:00:00,142.0,143.0,131.0,133.0,9544932.99731188,1295246963.9166548
2021-06-19 09:00:00,134.0,137.0,127.0,130.0,12784083.16082429,1684134036.7356603
2021-06-20 09:00:00,130.0,132.0,114.0,126.0,10026801.60486519,1245459255.6921303
2021-06-21 09:00:00,126.0,133.0,104.0,111.0,70598951.67180938,8598443901.569197
2021-06-22 09:00:00,111.0,122.0,91.9,104.0,49724299.24193543,5393824133.909103
2021-06-23 09:00:00,104.0,114.0,97.8,111.0,21880464.39574651,2367795686.0306964
2021-06-24 09:00:00,111.0,116.0,105.0,115.0,18225292.18246208,2028543495.0412009
2021-06-25 09:00:00,115.0,118.0,108.0,109.0,17429065.53482629,1971457618.420133
2021-06-26 09:00:00,109.0,116.0,102.0,109.0,19874588.19168996,2176941450.7083
2021-06-27 09:00:00,109.0,112.0,106.0,111.0,17182858.78710605,1863965944.6866722
2021-06-28 09:00:00,111.0,120.0,108.0,120.0,41241962.96832007,4672987274.381658
2021-06-29 09:00:00,120.0,129.0,116.0,128.0,56239881.15951966,6923489526.174726
2021-06-30 09:00:00,128.0,139.0,123.0,138.0,48185775.36617702,6225208485.161852
