,open,high,low,close,volume,value
2022-01-11 09:00:00,5400.0,13490.0,5400.0,8815.0,108426702.50643851,912309236709.5687
2022-01-12 09:00:00,8815.0,10850.0,8365.0,9665.0,109196964.40184297,1041791054640.874
2022-01-13 09:00:00,9665.0,9835.0,8255.0,8300.0,35515092.85234327,316937719119.5262
2022-01-14 09:00:00,8300.0,8545.0,7575.0,8095.0,30431343.88917335,244790906175.60464
2022-01-15 09:00:00,8090.0,8175.0,7765.0,7830.0,6584325.38528936,51868945569.86088
2022-01-16 09:00:00,7825.0,7830.0,7265.0,7390.0,9955706.79295922,74857497101.78235
2022-01-17 09:00:00,7385.0,7975.0,7255.0,7585.0,22078494.52322157,167730342525.22095
2022-01-18 09:00:00,7570.0,7570.0,6770.0,7045.0,17064959.15191769,119776212696.7376
2022-01-19 09:00:00,7040.0,7250.0,6280.0,6385.0,12335297.82268527,81655823598.29385
2022-01-20 09:00:00,6380.0,6825.0,6115.0,6210.0,8807820.60004794,57344043181.19764
2022-01-21 09:00:00,6210.0,6635.0,5250.0,5455.0,12754717.81096575,77013914924.34348
2022-01-22 09:00:00,5455.0,5515.0,4480.0,5160.0,11380864.15317681,57235612214.10375
2022-01-23 09:00:00,5185.0,6170.0,5105.0,5895.0,24161343.95036766,138528517923.21628
2022-01-24 09:00:00,5885.0,6000.0,5060.0,5895.0,11206195.65518841,62030668590.033714
2022-01-25 09:00:00,5895.0,6780.0,5435.0,6590.0,20684718.7286413,126644218788.21924
2022-01-26 09:00:00,6590.0,7290.0,6330.0,6830.0,31260858.02023408,215946858148.22946
2022-01-27 09:00:00,6830.0,7035.0,6410.0,6760.0,12545091.53416841,84115085704.99821
2022-01-28 09:00:00,6760.0,8680.0,6425.0,7905.0,83007159.2740516,640915618989.0459
2022-01-29 09:00:00,7895.0,8400.0,7570.0,7995.0,29861654.34783915,238981350730.1361
2022-01-30 09:00:00,8000.0,8030.0,7495.0,7650.0,10408656.49089696,80722476929.43921
2022-01-31 09:00:00,7650.0,7680.0,7025.0,7525.0,10037035.37899146,72752031301.27916
2022-02-01 09:00:00,7520.0,7525.0,7215.0,7325.0,5344189.6522034,39219467810.87688
2022-02-02 09:00:00,7325.0,7775.0,6855.0,6925.0,18143705.57895461,134880956373.0499
2022-02-03 09:00:00,6925.0,7270.0,6500.0,6940.0,8116562.30806204,55113352778.51582
2022-02-04 09:00:00,6935.0,7525.0,6810.0,7435.0,17802872.18252345,128932790441.85938
2022-02-05 09:00:00,7430.0,7680.0,7300.0,7500.0,12267107.75465935,91995762935.10483
2022-02-06 09:00:00,7500.0,7930.0,7385.0,7745.0,14822592.62090791,113621305452.77202
2022-02-07 09:00:00,7740.0,7845.0,7410.0,7760.0,11431452.45207373,87378811767.46426
2022-02-08 09:00:00,7755.0,8370.0,7225.0,8310.0,31436483.81143774,248630267937.1702
2022-02-09 09:00:00,8300.0,9970.0,7860.0,8090.0,83957978.64211224,735534287932.6866
2022-02-10 09:00:00,8090.0,8285.0,7410.0,7450.0,28304403.91822033,221337732990.63263
