,open,high,low,close,volume,value
2021-06-04 09:00:00,240.0,241.0,211.0,220.0,85894937.12912388,19073828038.75594
2021-06-05 09:00:00,220.0,224.0,210.0,214.0,51058041.05082244,11069481140.202906
2021-06-06 09:00:00,213.0,221.0,211.0,218.0,74008971.68980135,16007867638.432617
2021-06-07 09:00:00,219.0,224.0,197.0,199.0,82724972.12858678,17660788962.463455
2021-06-08 09:00:00,199.0,202.0,180.0,190.0,79267286.24632208,15063056574.920176
2021-06-09 09:00:00,190.0,203.0,181.0,203.0,69108260.00004359,13275211381.990486
2021-06-10 09:00:00,202.0,205.0,195.0,199.0,47747033.22154996,9534050952.515713
2021-06-11 09:00:00,200.0,202.0,190.0,192.0,61010958.08083231,11995512496.445818
2021-06-12 09:00:00,191.0,193.0,178.0,183.0,43617101.43933439,7990381825.778457
2021-06-13 09:00:00,183.0,192.0,179.0,190.0,27125183.66823902,5009089685.736775
2021-06-14 09:00:00,190.0,200.0,186.0,200.0,50952158.77270888,9804546267.968517
2021-06-15 09:00:00,200.0,210.0,194.0,203.0,53505134.30843687,10703733019.58644
2021-06-16 09:00:00,204.0,204.0,192.0,195.0,63149576.38676329,12381154639.217928
2021-06-17 09:00:00,195.0,198.0,188.0,192.0,27206237.24171872,5273199594.927505
2021-06-18 09:00:00,191.0,192.0,176.0,180.0,39300496.1420501,7246102265.686167
2021-06-19 09:00:00,181.0,181.0,174.0,174.0,24637205.7355762,4357013688.647194
2021-06-20 09:00:00,175.0,175.0,158.0,168.0,49594957.56555936,8219127377.248381
2021-06-21 09:00:00,168.0,169.0,124.0,127.0,86162387.58085707,12597144188.82183
2021-06-22 09:00:00,127.0,132.0,99.8,112.0,162789654.88553187,18693575085.27529
2021-06-23 09:00:00,112.0,137.0,106.0,131.0,109076699.04427339,13675815556.512012
2021-06-24 09:00:00,131.0,137.0,123.0,136.0,82437983.45613086,10806822703.224707
2021-06-25 09:00:00,135.0,139.0,123.0,125.0,84226042.44345325,11032954444.711882
2021-06-26 09:00:00,125.0,129.0,120.0,126.0,60911178.74723198,7542200148.933956
2021-06-27 09:00:00,126.0,130.0,123.0,130.0,41281401.88264346,5212284202.840751
2021-06-28 09:00:00,130.0,137.0,127.0,136.0,82684483.15644488,10898093166.073471
2021-06-29 09:00:00,136.0,158.0,134.0,149.0,165084498.67177248,24323712957.17467
2021-06-30 09:00:00,149.0,159.0,138.0,157.0,114352308.10606652,16765914051.908405
2021-07-01 09:00:00,157.0,159.0,145.0,151.0,95089312.00012377,14393823100.270147
2021-07-02 09:00:00,151.0,154.0,144.0,154.0,50583408.010507,7495299321.989758
2021-07-03 09:00:00,154.0,158.0,149.0,157.0,43606487.74772511,6726667028.300318
2021-07-04 09:00:00,158.0,163.0,152.0,161.0,53097440.47502375,8375807752.499802
2021-07-05 09:00:00,161.0,161.0,146.0,152.0,112458733.61209555,17365408776.07349
2021-07-06 09:00:00,152.0,160.0,150.0,155.0,90598614.13165934,14044506998.381607
2021-07-07 09:00:00,155.0,159.0,152.0,156.0,90672921.79034477,14130835335.171305
2021-07-08 09:00:00,156.0,156.0,143.0,146.0,106718527.45287517,15980339795.30057
2021-07-09 09:00:00,145.0,147.0,135.0,147.0,79621975.57367682,11219651408.021397
2021-07-10 09:00:00,147.0,147.0,141.0,143.0,41455725.68519727,5954162552.738096
2021-07-11 09:00:00,143.0,146.0,139.0,145.0,45196184.84749005,6466318334.060753
2021-07-12 09:00:00,144.0,146.0,139.0,142.0,63848904.11044596,9149294259.7695
2021-07-13 09:00:00,142.0,142.0,135.0,138.0,58496430.35786306,8137193298.516895
2021-07-14 09:00:00,138.0,141.0,127.0,135.0,113161655.45695257,15205304319.700735
2021-07-15 09:00:00,135.0,149.0,133.0,145.0,328243349.7497644,46345764306.348564
2021-07-16 09:00:00,145.0,179.0,140.0,166.0,1759135350.520621,292342379585.49194
2021-07-17 09:00:00,166.0,198.0,163.0,188.0,1543858116.5543818,287585840621.04193
2021-07-18 09:00:00,187.0,193.0,167.0,169.0,613934020.7761028,107976904039.39334
2021-07-19 09:00:00,170.0,184.0,153.0,156.0,755734689.9024538,128225562097.19984
2021-07-20 09:00:00,155.0,164.0,132.0,154.0,811337658.7383403,119271143818.80965
2021-07-21 09:00:00,153.0,168.0,143.0,164.0,733730069.8418094,115484222958.47632
2021-07-22 09:00:00,164.0,176.0,157.0,168.0,541945188.1309433,90727058032.69974
2021-07-23 09:00:00,169.0,173.0,160.0,167.0,377153719.0590832,63064293953.9652
2021-07-24 09:00:00,168.0,175.0,164.0,171.0,443451508.2077821,75347995021.52454
2021-07-25 09:00:00,171.0,178.0,164.0,174.0,383384195.4955341,65635103161.15277
2021-07-26 09:00:00,174.0,200.0,170.0,175.0,603150446.4745358,111512586000.96063
