,open,high,low,close,volume,value
2021-06-04 09:00:00,494.0,494.0,434.0,449.0,139582214.43410656,64252600169.042915
2021-06-05 09:00:00,449.0,468.0,435.0,443.0,74352051.1124254,33472585106.32118
2021-06-06 09:00:00,443.0,452.0,437.0,444.0,54912317.35194147,24351141329.47466
2021-06-07 09:00:00,444.0,451.0,398.0,403.0,89163506.59122565,38368066935.760735
2021-06-08 09:00:00,402.0,411.0,362.0,403.0,108517317.02547096,42345928979.89987
2021-06-09 09:00:00,403.0,423.0,373.0,423.0,126691039.49539667,50451181387.78629
2021-06-10 09:00:00,423.0,425.0,390.0,396.0,102699404.50845423,41601063042.312584
2021-06-11 09:00:00,396.0,398.0,368.0,372.0,96378155.99203943,37142264217.09615
2021-06-12 09:00:00,372.0,399.0,349.0,382.0,115772926.68353298,42932564330.11565
2021-06-13 09:00:00,382.0,400.0,362.0,395.0,81356586.37856714,30725257715.395782
2021-06-14 09:00:00,395.0,403.0,378.0,394.0,110553732.00673069,43230663776.9744
2021-06-15 09:00:00,394.0,404.0,382.0,386.0,84141954.6849906,32990999963.91449
2021-06-16 09:00:00,386.0,393.0,368.0,376.0,80205148.71185014,30482938759.158558
2021-06-17 09:00:00,376.0,385.0,368.0,374.0,44031747.70287641,16620926615.496473
2021-06-18 09:00:00,374.0,375.0,342.0,353.0,80146755.58443268,28758662139.455463
2021-06-19 09:00:00,353.0,359.0,342.0,343.0,45039767.59547138,15791181134.249212
2021-06-20 09:00:00,342.0,351.0,320.0,349.0,79088232.28621607,26574760734.777378
2021-06-21 09:00:00,350.0,356.0,276.0,280.0,124932445.93232895,39030367183.71263
2021-06-22 09:00:00,280.0,305.0,234.0,273.0,169162850.27181026,45342609399.62909
2021-06-23 09:00:00,273.0,311.0,260.0,297.0,100961922.7769165,29891787176.307255
2021-06-24 09:00:00,298.0,317.0,284.0,310.0,92039886.17473386,27805662961.35442
2021-06-25 09:00:00,311.0,318.0,282.0,284.0,84870415.57607108,25443668081.5793
2021-06-26 09:00:00,284.0,291.0,269.0,291.0,61669652.17050797,17232496555.502663
2021-06-27 09:00:00,290.0,300.0,280.0,299.0,53718258.28993857,15550837746.35894
2021-06-28 09:00:00,299.0,310.0,294.0,305.0,82089761.49187598,24788735225.639027
2021-06-29 09:00:00,305.0,341.0,304.0,329.0,176917187.65639946,57041432189.30195
2021-06-30 09:00:00,329.0,333.0,310.0,330.0,86884205.68763144,27839936299.084095
2021-07-01 09:00:00,330.0,331.0,305.0,315.0,72371701.38173606,22728525572.592777
2021-07-02 09:00:00,316.0,322.0,297.0,307.0,66269077.12954457,20286770558.979588
2021-07-03 09:00:00,307.0,314.0,303.0,307.0,61841981.85296129,19085903805.941654
2021-07-04 09:00:00,308.0,317.0,303.0,311.0,63357284.9976945,19708966093.213303
2021-07-05 09:00:00,310.0,312.0,292.0,297.0,80797025.29520306,24428978100.520638
2021-07-06 09:00:00,298.0,310.0,296.0,303.0,59272094.76778458,17936237790.60897
2021-07-07 09:00:00,304.0,308.0,298.0,301.0,55311041.32059072,16851054151.399094
2021-07-08 09:00:00,301.0,303.0,283.0,289.0,67645463.99382414,19719826509.28762
2021-07-09 09:00:00,289.0,294.0,275.0,290.0,87224806.88999246,24875250316.46177
2021-07-10 09:00:00,289.0,298.0,283.0,288.0,44113954.10928795,12704897211.097088
2021-07-11 09:00:00,288.0,292.0,283.0,288.0,41144303.98381833,11833854187.371435
2021-07-12 09:00:00,289.0,296.0,280.0,283.0,70216787.79825324,20276284827.35111
2021-07-13 09:00:00,283.0,285.0,270.0,276.0,50986460.14451967,14181561104.855356
2021-07-14 09:00:00,275.0,288.0,261.0,282.0,62047385.43044936,16982387144.097828
2021-07-15 09:00:00,282.0,287.0,268.0,284.0,49770012.87839379,13833080779.864803
2021-07-16 09:00:00,284.0,306.0,276.0,279.0,216982968.92503858,62962769722.31934
2021-07-17 09:00:00,279.0,282.0,269.0,275.0,60206744.69565697,16572275373.30594
2021-07-18 09:00:00,275.0,283.0,270.0,272.0,42980816.74686943,11875591957.67584
2021-07-19 09:00:00,272.0,274.0,251.0,252.0,47719365.04536865,12532031972.63105
2021-07-20 09:00:00,252.0,256.0,236.0,252.0,85159525.38880506,20829452948.87614
2021-07-21 09:00:00,252.0,273.0,244.0,269.0,100018084.59664871,26005662328.15392
2021-07-22 09:00:00,269.0,315.0,265.0,309.0,342634046.80021054,101222562364.87212
2021-07-23 09:00:00,309.0,328.0,294.0,313.0,326721830.52266616,101941921737.73682
2021-07-24 09:00:00,313.0,316.0,305.0,313.0,111676885.99210417,34651971695.826126
2021-07-25 09:00:00,313.0,314.0,297.0,304.0,66082741.3584916,20042693838.43298
2021-07-26 09:00:00,303.0,329.0,299.0,301.0,166590460.45156747,52827823610.245094
2021-07-27 09:00:00,301.0,311.0,290.0,304.0,114758784.37788469,34499289730.89513
2021-07-28 09:00:00,304.0,329.0,299.0,313.0,234569992.17919162,73995825894.64713
2021-07-29 09:00:00,313.0,316.0,303.0,313.0,77035509.35725524,23838858399.5643
2021-07-30 09:00:00,313.0,329.0,303.0,322.0,132911485.65499166,41925568299.26959
2021-07-31 09:00:00,322.0,335.0,317.0,329.0,97144881.83156383,31535201074.791687
2021-08-01 09:00:00,330.0,350.0,316.0,319.0,157565330.39341217,53083783311.71147
2021-08-02 09:00:00,319.0,333.0,310.0,318.0,90532081.79070473,29173716684.49484
2021-08-03 09:00:00,320.0,328.0,310.0,322.0,80059588.27262627,25518907451.166553
2021-08-04 09:00:00,322.0,327.0,310.0,323.0,60087379.55470378,19138113606.538643
2021-08-05 09:00:00,323.0,325.0,311.0,323.0,74687439.47804856,23805325279.4961
2021-08-06 09:00:00,324.0,330.0,318.0,328.0,69892524.330626,22602705379.932697
2021-08-07 09:00:00,328.0,357.0,325.0,351.0,168275530.2647207,57511141732.72817
2021-08-08 09:00:00,351.0,361.0,332.0,333.0,117583615.76134276,40714212034.56093
2021-08-09 09:00:00,333.0,350.0,324.0,342.0,125026727.87818068,42407877272.974556
2021-08-10 09:00:00,342.0,362.0,339.0,356.0,144306596.41145346,50626333969.07192
2021-08-11 09:00:00,356.0,400.0,356.0,389.0,268645277.4963333,101270732080.96371
2021-08-12 09:00:00,389.0,409.0,370.0,386.0,223938753.93011394,86922968627.21533
2021-08-13 09:00:00,386.0,423.0,379.0,416.0,230261744.84649137,93943815795.75945
2021-08-14 09:00:00,415.0,472.0,406.0,460.0,376185457.51949203,163453673536.29556
2021-08-15 09:00:00,460.0,472.0,435.0,454.0,282441346.59631425,128077899022.06747
2021-08-16 09:00:00,454.0,477.0,436.0,436.0,207396847.3075774,95133134919.79947
2021-08-17 09:00:00,436.0,447.0,401.0,403.0,162498538.76642016,69575104861.7467
2021-08-18 09:00:00,403.0,419.0,381.0,403.0,141247789.0690173,56986539924.94047
2021-08-19 09:00:00,403.0,433.0,393.0,433.0,125130661.98356274,51371973770.35322
2021-08-20 09:00:00,433.0,457.0,423.0,450.0,241243400.41910058,106819284196.66014
2021-08-21 09:00:00,449.0,450.0,435.0,438.0,150660358.3461334,66478161969.47156
2021-08-22 09:00:00,438.0,455.0,426.0,437.0,171188646.03581333,75430330076.62605
2021-08-23 09:00:00,437.0,453.0,433.0,441.0,303963227.4848535,134562239924.07564
2021-08-24 09:00:00,441.0,442.0,411.0,412.0,162587874.361513,70118243058.72855
2021-08-25 09:00:00,412.0,422.0,400.0,418.0,108724491.99686287,44715375731.63881
2021-08-26 09:00:00,418.0,424.0,393.0,395.0,98870655.67162,39920987912.04575
2021-08-27 09:00:00,395.0,418.0,387.0,418.0,122350906.39043213,49267075690.14511
2021-08-28 09:00:00,418.0,422.0,402.0,409.0,72685494.39548036,29846706828.82115
2021-08-29 09:00:00,409.0,416.0,403.0,403.0,81882343.70431036,33413939416.05341
2021-08-30 09:00:00,404.0,407.0,391.0,392.0,94902463.63875721,37915062746.27378
2021-08-31 09:00:00,393.0,422.0,388.0,398.0,165459297.6412043,66709613843.64884
2021-09-01 09:00:00,398.0,413.0,394.0,409.0,87981742.51123814,35510723647.571846
2021-09-02 09:00:00,409.0,425.0,407.0,418.0,107957879.5432023,45055450975.78474
2021-09-03 09:00:00,419.0,435.0,411.0,426.0,128339708.07601334,54271863910.42414
2021-09-04 09:00:00,426.0,443.0,423.0,429.0,155100128.67539653,67250808849.9257
2021-09-05 09:00:00,429.0,458.0,424.0,456.0,205334251.09749258,90741234958.98631
