,open,high,low,close,volume,value
2021-06-04 09:00:00,1210.0,1215.0,1080.0,1125.0,581601172.4692391,659969782849.2678
2021-06-05 09:00:00,1125.0,1150.0,1065.0,1095.0,300620899.09251577,333852112966.7179
2021-06-06 09:00:00,1095.0,1105.0,1080.0,1105.0,207889672.2488955,227125917185.97394
2021-06-07 09:00:00,1105.0,1135.0,989.0,1005.0,434348391.9167321,461233125136.3786
2021-06-08 09:00:00,1005.0,1030.0,924.0,1005.0,821730772.6734046,806246163702.5626
2021-06-09 09:00:00,1005.0,1070.0,957.0,1070.0,719115580.9583291,721968527232.2059
2021-06-10 09:00:00,1065.0,1075.0,1000.0,1015.0,370397223.4330574,380262075338.6675
2021-06-11 09:00:00,1015.0,1020.0,980.0,990.0,297421382.43609864,297032585748.55316
2021-06-12 09:00:00,990.0,993.0,938.0,967.0,317720255.36228377,305480693616.9914
2021-06-13 09:00:00,967.0,1025.0,951.0,1010.0,231174255.83220902,226904985023.67505
2021-06-14 09:00:00,1010.0,1075.0,996.0,1025.0,325827908.8452403,332745313607.10126
2021-06-15 09:00:00,1025.0,1040.0,995.0,1005.0,237770119.14655378,240987794538.63916
2021-06-16 09:00:00,1005.0,1005.0,962.0,984.0,331224560.0091613,326058348348.59045
2021-06-17 09:00:00,983.0,1010.0,977.0,990.0,216244024.78153655,214962666490.34344
2021-06-18 09:00:00,990.0,991.0,930.0,945.0,310781421.75632787,298357721871.23224
2021-06-19 09:00:00,946.0,954.0,895.0,901.0,271889308.9084881,252116734860.0916
2021-06-20 09:00:00,901.0,922.0,831.0,910.0,677793286.8824261,591385095872.3951
2021-06-21 09:00:00,910.0,918.0,712.0,718.0,1393141371.390843,1122919819076.3127
2021-06-22 09:00:00,719.0,766.0,602.0,639.0,2016153295.6339006,1361201220783.2117
2021-06-23 09:00:00,639.0,767.0,607.0,740.0,1512372503.2382123,1074647466013.8358
2021-06-24 09:00:00,739.0,801.0,720.0,780.0,856148360.8442444,648006292818.494
2021-06-25 09:00:00,779.0,795.0,707.0,719.0,900082314.425881,676196748332.8708
2021-06-26 09:00:00,719.0,736.0,684.0,718.0,511409133.707749,361139109083.18677
2021-06-27 09:00:00,719.0,752.0,698.0,747.0,404657499.7865013,290799626589.0431
2021-06-28 09:00:00,747.0,760.0,724.0,747.0,459444363.25823295,340969144235.8475
2021-06-29 09:00:00,748.0,847.0,744.0,816.0,820953669.0622368,658711352093.8029
2021-06-30 09:00:00,816.0,829.0,768.0,819.0,499755155.29559064,396706344083.8116
2021-07-01 09:00:00,819.0,820.0,762.0,775.0,431372437.0931904,337037224126.9119
2021-07-02 09:00:00,775.0,784.0,747.0,764.0,293453855.1318542,222472415425.64835
2021-07-03 09:00:00,764.0,795.0,753.0,783.0,278568316.0609829,217047350605.65448
2021-07-04 09:00:00,783.0,820.0,778.0,807.0,291962636.57629025,234208936329.59122
2021-07-05 09:00:00,806.0,811.0,753.0,766.0,416849260.2279556,324500387675.0221
2021-07-06 09:00:00,766.0,790.0,765.0,775.0,260876728.24845937,202504671909.4188
2021-07-07 09:00:00,775.0,784.0,763.0,765.0,217481479.11552286,168790445697.49316
2021-07-08 09:00:00,766.0,769.0,725.0,740.0,330007658.6828605,245262260859.20932
2021-07-09 09:00:00,740.0,763.0,698.0,749.0,397002009.652069,290138252334.0264
2021-07-10 09:00:00,750.0,764.0,728.0,738.0,178892293.2697188,132727706563.75569
2021-07-11 09:00:00,737.0,759.0,727.0,746.0,144286459.370957,106966037931.79066
2021-07-12 09:00:00,746.0,769.0,735.0,742.0,287803795.26717776,216510949577.42697
2021-07-13 09:00:00,743.0,756.0,725.0,733.0,233519629.39257956,172566708838.38943
2021-07-14 09:00:00,733.0,739.0,699.0,730.0,362235239.6052793,260523838997.1651
