,open,high,low,close,volume,value
2021-06-04 09:00:00,4500.0,4555.0,3990.0,4130.0,2996017.69051747,12662820785.7622
2021-06-05 09:00:00,4135.0,4250.0,3900.0,4045.0,1831213.47978202,7472838030.885651
2021-06-06 09:00:00,4045.0,4540.0,3980.0,4455.0,3854948.33085089,16544823095.122728
2021-06-07 09:00:00,4455.0,4765.0,3995.0,4055.0,5142623.95478718,23129152886.51024
2021-06-08 09:00:00,4050.0,4190.0,3620.0,3970.0,3594679.19471174,13967794201.63304
2021-06-09 09:00:00,3975.0,4090.0,3720.0,4060.0,3370296.92702274,13209868573.730394
2021-06-10 09:00:00,4060.0,4095.0,3760.0,3840.0,2754225.24190281,10800848720.700579
2021-06-11 09:00:00,3840.0,3910.0,3610.0,3670.0,2593852.94464996,9808775371.010706
2021-06-12 09:00:00,3670.0,3735.0,3400.0,3660.0,2486529.79696536,8887711329.213623
2021-06-13 09:00:00,3660.0,3815.0,3505.0,3800.0,1767174.15583027,6445096334.543266
2021-06-14 09:00:00,3800.0,3870.0,3680.0,3850.0,1815416.26914939,6863884156.843964
2021-06-15 09:00:00,3850.0,3880.0,3735.0,3790.0,1543316.25159274,5872619792.793266
2021-06-16 09:00:00,3785.0,3825.0,3620.0,3685.0,1741533.25642804,6480955140.108549
2021-06-17 09:00:00,3675.0,4040.0,3665.0,3970.0,3599975.18705328,14080913055.16992
2021-06-18 09:00:00,3965.0,3990.0,3600.0,3675.0,1728019.09818407,6518823584.592145
2021-06-19 09:00:00,3675.0,3735.0,3585.0,3595.0,1039219.97593419,3809244409.8237114
2021-06-20 09:00:00,3595.0,3690.0,3410.0,3615.0,1533922.16142629,5444148026.33095
2021-06-21 09:00:00,3625.0,3645.0,2930.0,2945.0,2543789.85254065,8295656516.610228
2021-06-22 09:00:00,2950.0,3125.0,2500.0,2765.0,3453452.886718,9677001944.14585
2021-06-23 09:00:00,2770.0,3290.0,2645.0,3115.0,6270372.61931688,19720833663.310566
2021-06-24 09:00:00,3120.0,3305.0,3000.0,3280.0,1400808.50003775,4439416686.513722
2021-06-25 09:00:00,3280.0,3340.0,2925.0,2965.0,1727320.39851206,5375757018.385906
2021-06-26 09:00:00,2965.0,3055.0,2815.0,2965.0,1259132.24442992,3682445148.7992277
2021-06-27 09:00:00,2965.0,3035.0,2865.0,3020.0,791799.85427677,2335906204.091035
2021-06-28 09:00:00,3025.0,3175.0,2960.0,3140.0,1021561.63243623,3123693115.7547803
2021-06-29 09:00:00,3140.0,3450.0,3125.0,3440.0,2070285.40077597,6894713047.245961
2021-06-30 09:00:00,3450.0,3655.0,3280.0,3645.0,2412306.58469091,8267405573.321021
2021-07-01 09:00:00,3645.0,4220.0,3345.0,3455.0,3417781.40591925,12415919426.6034
2021-07-02 09:00:00,3455.0,3500.0,3235.0,3445.0,1232145.88770271,4118377731.5609136
2021-07-03 09:00:00,3445.0,3520.0,3355.0,3520.0,956448.46334094,3288364297.603631
2021-07-04 09:00:00,3520.0,3610.0,3415.0,3540.0,1202864.42139654,4242311301.1110997
2021-07-05 09:00:00,3530.0,3540.0,3290.0,3340.0,1951702.54226408,6608624632.902657
2021-07-06 09:00:00,3340.0,3490.0,3305.0,3355.0,1978620.14448249,6695639415.5472
2021-07-07 09:00:00,3355.0,3465.0,3305.0,3385.0,2106309.88830788,7141200212.993368
2021-07-08 09:00:00,3385.0,3440.0,3105.0,3210.0,2156699.39573912,7005559955.190301
2021-07-09 09:00:00,3205.0,3305.0,3035.0,3240.0,2652197.15344563,8461808786.222892
2021-07-10 09:00:00,3240.0,3345.0,3195.0,3295.0,1412084.14318653,4595927246.653512
2021-07-11 09:00:00,3290.0,3390.0,3205.0,3330.0,1287920.78794803,4249321133.841883
2021-07-12 09:00:00,3350.0,3470.0,3285.0,3330.0,2590069.53828229,8777009980.015152
2021-07-13 09:00:00,3330.0,3440.0,3265.0,3335.0,2507141.700287,8410136101.582396
2021-07-14 09:00:00,3335.0,3350.0,3020.0,3205.0,2369455.62096018,7462142576.917535
2021-07-15 09:00:00,3200.0,3245.0,3005.0,3040.0,1397418.99908339,4325826462.7976885
2021-07-16 09:00:00,3045.0,3120.0,2855.0,2865.0,1613324.98981994,4813039571.077499
2021-07-17 09:00:00,2865.0,2960.0,2800.0,2845.0,1506364.5845755,4324158526.957101
2021-07-18 09:00:00,2850.0,2945.0,2820.0,2895.0,1196301.49824784,3452300381.579812
2021-07-19 09:00:00,2880.0,2900.0,2710.0,2730.0,1715087.68440281,4789822622.624363
2021-07-20 09:00:00,2730.0,2790.0,2500.0,2555.0,2564188.87690068,6685638306.322663
2021-07-21 09:00:00,2555.0,2850.0,2500.0,2825.0,2217754.95569654,5969698676.74289
2021-07-22 09:00:00,2835.0,2945.0,2765.0,2925.0,1407621.35405817,3998378830.7827544
2021-07-23 09:00:00,2935.0,3130.0,2920.0,3125.0,2130711.84018579,6472907266.912207
2021-07-24 09:00:00,3125.0,3305.0,3075.0,3300.0,1631160.15354035,5165617676.2500925
2021-07-25 09:00:00,3300.0,3385.0,3165.0,3350.0,1397771.82883914,4597054716.635442
2021-07-26 09:00:00,3345.0,3595.0,3265.0,3290.0,3725713.76045707,12903495845.237268
2021-07-27 09:00:00,3285.0,3380.0,3165.0,3300.0,2000995.36075656,6540096047.483288
2021-07-28 09:00:00,3300.0,3370.0,3215.0,3260.0,1860347.6111379,6119004925.104144
2021-07-29 09:00:00,3260.0,3300.0,3175.0,3275.0,2085848.13203678,6761377851.35689
2021-07-30 09:00:00,3275.0,3430.0,3185.0,3420.0,3580878.37700148,11844152316.141317
2021-07-31 09:00:00,3420.0,3590.0,3350.0,3530.0,3745051.40914461,13082327505.585676
2021-08-01 09:00:00,3520.0,3705.0,3390.0,3425.0,4639911.63655412,16675981060.722668
2021-08-02 09:00:00,3425.0,3860.0,3335.0,3630.0,10172120.2110365,37454010919.201164
2021-08-03 09:00:00,3635.0,3725.0,3500.0,3610.0,2733222.93062558,9833722737.454956
2021-08-04 09:00:00,3610.0,3675.0,3500.0,3660.0,1762349.33430358,6323191195.562074
2021-08-05 09:00:00,3660.0,3780.0,3605.0,3720.0,2776891.79973399,10254319651.739971
2021-08-06 09:00:00,3720.0,3875.0,3655.0,3870.0,2735995.38698216,10261221256.29497
2021-08-07 09:00:00,3870.0,4045.0,3785.0,3925.0,3422294.92021783,13511386873.92491
2021-08-08 09:00:00,3925.0,4030.0,3715.0,3765.0,3358425.20877715,13148047634.748774
2021-08-09 09:00:00,3765.0,3885.0,3605.0,3870.0,2789325.52557124,10530044843.419785
