,open,high,low,close,volume,value
2021-06-04 09:00:00,161.0,162.0,141.0,148.0,69128176.94157933,10444482112.020185
2021-06-05 09:00:00,148.0,158.0,138.0,142.0,58362037.91217135,8647819139.635426
2021-06-06 09:00:00,142.0,160.0,140.0,145.0,124272052.6482907,18442383737.04133
2021-06-07 09:00:00,145.0,151.0,125.0,129.0,65268546.45971288,9235265114.108074
2021-06-08 09:00:00,130.0,133.0,115.0,125.0,58213330.2422791,7225347245.549305
2021-06-09 09:00:00,125.0,135.0,119.0,132.0,63865371.10313307,8184685513.224441
2021-06-10 09:00:00,133.0,136.0,124.0,127.0,131198814.53208078,16992222578.754059
2021-06-11 09:00:00,127.0,135.0,118.0,119.0,136160215.03301108,17356468904.1763
2021-06-12 09:00:00,119.0,120.0,108.0,115.0,59557180.39414038,6784042289.195019
2021-06-13 09:00:00,116.0,126.0,111.0,124.0,39641495.43299362,4625994341.71476
2021-06-14 09:00:00,124.0,128.0,120.0,127.0,41387290.26908525,5160854191.023171
2021-06-15 09:00:00,127.0,132.0,123.0,124.0,48749948.46576673,6234298297.016628
2021-06-16 09:00:00,125.0,131.0,121.0,123.0,57792717.3207232,7219207620.787807
2021-06-17 09:00:00,123.0,132.0,122.0,130.0,97901002.42888224,12425880764.982437
2021-06-18 09:00:00,131.0,131.0,119.0,123.0,44150044.39149759,5429745408.826208
2021-06-19 09:00:00,122.0,128.0,118.0,118.0,46461964.4130857,5668390652.748149
2021-06-20 09:00:00,118.0,125.0,116.0,120.0,85946193.87845626,10390349972.6028
2021-06-21 09:00:00,120.0,124.0,85.3,87.2,60069072.89309882,6382034743.674504
2021-06-22 09:00:00,87.2,95.0,69.8,79.8,77590163.969202,6471631285.046939
2021-06-23 09:00:00,79.7,101.0,75.7,89.8,320170478.9698951,29492741314.35973
2021-06-24 09:00:00,90.0,96.7,84.2,92.7,123664106.11408688,11274225207.75791
2021-06-25 09:00:00,92.4,94.9,82.9,83.7,68225081.97660948,6134923463.313511
2021-06-26 09:00:00,83.7,98.1,80.0,85.9,143601361.97128806,12678363717.096588
2021-06-27 09:00:00,86.0,95.0,83.5,88.4,102900563.94589959,9050256209.38738
2021-06-28 09:00:00,88.4,97.7,85.2,93.0,293997160.33570856,26664187206.956085
2021-06-29 09:00:00,93.0,104.0,91.9,100.0,432643544.7967003,42690842151.57878
2021-06-30 09:00:00,100.0,106.0,94.4,102.0,308369176.5934948,30735442294.861465
2021-07-01 09:00:00,102.0,103.0,93.3,96.5,184451321.56715822,17948024412.320786
2021-07-02 09:00:00,96.5,97.7,90.9,95.4,90760553.80806996,8498923758.749174
2021-07-03 09:00:00,95.1,96.2,92.0,96.1,74322794.24793658,7027815148.500594
2021-07-04 09:00:00,96.0,97.9,92.5,96.5,167158949.58202544,16013094695.629627
2021-07-05 09:00:00,96.3,96.4,90.1,93.3,203826141.1610758,19057896628.225502
2021-07-06 09:00:00,93.4,95.8,92.1,94.4,128399437.10101955,12027535246.680002
2021-07-07 09:00:00,94.6,99.5,92.1,95.6,177489462.4940816,16932205795.91642
2021-07-08 09:00:00,95.7,95.8,87.5,89.1,140006827.70041212,12768195158.85437
2021-07-09 09:00:00,89.2,89.2,83.0,88.2,74277884.00375547,6396568828.300943
2021-07-10 09:00:00,88.2,89.3,84.8,86.3,48704003.67997515,4223121548.493719
2021-07-11 09:00:00,86.3,87.9,84.5,86.7,68162324.3134847,5876083541.828074
2021-07-12 09:00:00,86.7,88.0,83.6,85.3,71307998.7364147,6150157782.783512
2021-07-13 09:00:00,85.3,85.7,81.7,83.5,81885459.41704465,6844796591.8316
2021-07-14 09:00:00,83.2,84.4,76.7,84.3,76102315.21301328,6108371938.93295
2021-07-15 09:00:00,84.3,84.4,77.5,79.3,68229594.77677017,5481733130.38365
2021-07-16 09:00:00,79.5,80.7,73.0,73.4,60957201.2192855,4660907728.074317
2021-07-17 09:00:00,73.5,74.8,71.0,73.4,50055047.91261629,3653542971.633599
2021-07-18 09:00:00,73.5,76.5,72.8,75.1,46427453.12805177,3472546584.763595
2021-07-19 09:00:00,74.9,75.5,69.2,69.5,56532124.89120137,4036898909.284082
2021-07-20 09:00:00,69.5,70.5,60.2,63.6,105572962.08588552,6777472805.587614
2021-07-21 09:00:00,63.6,70.7,61.6,69.4,63589687.48052241,4237283425.733829
2021-07-22 09:00:00,69.4,73.9,68.2,72.8,65520295.51725811,4659914037.003908
2021-07-23 09:00:00,73.0,74.2,70.2,73.6,57242975.32389662,4147104731.3699636
2021-07-24 09:00:00,73.6,77.8,72.7,76.0,63913081.02786913,4793522257.17713
2021-07-25 09:00:00,76.0,87.5,72.8,86.3,258892610.07792804,21364047236.608128
2021-07-26 09:00:00,86.3,99.5,84.5,85.8,645785623.9833704,60731832267.6354
2021-07-27 09:00:00,85.8,91.0,80.3,88.0,181866036.1417694,15637583854.888672
2021-07-28 09:00:00,87.8,89.3,84.6,86.5,105203782.65945116,9121935642.426039
2021-07-29 09:00:00,86.4,96.8,84.6,89.9,694024884.4008653,62871773155.93298
2021-07-30 09:00:00,89.9,94.7,84.6,92.9,231735705.2946247,20909955245.595432
2021-07-31 09:00:00,92.9,100.0,90.1,96.5,390536752.0605929,37415172744.86408
2021-08-01 09:00:00,96.6,103.0,91.5,92.6,288638228.4421256,28303186094.33764
2021-08-02 09:00:00,92.6,98.0,89.5,94.7,118593068.99453504,11081199812.119583
2021-08-03 09:00:00,94.8,95.0,90.5,92.5,84129576.82772315,7763205124.717668
2021-08-04 09:00:00,92.9,93.9,89.8,93.5,56974772.27153124,5250150997.8649
2021-08-05 09:00:00,93.7,101.0,91.3,99.4,128598455.41107845,12232671943.731073
2021-08-06 09:00:00,99.4,106.0,96.9,106.0,119259368.63160752,12061272180.697586
2021-08-07 09:00:00,105.0,112.0,103.0,107.0,270112691.4566172,29021062663.819916
2021-08-08 09:00:00,107.0,110.0,99.6,101.0,176270437.78526267,18350889921.363346
2021-08-09 09:00:00,101.0,107.0,96.6,106.0,296536564.711982,30749220131.695866
2021-08-10 09:00:00,105.0,116.0,103.0,113.0,598189764.2036347,66281367030.38646
2021-08-11 09:00:00,112.0,124.0,111.0,121.0,417925164.9666173,49167667908.96065
2021-08-12 09:00:00,120.0,123.0,112.0,117.0,281635869.588291,33084140205.193176
2021-08-13 09:00:00,117.0,125.0,113.0,121.0,336490853.3473764,40490095067.55031
2021-08-14 09:00:00,122.0,136.0,120.0,130.0,654051882.9300166,84550494860.04887
2021-08-15 09:00:00,131.0,131.0,123.0,129.0,147707139.06810278,18833477567.53455
2021-08-16 09:00:00,129.0,135.0,125.0,126.0,188352752.15570104,24641112764.185787
2021-08-17 09:00:00,126.0,130.0,116.0,118.0,156253369.40468836,19339465045.231064
2021-08-18 09:00:00,118.0,119.0,110.0,114.0,96834879.51957801,11156394109.680128
2021-08-19 09:00:00,115.0,123.0,113.0,122.0,149720117.47382924,17602031869.150406
2021-08-20 09:00:00,122.0,129.0,121.0,126.0,93696828.4951709,11631209359.06361
2021-08-21 09:00:00,126.0,131.0,123.0,126.0,113564677.92363329,14514974709.214737
2021-08-22 09:00:00,126.0,130.0,124.0,128.0,87718431.17974766,11145080113.414211
