,open,high,low,close,volume,value
2021-06-04 09:00:00,1380.0,1385.0,1205.0,1245.0,3442549.04039167,4384124738.51558
2021-06-05 09:00:00,1245.0,1315.0,1200.0,1230.0,2486453.70610364,3120041703.1053753
2021-06-06 09:00:00,1230.0,1315.0,1205.0,1240.0,4782220.7604163,5944450641.486129
2021-06-07 09:00:00,1240.0,1245.0,1095.0,1110.0,2737872.39721109,3269774214.3445134
2021-06-08 09:00:00,1110.0,1130.0,975.0,1095.0,3037704.68164249,3183811302.4309664
2021-06-09 09:00:00,1100.0,1125.0,1060.0,1120.0,5203107.83869908,5718528517.553908
2021-06-10 09:00:00,1115.0,1135.0,1075.0,1090.0,2835008.78303356,3138005068.86254
2021-06-11 09:00:00,1090.0,1105.0,996.0,1015.0,3524453.6473463,3736251238.994967
2021-06-12 09:00:00,1015.0,1045.0,933.0,990.0,3375532.60043311,3364747929.047537
2021-06-13 09:00:00,990.0,1035.0,946.0,1030.0,2391398.42499603,2361640550.6163936
2021-06-14 09:00:00,1030.0,1080.0,1000.0,1045.0,2658661.90640534,2755636228.543135
2021-06-15 09:00:00,1040.0,1100.0,1030.0,1035.0,2773640.5961281,2953483462.7797003
2021-06-16 09:00:00,1035.0,1085.0,1005.0,1025.0,3703755.26007964,3852711480.0137815
2021-06-17 09:00:00,1025.0,1060.0,1010.0,1035.0,1941694.6697872,2002346653.1365936
2021-06-18 09:00:00,1035.0,1035.0,940.0,968.0,2763654.93038359,2747768741.892274
2021-06-19 09:00:00,968.0,975.0,926.0,939.0,1247076.39817419,1189773550.358457
2021-06-20 09:00:00,933.0,939.0,858.0,930.0,1985750.55835332,1791898760.9882863
2021-06-21 09:00:00,927.0,939.0,707.0,712.0,3681784.25006731,2971021935.8020506
2021-06-22 09:00:00,712.0,763.0,584.0,670.0,5969852.24416724,4079385041.0636854
2021-06-23 09:00:00,675.0,759.0,642.0,745.0,2651719.95051815,1937783182.8550677
2021-06-24 09:00:00,745.0,790.0,711.0,768.0,2193788.76889238,1661874724.018606
2021-06-25 09:00:00,768.0,790.0,700.0,708.0,3470943.44095639,2603545060.4402914
2021-06-26 09:00:00,708.0,729.0,666.0,702.0,3038609.38193363,2103405314.9840164
2021-06-27 09:00:00,702.0,740.0,681.0,734.0,2340554.90775538,1644227028.252103
2021-06-28 09:00:00,734.0,830.0,724.0,810.0,2976552.02975939,2291126380.841367
2021-06-29 09:00:00,814.0,868.0,805.0,842.0,6000528.8874469,4999600632.139213
2021-06-30 09:00:00,842.0,865.0,798.0,863.0,4529985.01874902,3768020887.8427095
2021-07-01 09:00:00,863.0,914.0,803.0,812.0,12686197.72179839,10864032537.929447
2021-07-02 09:00:00,812.0,843.0,769.0,807.0,6805978.93776768,5437548452.065124
2021-07-03 09:00:00,807.0,827.0,780.0,820.0,3311702.97974015,2666039293.405245
2021-07-04 09:00:00,820.0,860.0,799.0,843.0,4175408.40404954,3465688785.6753745
2021-07-05 09:00:00,843.0,854.0,785.0,814.0,10350778.01605416,8478004305.196246
2021-07-06 09:00:00,814.0,867.0,806.0,837.0,9736178.37149153,8133468087.157946
2021-07-07 09:00:00,832.0,964.0,823.0,927.0,24666194.93846391,22503687557.154472
2021-07-08 09:00:00,928.0,1005.0,841.0,1005.0,18312501.52106233,16995336012.32978
2021-07-09 09:00:00,1005.0,1065.0,902.0,988.0,23342111.15904269,23069161007.36648
2021-07-10 09:00:00,988.0,1015.0,919.0,940.0,5842070.33644273,5618706928.433404
2021-07-11 09:00:00,936.0,940.0,898.0,933.0,4661668.59724531,4296891228.893526
